id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,ERR,,"run1:없음; run2:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run3:없음",False,2/3,run1:없음; run2:없음; run3:없음,False,False,False,"has_community=True role_relevant=False env_relevant=False | 논문은 일베 사용자 집단을 연구 대상으로 삼았으나, 온라인 커뮤니티 자체의 역할이나 구조적 조건을 분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 같은 온라인 커뮤니티의 사용자들을 대상으로 심층면접을 진행해 그들의 태도와 가치관을 분석하므로 커뮤니티를 연구 대상으로 삼았으며, 커뮤니티가 사회적 역할(혐오 담론 생산)로 조명되었지만 회원제, 운영 방식 등 구조적 조건을 비교·분석하지 않았다 | has_community=False role_relevant=False env_relevant=False | 논문은 세월호 참사에 대한 반응을 보인 개인 집단을 인터뷰 대상으로 삼았으며, 온라인 커뮤니티 자체를 분석 대상으로 삼지 않았으므로 커뮤니티 존재 여부가 false이며 역할·환경 조명도 해당되지 않는다","논문은 일베 사용자 집단을 연구 대상으로 삼았으나, 온라인 커뮤니티 자체의 역할이나 구조적 조건을 분석하지 않는다 | [ROLE] 논문은 세월호 참사에 대한 공감과 혐오라는 두 극단적 반응을 분석함으로써 외부 사회현상인 양극화와 혐오 담론을 보여주는 WINDOW 역할을 수행한다. | 논문은 세월호 참사에 대한 반응을 보인 개인 집단을 인터뷰 대상으로 삼았으며, 온라인 커뮤니티 자체를 분석 대상으로 삼지 않았으므로 커뮤니티 존재 여부가 false이며 역할·환경 조명도 해당되지 않는다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,ENV_COMMUNITY_SUBSCRIPTION,ENV_COMMUNITY_SUBSCRIPTION,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",OK,ENV_COMMUNITY_SUBSCRIPTION,"run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_WINDOW_HATE; run2:ENV_COMMUNITY_SUBSCRIPTION; run3:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"has_community=True role_relevant=True env_relevant=True | 본 논문은 온라인 커뮤니티를 연구 대상로 삼아 커뮤니티 활동이 신뢰반경에 미치는 효과를 분석하고, 회원제와 비회원제라는 환경적 조건을 비교함으로써 역할과 환경 두 측면을 모두 다루고 있다 | has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티가 신뢰반경에 미치는 양면적 효과를 분석하고, 회원제와 비회원제라는 구조적 조건을 비교함으로써 커뮤니티의 역할과 환경을 동시에 조명한다 | has_community=True role_relevant=True env_relevant=True | 본 논문은 온라인 커뮤니티가 신뢰반경에 미치는 양면적 효과를 분석하고, 회원제와 비회원제라는 환경적 조건을 비교함으로써 커뮤니티의 역할과 구조적 특성을 동시에 조명한다","[ROLE] 본 논문은 온라인 커뮤니티에서 특정 집단에 대한 혐오가 관찰된다는 점을 제시하므로 ROLE_WINDOW_HATE에 부여된다. | [ENV] 논문은 회원제와 비회원제 커뮤니티를 비교해 신뢰반경에 미치는 효과를 분석하므로 ENV_COMMUNITY_SUBSCRIPTION에 부여한다. | [ROLE] 본 논문은 온라인 커뮤니티가 신뢰반경에 미치는 양면적 효과를 분석하였으나, 공론장, 사회자본, 정치·젠더·혐오·기타 사회현상과 관련된 구체적 사례를 제시하지 않아 해당 ROLE 코드에 부여할 근거가 없다. | [ENV] 논문은 회원제와 비회원제 커뮤니티 간 효과 차이를 비교하므로 ENV_COMMUNITY_SUBSCRIPTION에 부여된다. | [ROLE] 논문은 온라인 커뮤니티 내부에서 신뢰반경과 사회적 거리감에 대한 관계를 분석하므로, FIELD_SOCIALCAPITAL 코드가 부여된다. | [ENV] 논문은 회원제와 비회원제 커뮤니티를 비교해 신뢰반경에 미치는 효과를 분석하므로 ENV_COMMUNITY_SUBSCRIPTION에 부여된다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,ERR,,run1:ROLE_WINDOW_MISC; run2:없음; run3:없음,False,2/3,run1:없음; run2:없음; run3:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들이 참여한 온라인 커뮤니티를 연구 대상으로 삼아, 그 안에서 발생하는 노동관계와 정체성을 분석하므로 커뮤니티의 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=False env_relevant=False | 논문은 온라인 커뮤니티를 연구 자료로 활용했지만, 커뮤니티 자체의 사회적 역할이나 구조적 조건을 비교·분석하지 않았다 | has_community=True role_relevant=False env_relevant=False | 논문은 온라인 커뮤니티를 연구 자료로 활용해 노동자들의 서사를 분석하지만, 커뮤니티 자체의 역할이나 구조적 환경(회원제, 운영 방식, 익명성 등)을 비교·분석하지 않는다","[ROLE] 연구가 온라인 커뮤니티를 통해 제시되는 물류센터·편의점 노동자들의 외부 사회현상(노동통제, 계급정체성 등)을 분석하므로 ROLE_WINDOW_MISC에 부여된다. | 논문은 온라인 커뮤니티를 연구 자료로 활용했지만, 커뮤니티 자체의 사회적 역할이나 구조적 조건을 비교·분석하지 않았다 | 논문은 온라인 커뮤니티를 연구 자료로 활용해 노동자들의 서사를 분석하지만, 커뮤니티 자체의 역할이나 구조적 환경(회원제, 운영 방식, 익명성 등)을 비교·분석하지 않는다"
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL","run1:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:없음; run2:ROLE_WINDOW_MISC; run3:없음,False,False,True,"has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티를 청년들의 윤리적 소비 의향에 영향을 미치는 사회적 자본과 공감 경험의 맥락으로 분석하지만, 커뮤니티의 구조적 조건(회원제, 운영 방식, 익명성 등)을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 본 연구는 인터넷 커뮤니티가 청년들의 윤리적 소비 의향에 미치는 영향을 분석하여 커뮤니티를 사회적 역할(공감·공동체 형성)로 조명하지만, 회원제·운영방식·익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티를 청년층의 윤리적 소비 의향에 영향을 미치는 사회적 공간으로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다","[ROLE] 본 연구는 온라인 커뮤니티가 시민적 참여를 촉진하고 사회자본을 형성하는 역할을 분석하므로 FIELD 코드를 부여한다. | [ROLE] 본 연구는 온라인 커뮤니티가 시민적 참여를 촉진하는 공론장 역할과 사회자본 형성을 분석하고, 윤리적 소비라는 외부 사회현상을 사례로 제시함으로써 FIELD과 WINDOW_MISCs에 해당한다. | [ROLE] 본 연구는 온라인 커뮤니티가 형성하는 사회자본(결속적·교량적)과 그 효과를 분석하므로 ROLE_FIELD_SOCIALCAPITAL에 부여된다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,ENV_COMMUNITY_GOVERNANCE,ENV_COMMUNITY_GOVERNANCE,"ENV_COMMUNITY_GOVERNANCE, ROLE_FIELD_PUBLICSPHERE",OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,True,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티의 추천·비추천 투표 체계를 공론장 역할로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티의 추천·비추천 투표 체계가 커뮤니티 내 여론 형성 및 공론장 역할에 미치는 영향을 분석하지만, 회원제·운영방식·익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티의 추천·비추천 투표 체계가 커뮤니티 내 여론 형성에 미치는 역할을 분석하지만, 회원제, 운영 방식, 생애주기, 익명성 등 구조적 조건을 비교·분석하지 않는다",[ROLE] 연구가 온라인 커뮤니티 내부의 추천·비추천 투표 체계가 공론장으로서의 역할을 수행하는지를 평가하므로 ROLE_FIELD_PUBLICSPHERE에 부여된다. | [ROLE] 연구는 온라인 커뮤니티 내부의 추천·비추천 투표가 공론장으로서의 역할을 수행하는지를 분석하므로 ROLE_FIELD_PUBLICSPHERE에 부여된다. | [ROLE] 본 연구는 온라인 커뮤니티가 공론장으로서의 역할을 평가하고 있으므로 ROLE_FIELD_PUBLICSPHERE를 부여한다.
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ERR,ERR,,,ERR,ERR,,run1:없음; run2:없음; run3:없음,True,3/3,run1:없음; run2:없음; run3:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 상의 인간행위 전반을 베버의 합리성 관점에서 해석하려고 할 뿐, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 활동을 베버의 합리성 관점에서 해석하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티 존재 여부를 언급하지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 베버의 합리성 관점에서 인터넷 활동을 이론적으로 해석할 뿐, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않는다","논문은 인터넷 상의 인간행위 전반을 베버의 합리성 관점에서 해석하려고 할 뿐, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않는다 | 논문은 인터넷 활동을 베버의 합리성 관점에서 해석하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티 존재 여부를 언급하지 않는다 | 논문은 베버의 합리성 관점에서 인터넷 활동을 이론적으로 해석할 뿐, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_FIELD_PUBLICSPHERE,"run1:ROLE_WINDOW_MISC; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE",False,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 미술계 온라인 커뮤니티를 공론장·협력망으로서의 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 미술계 온라인 커뮤니티를 공론장·협력망으로서의 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 미술계 온라인 커뮤니티를 공론장·협력망으로서의 역할을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다","[ROLE] 본 연구는 온라인 커뮤니티를 통해 미술계의 외부 현상을 탐색하는 WINDOW_MISC 역할을 수행하며, 커뮤니티 자체의 공론장·협력망 역할은 언급되었으나 WINDOW 분석이 우선이므로 FIELD 코드는 낮은 확률로 부여된다. | [ROLE] 논문은 미술계 온라인 커뮤니티가 공론장·협력망으로서의 역할을 분석하므로 FIELD 코드를 부여한다. | [ROLE] 논문은 미술계 온라인 커뮤니티가 공론장 및 협력망으로서의 역할을 분석하므로 ROLE_FIELD_PUBLICSPHERE에 부여된다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ERR,ERR,,,ERR,ERR,,run1:없음; run2:없음; run3:없음,True,3/3,run1:없음; run2:없음; run3:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 온라인 커뮤니티를 언급하지 않으며, 온라인 커뮤니티를 연구 대상으로 삼지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 온라인 커뮤니티를 전혀 언급하지 않고, 결혼식 문화와 인상 관리에 관한 연구이므로 커뮤니티 존재 여부가 거짓이다 | has_community=False role_relevant=False env_relevant=False | 논문은 온라인 커뮤니티를 전혀 언급하지 않고, 한국 결혼식 문화와 인상 관리에 관한 연구이므로 커뮤니티 존재 여부가 거짓이다","논문은 온라인 커뮤니티를 언급하지 않으며, 온라인 커뮤니티를 연구 대상으로 삼지 않는다 | 논문은 온라인 커뮤니티를 전혀 언급하지 않고, 결혼식 문화와 인상 관리에 관한 연구이므로 커뮤니티 존재 여부가 거짓이다 | 논문은 온라인 커뮤니티를 전혀 언급하지 않고, 한국 결혼식 문화와 인상 관리에 관한 연구이므로 커뮤니티 존재 여부가 거짓이다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,"ROLE_WINDOW_HATE, ROLE_WINDOW_POLARIZE",OK,ROLE_WINDOW_HATE,"run1:ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_HATE; run2:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE",False,0/3,"run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run2:없음; run3:ROLE_WINDOW_POLARIZE",True,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 일베 커뮤니티가 혐오와 분노를 어떻게 프레임화하고 사회적 갈등을 확산시키는지를 분석하므로 커뮤니티의 사회적 역할을 조명하지만, 회원제, 운영 방식 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 커뮤니티를 혐오와 분노 확산의 사례로 분석하며, 커뮤니티의 사회적 역할(프레임 구축 및 공적 목소리 부여)을 조명하지만, 회원제, 운영 방식, 익명성 등 환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 커뮤니티를 감정·프레임 확산의 사례로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건을 비교·분석하지 않는다","[ROLE] 논문은 일베 커뮤니티를 통해 정치적 극우 집단의 분노·혐오 감정 확산과 남녀 간 갈등을 분석하며, 커뮤니티가 공적 목소리를 부여하는 역할을 보여 주므로 WINDOW_HATE, WINDOW_GENDER, WINDOW_POLARIZE, 그리고 FIELD_PUBLICSPHERE 코드를 부여한다. | [ROLE] 논문은 일베를 통해 확산되는 혐오 감정과 정치적 양극화를 다루고 있어 WINDOW_HATE와 WINDOW_POLARIZE 코드를 부여한다. | [ROLE] 논문은 일베를 통해 확산되는 혐오와 성별 기반 프레임, 그리고 극우와 진보 간의 양극화 과정을 다루므로 WINDOW_HATE, WINDOW_GENDER, WINDOW_POLARIZE 코드를 부여한다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_WINDOW_MISC,False,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 본 논문은 디시인사이드 정치토론 게시판을 사례로 온라인 커뮤니티가 정치참여에 미치는 역할을 분석하지만, 회원제, 운영방식, 익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 본 논문은 디시인사이드의 정치토론 게시판을 사례로 정치참여를 분석함으로써 온라인 커뮤니티를 정치현상의 사례(역할)로 조명하지만, 회원제, 운영방식, 생애주기, 익명성 등 구조적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 본 논문은 디시인사이드 정치토론 게시판을 사례로 온라인 커뮤니티가 정치참여를 촉진하는 역할을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적 조건의 비교는 다루지 않는다",[ROLE] 논문은 온라인 커뮤니티가 정치참여라는 외부 사회현상을 보여주는 사례로 사용되었으므로 ROLE_WINDOW_MISC에 부여된다. | [ROLE] 논문은 디시인사이드 정치토론 게시판을 통해 온라인 커뮤니티가 정치참여에 미치는 역할을 분석하므로 ROLE_FIELD_PUBLICSPHERE가 부여된다. | [ROLE] 논문은 온라인 커뮤니티를 통해 정치참여라는 외부 사회현상을 분석하므로 ROLE_WINDOW_MISC에 부여된다.
