id,title,author,published_year,class1_raw,class2_raw,gold_codes,majority_codes,gold_covered,full_agreement,run_details,confidence_levels,abstract
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,김경준,2023,공개 접근,사회자본,"MEDIA_SPATIAL, RELATION_FIELD","MEDIA_SPATIAL, WINDOW",False,True,"run1:MEDIA_SPATIAL,WINDOW; run2:MEDIA_SPATIAL,WINDOW; run3:MEDIA_SPATIAL,WINDOW","높음, 높음, 높음","본 논문은 온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과를 경험적으로 확인하고 커뮤니티 의 익명성 수준에 따라 각 효과의 정도에 차이가 있는지 검증하는 것을 목적으로 한다. 온라인 공간에 서 오프라인과 같은 일반화된 협력이 발생하기도 하지만, 특정 집단에 대한 혐오가 만연한 것 또한 관 찰된다. 온라인 공간이 가진 양면적인 특성은 이용자에게도 양면적 영향을 줄 수 있다. 특히, 온라인 커뮤니티는 오프라인에서 알지 못하는 낯선 타인과 접촉하는 공간이라는 점에서 신뢰반경을 넓히는 효과와 좁히는 효과가 공존할 수 있다. 또한, 익명성 수준에 따라 해당 커뮤니티의 규범과 탈개인화 정도가 달라질 수 있어 커뮤니티 유형에 따라 양면적 효과가 다르게 나타날 수 있다. 이를 확인하기 위해 온라인 조사를 통해 수집된 1,104명의 온라인 커뮤니티 사용자를 대상으로 매개효과 분석과 조 절된 매개효과 분석을 수행하였다. 분석 결과, 온라인 커뮤니티 활동은 온라인 커뮤니티 소속감을 높 여 낯선 사람에 대한 사회적 거리감을 낮추게 되며, 그 결과 신뢰반경을 넓힌다. 또한, 온라인 커뮤니 티 활동이 낯선 사람에 대한 사회적 거리감에 부정적 영향을 주어 신뢰반경을 좁히는 결과도 확인되었 다. 조절된 매개효과 결과, 신뢰반경을 넓히는 간접효과는 회원제 커뮤니티에서만 통계적으로 유의미 한 것으로 나타났다. 요약하자면, 회원제 커뮤니티는 양면적 효과가 상쇄되지만, 비회원제 커뮤니티에 서는 부정적 효과가 더 크다. 본 연구는 온라인 커뮤니티에서 이뤄지는 일탈 현상을 억제하고 공동체 로써의 역할을 촉진하기 위한 요인에 관해 확인하였다는 의의가 있다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,김재우·조반석,2017,사회자본,,RELATION_FIELD,"RELATION_FIELD, WINDOW",True,True,"run1:RELATION_FIELD,WINDOW; run2:RELATION_FIELD,WINDOW; run3:RELATION_FIELD,WINDOW","높음, 높음, 높음","본 연구의 목적은 20대-30대 청년층의 인터넷 커뮤니티 이용이 어떤 경로들을 통해 윤리적 소비 의향에 영향을 미치는지 규명하는 것이다. 이를 위해 온라인 패널조사 전문 기관을 통해 자료를 수집하고 인과 모형에 대한 경로분석을 수행하였다. 분석 결과에 따 르면, 인터넷 커뮤니티에서 더 적극적으로 자신을 표현하고 타인의 글에 반응할수록 온 라인상의 결속적 사회자본과 교량적 사회자본에 대한 지각 수준이 모두 높아지며 온라인 공감 경험 역시 증가한다. 한편 공감적 관심과 정서적 반응에 미치는 온라인 상호작용의 효과는 두 유형의 사회자본 중에서 교량적 사회자본에 의해서만 매개된다. 온라인상에서 다양한 정보와 의견을 접하거나 다른 지역의 일들에 관심을 가질수록 공감 경험이 많아 지며, 그 결과 윤리적 소비 참여 의도가 증진되는 경향이 발견되었다. 이와는 대조적으 로 인터넷 커뮤니티가 제공하는 ‘우리’라는 결속감과 심리적 지지에 대한 지각은 공감 경험이나 참여 의도에 영향력을 발휘하지 못했다. 계획된 행동이론과 관련된 변인들 중 에서는 과거 참여 경험과 행동의 실행 가능성에 대한 믿음의 효과가 특히 유의미하였다. 이상의 결과들은 구매‧불매운동과 착한 소비(공정무역‧친환경‧로컬상품 구입)에 대해서 교차 확인되었으며, 특히 후자의 소비 유형에서 공감 경험의 역할이 더 중요한 것으로 나타났다. 본 연구는 온라인을 통한 정보적‧감정적 교류와 인지적‧정서적 반응이 결합되 어 타인 지향적 공감을 만들어낼 때 인터넷 커뮤니티가 청년 네티즌들의 시민적 참여를 촉진할 수 있는 공동체가 될 수 있음을 시사해준다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",박창호,2014,이 외(창),,WINDOW,MEDIA_SPATIAL,False,True,run1:MEDIA_SPATIAL; run2:MEDIA_SPATIAL; run3:MEDIA_SPATIAL,"높음, 높음, 높음","이 글은 인간행위의 합리성의 문제를 베버의 시각에서 접근하 면서 인터넷에서의 인간행위들이 베버의 합리성이란 측면에서 어떻게 이해가능한지를 탐색해보고자 조망한 것이다. 인간의 활동은 의미와 가치에 따라 합리적일 수 있으며, 그에 따르지 않게 되면 비합리적인 것일 수 있다. 베버는 나름대로 합리적 유형을 정립해서 인간활동의 합리적 행동에 대해 설명하면서 감정적이거나 물리적인 근거에서 나온 활동에 대해서는 합리적 이라 볼 수 없다고 보았던 것 같다. 그러면서도 궁극적으로 의 미나 목적의 실현을 위해 노력하는 것 자체가 합리성이라고 했 다. 더구나 합리화된 행위는 목적을 이루기 위한 적절한 수단을 획득하는데 따른 목표설정을 선택적으로 어떻게 하느냐와 관련 이 있다. 베버의 합리성은 행위자의 가치가 어떻게 보면 이미 주어진 것으로 물질적인 조건이나 관심에 따른 지식과는 거리 가 있다. 따라서 인터넷에서의 활동은 가치의 영역에서 본 나름 대로의 근거가 있으며 그 활동들이 화해할 수 없는 반감이나 갈 등을 내포하고 있더라도 자체의 합리성에 기반한 활동으로 이 해할 여지는 있는 것이다. 베버의 합리성이 사실 무엇인가를 주 체적으로 할 수 있다는 의미가 더 큰 것이라고 보게 된다면, 인 터넷에서의 활동은 선택적 친화력에 의해 그들만의 가치나 수 단이 작용하는 것에서 나올 수 있다. 결국 인터넷 활동의 합리 성은 근대사회의 합리성과 다르지만 상황적 맥락에서 이해하게 된다면 충분히 합리적일 수 있는 것이다."
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,배홍철,2025,공론장,,DISCOURSE_FIELD,WINDOW,False,True,run1:WINDOW; run2:WINDOW; run3:WINDOW,"높음, 높음, 높음","본 연구는 미술계 온라인 커뮤니티 “네오룩(Neolook)”의 아카이브 52,111건  (2000-2024년)을 토픽 모델링 방법으로 분석하여 동시대 미술계의 지형을 탐색  하였다. 기존 미술계 논의가 대형 전시와 저명 작가에 무게를 두었다면, 본 연구 는 온라인 커뮤니티에서 일어나는 동시다발적인 움직임을 조명하였다. 잠재 디 리클레 할당 모형(LDA)을 적용하여 22개의 토픽을 도출하였고, 전시의 형식과 주제, 그리고 미술계의 지형을 살펴보았다. 분석 결과, 회화 장르의 확장과 사진 의 약세를 확인하였다. 주제의 측면에서는 사회적 의제가 감소하는 대신 개인의 서사는 확대되는 양상을 발견하였다. 그리고 미술계 커뮤니티가 대학생, 작가, 관객, 업계 실무자 등 다양한 주체들이 교차하는 공론장이자 협력망의 역할을 해왔다는 점을 알 수 있었다. 위 결과를 토대로 본 연구는 후속 작업과 대안적 방법론을 제안하면서 미술계 연구의 확장 가능성을 모색하였다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,서경원,2022,익명성,이 외(창),"MEDIA_SPATIAL, WINDOW",WINDOW,False,True,run1:WINDOW; run2:WINDOW; run3:WINDOW,"높음, 높음, 높음","이 연구는 오늘날 한국 결혼식 문화에서 나타나는 역할 대행이라는 현상이 갖는 의미를 개인과 가족 차원의 인상 관리와 감정 수행성의 측 면에서 고찰하였다. 결혼식에서 역할 대행은 크게 부모와 하객 역할이 있으며, 하객 역할로는 결혼 당사자뿐만 아니라 부모의 지인, 친척 등의 역할 대행이 이루어진다. 왜 한국 결혼식에서는 이러한 역할 대행이 나 타나는지 그 이유는 인상 관리 측면에서 개인과 가족 차원의 체면 지키 기와 관련되어 있다. 즉 개인 차원에서는 결혼 당사자들의 빈약한 사회 관계가 드러남에 따른 망신을 당하지 않기 위해서, 가족 차원에서는 자 기 가족이 정상가족이라는 것을 또는 가족 차원의 적절한 사회적 인맥 을 보여주기 위해서 역할 대행이 이루어지는 것이다. 이처럼 결혼식에서 는 하객이라는 사회자본과 가정환경이라는 상징자본이 중요하게 작용한 다. 그러나 이 두 가지 요건을 갖추지 못한 사람들은 결혼식에서 특정한 감정을 느끼는데 개인 차원에서는 빈약한 하객으로 인한 고독이며, 가족 차원에서는 정상(일반)가족의 형태에 속하지 못함에 따른 낙인과 편견으 로 인한 수치감이라는 감정이다. 한국 결혼식에서는 이 두 감정을 감추 는 전략으로 역할 대행을 통해서라도 남들에게 보여주고 싶은 특정한 모습을 연출하기 위해 감정 연기를 한다. 한편 이 글에서는 개인 차원에 서는 고독, 가족 차원에서는 수치감으로 설명을 하였지만, 현실 속에서 는 두 감정은 서로 밀접하게 연결되어 있다. 또한 결혼식에서 체면과 관련된 인상 관리도 개인과 가족 차원이 명확히 분리되어 있지 않고 서로 복합적으로 얽혀져 있는 것을 사례들을 통해 볼 수 있다."
11,윤리적 매개자로서 셀러브리티와 팬덤의 감정 정치: 갓생 세대의 장원영 소비하기,석승혜·유승호,2025,이 외(창),,WINDOW,"DISCOURSE_FIELD, INSTITUTIONAL",False,True,"run1:DISCOURSE_FIELD,INSTITUTIONAL; run2:DISCOURSE_FIELD,INSTITUTIONAL; run3:DISCOURSE_FIELD,INSTITUTIONAL","높음, 높음, 높음","본 연구는 갓생 세대의 장원영 소비를 통해, 윤리적 주체화와 감정 정치, 그 리고 신자유주의적 통치성이 어떻게 상호 접속하는지를 분석하고자 했다. 이는 최근 셀러브리티에 대한 사회적 요구가 문화정치의 대리인을 넘어서 정서적ᆞ 도덕적 지도자의 역할로 확장되고 있는 현상에 주목한 것이다. 분석을 위해 청 년세대가 활발히 활동하는 더쿠, 디시인사이드, 네이트판 등의 온라인 커뮤니티 를 분석 대상으로 설정하고, 해당 게시글을 중심으로 담론 분석을 수행하였다. 연구 결과는 다음과 같다. 첫째, ‘원영적 사고’는 갓생세대의 자기지향적 윤리적 실천을 재현하는 존재로 기능하였으며, 팬덤은 이를 자기절제, 성실, 멘탈 관리 등으로 재정의하여 일상적 윤리 실천의 모델로 내면화하였다. 둘째, 팬덤 내부에 서 감정은 실천의 지속성을 보장하는 동력으로 작동하며, 위계와 규범적 기대를 형성하였다. 아는 팬덤의 감정정치가 개인의 정체성 놀이를 넘어, 윤리적 실천과 자부심, 규범화 과정을 통해 집단적 질서와 위계를 구성하는 방식으로 확장되고 있음을 의미한다. 셋째, 장원영 팬덤의 윤리적 위계는 팬덤 외부와의 갈등을 야 기하지만, 이는 동일한 윤리 규범을 둘러싼 진정성 경쟁으로 나타났다. 이 과정 은 윤리적 다양성보다 특정 윤리를 절대화하고 신자유주의적 통치성을 강화하 는 결과로 이어졌다. 이상의 결과를 통해 본 연구는 팬덤이 단순한 취향 공동체 가 아니라 윤리적 실천을 매개로 신자유주의적 통치성이 문화적·정서적 차원으 로 심화되는 장임을 규명하였다. 나아가 본 연구는 기존 셀러브리티 연구와 팬 덤 연구 사이의 간극을 넘어, 셀러브리티의 위상 변화와 팬덤의 윤리적 주체화 과정을 통해 양자를 통합적으로 조망하고 있다는 점에서 의의가 있다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,송경재,2005,공론장,,DISCOURSE_FIELD,"DISCOURSE_FIELD, MEDIA_SPATIAL",True,False,"run1:DISCOURSE_FIELD,MEDIA_SPATIAL; run2:DISCOURSE_FIELD,MEDIA_SPATIAL; run3:DISCOURSE_FIELD,RELATION_FIELD","높음, 높음, 높음","본 논문은 네트워크의 결집체로서 인터넷이 정치과정 특히 정치참여에 어떤 영향을 미치는 지를 분석하고자 한다. 2004년 탄핵정국 동안 온라인과 오프라 인에서의 활동으로 사회적 반향을 불러일으킨 인터넷 사이트 <디시인사이드>의 ‘정치토론 게시판’을 사례 연구하여 IT 기반 네트워크 시대의 정치참여가 가지 는 함의와 정치참여 과정, 확산, 그리고 특성을 분석하고자 했다.  연구결과, 첫째, 탄핵정국 동안 디시의 정치토론 게시판은 ‘네트워크 정치참 여(political participation of network)’라 불릴만한 참여방식을 형성했다. 그로인해 네티즌들의 정치참여 내용은 풍부화 되고 유용성뿐만 아니라 커뮤니 케이션을 통해 정치적 관심을 유지하는데 기여했다. 둘째, 네트워크형 정치참 여는 정치참여의 활성화.주체의 보편화.방식의 다양화라는 새로운 참여를 가 능케 하고 있다. 셋째, 정치참여 측면에서 인터넷 네트워크는 단순히 도구론적 이용이 아니라, 참여의 성격을 바꾸고 자발적인 참여를 촉진시키는데 긍정적인 기여를 할 수도 있다. 넷째, 사이버 공간에서 아주 작은 규모의 참여라도 개인에게 미치는 영향은 큰 효과를 발휘해 민주주의의 학습장으로 발전할 가능성을 발견했다.  이와 함께 네트워크로 인한 정치참여의 용이함은 반대로 책임 없는 참여로 나갈 수 있다는 것과 일상에서 참여의 강화 여부, 그리고 정보격차의 심화 등 이 문제점으로 지적되어 네트워크 정치참여와 관련한 보다 많은 연구가 필요성 도 확인되었다."
13,메갈리아의 두 딸들: 익명성 수준에 따른 온라인 커뮤니티의 정체성 분화,송준모·강정한,2018,커뮤니티 생애주기,익명성,"INSTITUTIONAL, MEDIA_SPATIAL","DISCOURSE_FIELD, MEDIA_SPATIAL",False,True,"run1:DISCOURSE_FIELD,MEDIA_SPATIAL; run2:DISCOURSE_FIELD,MEDIA_SPATIAL; run3:DISCOURSE_FIELD,MEDIA_SPATIAL","높음, 높음, 높음","전투적 여성주의를 표방한 온라인 커뮤니티 메갈리아의 정체성에 대해 온라인 여성주의에서부터 혐오사이트에 이르기까지 다양한 해석이 존재한다. 본 연구는 익명상황에서 형성되는 사회적 정 체성의 분화에 주목하여 상이한 해석이 도출된 원인을 탐색한다. 글쓴이 ID 공개 여부로 구분되 는 익명성 수준(완전익명, 부분익명)에 따라 게시물에 나타난 담론 내용의 차이를 파악하고 내부 갈등의 전개 양상을 재구성하기 위해 2015년에서 2016년에 이르는 메갈리아의 생애에 걸친 전체 게시물 162,893건을 분석하였다. 자연어처리 기법(토픽모델링, Word2Vec)을 활용한 분석결과에 따르면 전체 게시물에서 성차별과 연관있는 주제의 비중이 높았으며, 내부 갈등과 연관된 주제의 비중은 크지 않았다. 한편 완전익명 게시물에서는 메갈리아 방언을 이용한 분노 표출 토픽들이 배타적인 선호를 보였으며, 부분익명 게시물에서는 성차별 반대 캠페인 관련 토픽들이 배타적 선 호를 보였다. 이러한 담론의 분화는 게시물의 대다수를 차지하는 완전익명 게시글에 주목하느냐, 혹은 주요 글쓴이에 주목하며 부분익명 게시글의 흐름을 파악하느냐에 따라 메갈리아의 정체성 을 전혀 다르게 파악하게 한다. 더불어 익명성 수준에 상관없이 공유되는 주제 내에서도 정체성 간 사용하는 단어가 배타적으로 나뉘거나 공유단어의 활용맥락이 달라지는 방식으로 갈등이 발 전한다. 두 가지 방식이 모두 관찰된 성소수자 논쟁의 경우 구성원의 대거 이탈과 커뮤니티의 쇠 락을 야기했다. 이러한 연구결과를 통해 온라인 커뮤니티에서 사용자들이 익명성 수준과 같은 구 조적 여건에 반응하여 정체성을 형성하고 상호작용하는 방식과, 커뮤니티의 생애과정 전개를 통 합적으로 이해하는 분석틀의 발전에 기여하길 기대한다."
14,온라인 커뮤니티의 상호작용 의례: 자전거 커뮤니티 사례를 중심으로,심보선,2014,사회자본,,RELATION_FIELD,"DISCOURSE_FIELD, RELATION_FIELD",True,True,"run1:DISCOURSE_FIELD,RELATION_FIELD; run2:DISCOURSE_FIELD,RELATION_FIELD; run3:DISCOURSE_FIELD,RELATION_FIELD","높음, 높음, 높음","이 연구는 랜들 콜린스와 어빙 고프먼의 “상호작용 의례” 이론을 빌려와 온 라인 자전거 커뮤니티에서 이루어지는 대화를 분석하고 이를 통해 구성되는 결 사의 특성을 밝히고자 했다. 온라인 자전거 커뮤니티는 구성원들이 자전거라는  ‘신성한 대상’을 중심으로 유대하고 정서적 에너지를 고양시키는 결사라고 할  수 있다. 커뮤니티 구성원들은 반복적인 의례행위, 관심대상, 기분 등을 공유함 으로써, 공통의 상징과 정서와 규범을 만들어간다. 이러한 의례 과정은 회원들 이 존대와 처신, 수습절차 등의 의례 규칙들을 협력적으로 표현하고 수행함으로 써 이루어진다. 이를 통해 회원들은 자신과 타인들의 언행을 조절하고 문제에 대처해 나간다. 자전거 온라인 커뮤니티 내부에는 자전거와 비자전거, 온라인과 오프라인, 결사내부와 결사외부가 공존한다. 온라인 커뮤니티는 이와 같은 ‘이질 적인 것들의 공존’을 해석하고 조절하는 노력 속에서 유지된다. 때로는 이 과정 에서 격렬한 감정적 논쟁, 즉, ‘플레이밍’이 야기되고 이는 커뮤니티의 유대와 정서적 에너지를 약화시키는 결과를 가져온다. 이때 회원들은 협력적 작업을 통 해 다양한 도덕적 표준들을 확인하고 제안하며 내부의 의례균형을 회복하고 위기를 극복하려 한다. 이 연구는 한 평범한 온라인 커뮤니티의 상호작용 의례를 분석하면서 온라인 상호작용에 대한 비관론과 낙관론 모두를 지양하고자 했다. 온라인 커뮤니티의 회원들은 무수한 실패와 반복되는 위기 속에서도, 때로는 일 상적으로, 때로는 긴급하게, 지속적인 대화와 협력의 상호작용 의례를 통해, 자 신들이 속한 결사를 유익하고, 즐겁고, 동시에 도덕적으로 정당한 결사로 구성 해간다."
15,온라인 커뮤니티의 사회적 자본과 제도: 디시인사이드 바람의 화원/바람의 나라 갤러리를 중심으로,이헌아·류석진,2013,사회자본,,RELATION_FIELD,"INSTITUTIONAL, RELATION_FIELD",True,True,"run1:INSTITUTIONAL,RELATION_FIELD; run2:INSTITUTIONAL,RELATION_FIELD; run3:INSTITUTIONAL,RELATION_FIELD","높음, 높음, 높음","본 논문은 온라인 커뮤니티의 제도를 ‘재생산’이라고 보고, 제도의 성패가 사회적 자본에 의해 달라진다는 가설을 검증하는 목표를 갖고 있다. 이를 위해 이론적으로 로버트 퍼트남(Robert D.Putnam)의 ‘사회적 자본(social capital)' 개념을 소개하고, 다른 연구를 통해 측정 가능하도록 개념을 보완한 뒤, 이를 온라인 커뮤니티에 맞게 수정 및 적용했다. 구체적으로 가설을 검증하기 위해 비슷한 시기에 나타났으나 양상은 크게 달랐던 두 온라인 커뮤니티를 선정하여 NodeXL 프로그램을 이용, 사회적 자본에 대한 실증적인 분석을 하였다. 본 논문은 온라인 커뮤니티에도 사회적 자본 개념을 적용할 수 있다고 보았으며, 온라인 커뮤니티의 제도인 재생산에 영향을 끼치는 사회적 자본의 구성요소를 탐구했다. 또한 온라인 커뮤니티에 맞는 사회적 자본 개념이 기존과는 다를 수 있음을 지적하고 있다."
