id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 일베라는 온라인 커뮤니티를 혐오 담론 생산 사례로 분석해 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다","[ROLE] 논문은 세월호 사건에 대한 공감·혐오라는 현상을 분석 대상으로 삼고, 온라인 커뮤니티인 일베는 그 현상을 보여주는 사례에 불과하므로 온라인 사건 자체를 연구하는 WINDOW에 해당한다."
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,FIELD,FIELD,,,ROLE_FIELD,OK,"ENV_RELEVANT, ROLE_FIELD","run1:ENV_RELEVANT,ROLE_FIELD",True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티가 신뢰반경에 미치는 역할을 분석하고, 회원제·비회원제라는 구조적 조건에 따른 효과 차이를 비교·분석한다","[ENV] 세부 코드 감사는 생략하고, division 단계의 env_relevant 판단만 표시함 | [ROLE] 이 논문은 온라인 커뮤니티라는 공간 자체(회원제·비회원제라는 구조적 조건)가 신뢰반경이라는 사회적 현상에 미치는 양면적 효과를 분석하고 있다. 결과가 온라인 커뮤니티의 구조적 특성에 따라 달라지는지는 오프라인에서는 대응되는 상황이 없으므로, 연구 대상은 온라인 커뮤니티라는 ‘장’이며, 따라서 FIELD에 해당한다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 청년 노동자들의 서사를 분석하기 위해 온라인 커뮤니티를 연구 대상으로 삼아 그 공간에서의 사회적 관계와 정체성을 고찰하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티에 게시된 노동자 서사를 통해 노동통제 체제라는 구체적 현상을 분석하고 있으며, 온라인 커뮤니티는 그 현상을 보여주는 사례일 뿐이다. 동일한 현상은 오프라인 인터뷰 등으로도 파악 가능하므로 연구 대상은 현상 자체이며, 온라인 커뮤니티는 창(WINDOW) 역할을 한다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 영향을 분석하며 커뮤니티의 사회적 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 내에서 발생하는 사회자본 형성·공감 경험 등 구조적·정서적 메커니즘이 윤리적 소비 의향에 미치는 영향을 분석하고 있으며, 이러한 메커니즘은 온라인 커뮤니티라는 공간 자체의 역할에 초점을 맞추고 있어 오프라인에서는 동일하게 재현될 수 없는 질문이다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티의 추천 투표 메커니즘을 통해 여론 형성과 공론장 역할을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 내 추천·비추천 투표라는 고유 구조와 댓글 상호작용이 공론장 역할을 어떻게 수행하는지를 분석한다. 이러한 메커니즘은 오프라인에서는 대응되는 형태가 없으며, 온라인 커뮤니티라는 공간 자체의 역할과 구조적 조건에 초점을 맞추고 있기 때문에 FIELD에 해당한다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 인터넷에서의 인간행위와 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않는다","논문은 인터넷에서의 인간행위와 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 ‘네오룩’ 자체를 분석 대상으로 삼아 공론장·협력망이라는 사회적 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조·환경 조건에 대한 비교·분석은 다루지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 자체를 현상으로 분석하기보다, 그 커뮤니티가 보여주는 미술계의 구조와 변화라는 외부 집단(동시대 미술계)을 이해하기 위한 창으로 활용하고 있다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다","논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 사회적 분노·혐오 확산 현상을 설명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 일베라는 온라인 커뮤니티가 자체적으로 프레임을 생산·재편성하고 혐오 감정을 확산시키는 과정을 분석한다. 온라인 커뮤니티의 구조적·담론적 메커니즘이 사회적 갈등을 어떻게 형성하는지를 탐구하므로, 연구 대상은 커뮤니티라는 공간 자체이며, 이러한 현상은 오프라인에서는 대응되는 자료가 없어 FIELD에 해당한다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드의 정치토론 게시판이라는 온라인 커뮤니티를 사례로 정치참여 현상을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교·분석은 다루지 않는다","[ROLE] 이 논문은 인터넷이라는 네트워크 공간 자체가 정치참여의 성격과 과정에 미치는 구조적 영향을 분석하고 있으며, 이는 온라인 커뮤니티를 하나의 사회적 장으로 조명하는 FIELD에 해당한다."
