id,title,gold_codes,majority_codes,gold_covered,run_details,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,,False,"run1:없음; run2:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run3:없음","논문은 일베 사용자 집단을 연구 대상으로 삼았으나, 온라인 커뮤니티 자체의 역할이나 구조적 조건을 분석하지 않는다 | [ROLE] 논문은 세월호 참사에 대한 공감과 혐오라는 두 극단적 반응을 분석함으로써 외부 사회현상인 양극화와 혐오 담론을 보여주는 WINDOW 역할을 수행한다. | 논문은 세월호 참사에 대한 반응을 보인 개인 집단을 인터뷰 대상으로 삼았으며, 온라인 커뮤니티 자체를 분석 대상으로 삼지 않았으므로 커뮤니티 존재 여부가 false이며 역할·환경 조명도 해당되지 않는다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",ENV_COMMUNITY_SUBSCRIPTION,False,"run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_WINDOW_HATE; run2:ENV_COMMUNITY_SUBSCRIPTION; run3:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL","[ROLE] 본 논문은 온라인 커뮤니티에서 특정 집단에 대한 혐오가 관찰된다는 점을 제시하므로 ROLE_WINDOW_HATE에 부여된다. | [ENV] 논문은 회원제와 비회원제 커뮤니티를 비교해 신뢰반경에 미치는 효과를 분석하므로 ENV_COMMUNITY_SUBSCRIPTION에 부여한다. | [ROLE] 본 논문은 온라인 커뮤니티가 신뢰반경에 미치는 양면적 효과를 분석하였으나, 공론장, 사회자본, 정치·젠더·혐오·기타 사회현상과 관련된 구체적 사례를 제시하지 않아 해당 ROLE 코드에 부여할 근거가 없다. | [ENV] 논문은 회원제와 비회원제 커뮤니티 간 효과 차이를 비교하므로 ENV_COMMUNITY_SUBSCRIPTION에 부여된다. | [ROLE] 논문은 온라인 커뮤니티 내부에서 신뢰반경과 사회적 거리감에 대한 관계를 분석하므로, FIELD_SOCIALCAPITAL 코드가 부여된다. | [ENV] 논문은 회원제와 비회원제 커뮤니티를 비교해 신뢰반경에 미치는 효과를 분석하므로 ENV_COMMUNITY_SUBSCRIPTION에 부여된다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,,False,run1:ROLE_WINDOW_MISC; run2:없음; run3:없음,"[ROLE] 연구가 온라인 커뮤니티를 통해 제시되는 물류센터·편의점 노동자들의 외부 사회현상(노동통제, 계급정체성 등)을 분석하므로 ROLE_WINDOW_MISC에 부여된다. | 논문은 온라인 커뮤니티를 연구 자료로 활용했지만, 커뮤니티 자체의 사회적 역할이나 구조적 조건을 비교·분석하지 않았다 | 논문은 온라인 커뮤니티를 연구 자료로 활용해 노동자들의 서사를 분석하지만, 커뮤니티 자체의 역할이나 구조적 환경(회원제, 운영 방식, 익명성 등)을 비교·분석하지 않는다"
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL",True,"run1:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL","[ROLE] 본 연구는 온라인 커뮤니티가 시민적 참여를 촉진하고 사회자본을 형성하는 역할을 분석하므로 FIELD 코드를 부여한다. | [ROLE] 본 연구는 온라인 커뮤니티가 시민적 참여를 촉진하는 공론장 역할과 사회자본 형성을 분석하고, 윤리적 소비라는 외부 사회현상을 사례로 제시함으로써 FIELD과 WINDOW_MISCs에 해당한다. | [ROLE] 본 연구는 온라인 커뮤니티가 형성하는 사회자본(결속적·교량적)과 그 효과를 분석하므로 ROLE_FIELD_SOCIALCAPITAL에 부여된다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,"ENV_COMMUNITY_GOVERNANCE, ROLE_FIELD_PUBLICSPHERE",ROLE_FIELD_PUBLICSPHERE,False,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,[ROLE] 연구가 온라인 커뮤니티 내부의 추천·비추천 투표 체계가 공론장으로서의 역할을 수행하는지를 평가하므로 ROLE_FIELD_PUBLICSPHERE에 부여된다. | [ROLE] 연구는 온라인 커뮤니티 내부의 추천·비추천 투표가 공론장으로서의 역할을 수행하는지를 분석하므로 ROLE_FIELD_PUBLICSPHERE에 부여된다. | [ROLE] 본 연구는 온라인 커뮤니티가 공론장으로서의 역할을 평가하고 있으므로 ROLE_FIELD_PUBLICSPHERE를 부여한다.
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_WINDOW_MISC,ROLE_FIELD_PUBLICSPHERE,False,"run1:ROLE_WINDOW_MISC; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE","[ROLE] 본 연구는 온라인 커뮤니티를 통해 미술계의 외부 현상을 탐색하는 WINDOW_MISC 역할을 수행하며, 커뮤니티 자체의 공론장·협력망 역할은 언급되었으나 WINDOW 분석이 우선이므로 FIELD 코드는 낮은 확률로 부여된다. | [ROLE] 논문은 미술계 온라인 커뮤니티가 공론장·협력망으로서의 역할을 분석하므로 FIELD 코드를 부여한다. | [ROLE] 논문은 미술계 온라인 커뮤니티가 공론장 및 협력망으로서의 역할을 분석하므로 ROLE_FIELD_PUBLICSPHERE에 부여된다."
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,"ROLE_WINDOW_HATE, ROLE_WINDOW_POLARIZE",ROLE_WINDOW_HATE,False,"run1:ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_HATE; run2:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE","[ROLE] 논문은 일베 커뮤니티를 통해 정치적 극우 집단의 분노·혐오 감정 확산과 남녀 간 갈등을 분석하며, 커뮤니티가 공적 목소리를 부여하는 역할을 보여 주므로 WINDOW_HATE, WINDOW_GENDER, WINDOW_POLARIZE, 그리고 FIELD_PUBLICSPHERE 코드를 부여한다. | [ROLE] 논문은 일베를 통해 확산되는 혐오 감정과 정치적 양극화를 다루고 있어 WINDOW_HATE와 WINDOW_POLARIZE 코드를 부여한다. | [ROLE] 논문은 일베를 통해 확산되는 혐오와 성별 기반 프레임, 그리고 극우와 진보 간의 양극화 과정을 다루므로 WINDOW_HATE, WINDOW_GENDER, WINDOW_POLARIZE 코드를 부여한다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_MISC,False,run1:ROLE_WINDOW_MISC; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_WINDOW_MISC,[ROLE] 논문은 온라인 커뮤니티가 정치참여라는 외부 사회현상을 보여주는 사례로 사용되었으므로 ROLE_WINDOW_MISC에 부여된다. | [ROLE] 논문은 디시인사이드 정치토론 게시판을 통해 온라인 커뮤니티가 정치참여에 미치는 역할을 분석하므로 ROLE_FIELD_PUBLICSPHERE가 부여된다. | [ROLE] 논문은 온라인 커뮤니티를 통해 정치참여라는 외부 사회현상을 분석하므로 ROLE_WINDOW_MISC에 부여된다.
13,메갈리아의 두 딸들: 익명성 수준에 따른 온라인 커뮤니티의 정체성 분화,"ENV_COMMUNITY_LIFECYCLE, ENV_ONLINE_ANNONIMITY","ENV_ONLINE_ANNONIMITY, ROLE_FIELD_PUBLICSPHERE",False,"run1:ENV_ONLINE_ANNONIMITY,ROLE_FIELD_PUBLICSPHERE; run2:ENV_ONLINE_ANNONIMITY,ROLE_FIELD_PUBLICSPHERE; run3:ENV_ONLINE_ANNONIMITY","[ROLE] 논문은 온라인 커뮤니티 내부에서 익명성 수준이 정체성 형성과 갈등에 미치는 영향을 분석하여 공론장 역할을 검증하고, 성차별 주제의 비중을 강조함으로써 ROLE_FIELD_PUBLICSPHERE와 ROLE_WINDOW_GENDER에 부여한다. | [ENV] 텍스트는 익명성 수준을 비교해 담론 차이를 분석한 점을 반영해 ENV_ONLINE_ANNONIMITY를 부여하고, 다른 코드는 비교·분석 근거가 부족해 부여하지 않는다. | [ROLE] 논문은 온라인 커뮤니티 내부에서 익명성 수준이 정체성 형성과 갈등에 미치는 영향을 분석하므로, 온라인 커뮤니티가 공론장으로서의 역할을 수행하는 FIELD_PUBLICSPHERE에 부여된다. | [ENV] 텍스트는 익명성 수준을 비교하고, 그 차이가 커뮤니티 생애주기에 영향을 미친다는 근거를 제공하므로 ENV_ONLINE_ANNONIMITY와 ENV_COMMUNITY_LIFECYCLE에 부여한다. | [ROLE] 논문은 온라인 커뮤니티 내부의 익명성 수준이 정체성 형성과 갈등에 미치는 영향을 분석하므로, 주로 FIELD 범주에 해당하지만 구체적 공론장 역할이나 사회자본 형성은 명시되지 않아 부여되지 않는다. | [ENV] 텍스트는 익명성 수준을 비교해 담론 차이를 제시하므로 ENV_ONLINE_ANNONIMITY에 부여되며, 다른 코드는 비교·분석 근거가 부족해 부여되지 않는다."
18,모성의 의료화: 맘카페의 모유수유 담론을 중심으로,ROLE_WINDOW_MISC,"ROLE_FIELD_PUBLICSPHERE, ROLE_WINDOW_MISC",True,"run1:ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_MISC; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_MISC; run3:ROLE_FIELD_PUBLICSPHERE","[ROLE] 논문은 온라인 커뮤니티를 모성 의료화 현상을 논의하는 장으로 보며, 동시에 의료화라는 사회현상을 다루므로 FIELD_PUBLICSPHERE와 WINDOW_MISC 두 코드를 부여한다. | [ROLE] 논문은 온라인 커뮤니티를 모성 의료화 현상을 논의하는 장으로 보며, 동시에 의료화가 사회적 현상으로 확장된 사례를 제시하므로 ROLE_FIELD_PUBLICSPHERE와 ROLE_WINDOW_MISC를 부여한다. | [ROLE] 논문은 온라인 커뮤니티가 모성의 의료화 현상을 주관적으로 재생산하는 장으로 기능한다는 점을 강조하며, 이는 FIELD의 공론장 역할과 함께 의료화라는 사회현상을 다루는 WINDOW_MISC에 부합한다."
