id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 일베라는 온라인 커뮤니티를 분석 대상으로 삼아 그 담론이 사회적 현상을 어떻게 보여주는지 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 세월호 참사에 대한 사회적 반응이라는 사건 자체를 분석 대상으로 삼고, 온라인 커뮤니티인 일베는 그 현상을 보여주는 사례일 뿐이며, 온라인 커뮤니티 자체의 구조나 역할을 분석하지 않는다."
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,FIELD,FIELD,,,ROLE_FIELD,OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD","run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD",True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티를 분석 대상으로 삼아 신뢰반경에 미치는 역할을 검증하고, 회원제·비회원제와 익명성 수준 등 환경적 조건에 따른 효과 차이를 비교·분석한다","[ROLE] 논문은 온라인 커뮤니티의 구조적 조건(회원제·익명성) 자체가 신뢰반경에 미치는 양면적 효과를 분석하고 있으며, 이러한 효과는 온라인 커뮤니티라는 공간의 역할에 초점을 맞추고 있어 FIELD에 해당한다. | [ENV] 논문은 회원제와 비회원제 커뮤니티의 효과 차이를 비교하여 구독 조건 코드를 부여하지만, 거버넌스, 라이프사이클, 익명성 수준에 대한 비교 분석은 제시하지 않는다."
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 펨코라는 온라인 커뮤니티를 정치·사회 현상의 사례로 분석하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건의 비교·분석은 다루지 않는다","[ROLE] 논문은 온라인 커뮤니티 자체와 그 주변 디지털 환경이 청년 남성의 보수·극우 담론 형성에 어떤 역할을 하는지를 분석하고 있으며, 이는 온라인 커뮤니티라는 공간의 사회적 역할을 조명하는 FIELD에 해당한다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 서사를 온라인 커뮤니티에서 분석하여 노동통제와 사회관계를 조명하지만, 커뮤니티의 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 온라인 커뮤니티에 게시된 노동자 서사를 통해 물류센터·편의점 노동통제 체제라는 외부 현상을 분석하고 있으며, 온라인 커뮤니티는 그 현상을 보여주는 사례일 뿐이다. 동일한 서사를 오프라인 인터뷰로 얻어도 결론이 동일하게 성립하므로 WINDOW에 해당한다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티가 청년들의 윤리적 소비 의향에 미치는 영향을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티라는 공간 자체가 청년들의 윤리적 소비 의향과 시민적 참여를 촉진하는 역할을 분석하고 있으며, 이는 온라인 커뮤니티의 구조와 상호작용이 사회적 결과에 미치는 영향을 탐구하는 FIELD에 해당한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 FMKorea 게시판을 분석해 커뮤니티가 여론 형성(공론장) 역할을 하는지를 탐구하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 내 추천·비추천 투표 메커니즘과 그 구조가 포괄적 여론 형성에 미치는 역할을 분석하고 있으며, 이는 온라인 커뮤니티라는 공간 자체의 공론장 역할을 조명하는 FIELD에 해당한다"
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 활동을 베버의 합리성 관점에서 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상이나 역할·환경으로 조명하지 않는다","논문은 인터넷 활동을 베버의 합리성 관점에서 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상이나 역할·환경으로 조명하지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 네오룩이라는 온라인 커뮤니티 자체를 분석 대상으로 삼아 그 역할을 공론장·협력망으로 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조·환경 조건에 대한 비교·분석은 다루지 않는다","[ROLE] 이 논문은 온라인 커뮤니티에 축적된 게시물이라는 현상을 분석 대상으로 삼아, 그 결과를 통해 미술계라는 외부 집단의 구조와 흐름을 파악하고 있다. 온라인 커뮤니티는 그 현상을 보여주는 사례일 뿐이며, 연구의 핵심 질문은 온라인 커뮤니티 자체의 역할이 아니라 미술계라는 외부 영역을 조명하는 것이므로 WINDOW에 해당한다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티는 언급되지 않거나 연구 대상이 아니다","논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티는 언급되지 않거나 연구 대상이 아니다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 사회적 현상(혐오·분노 확산)을 조명하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건의 비교·분석은 다루지 않는다","[ROLE] 이 논문은 일베라는 온라인 커뮤니티에서 발생한 혐오·분노 프레이밍이라는 현상을 분석 대상으로 삼고, 커뮤니티 자체는 그 현상을 보여주는 사례에 불과하다. 따라서 온라인에서 일어난 사건·현상 자체를 다루는 WINDOW에 해당한다."
