id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,ROLE_WINDOW_HATE,run1:ROLE_WINDOW_HATE; run2:ROLE_WINDOW_HATE; run3:ROLE_WINDOW_HATE,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 일베 온라인 커뮤니티를 세월호 사건에 대한 혐오 담론의 사례로 삼아, 공감·혐오의 의식 구조와 생활세계 차이를 분석한다 | 이 논문은 일베 온라인 커뮤니티를 세월호 사건에 대한 혐오 담론을 생산하는 사례로 삼아, 그 담론이 나타내는 혐오와 공감의 이분법적 구조를 분석한다 | 이 논문은 세월호 사건에 대한 공감·혐오 반응을 비교 분석하기 위해 ‘노란 리본’ 운동 참여자와 일베 사용자라는 온라인 커뮤니티를 사례로 삼아, 혐오 담론이 어떻게 형성·정당화되는지를 탐구한다","논문은 일베 커뮤니티의 혐오 담론을 사례로 삼아 사회적 갈등을 분석하므로 ROLE_WINDOW_HATE 코드가 가장 부합한다 | 일베 커뮤니티의 혐오 담론을 분석한 것이 논문의 핵심이며, 이는 ROLE_WINDOW_HATE 코드에 가장 높은 확률을 부여한다 | 연구는 일베 커뮤니티의 혐오 담론을 사례로 삼아 세월호 사건에 대한 혐오와 공감의 차이를 분석하므로, ROLE_WINDOW_HATE 코드가 가장 높은 확률로 부여된다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ENV_COMMUNITY_SUBSCRIPTION,ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL","run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run2:ENV_ONLINE_ANNONIMITY,ROLE_FIELD_SOCIALCAPITAL; run3:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:ENV_ONLINE_ANNONIMITY; run2:ENV_COMMUNITY_SUBSCRIPTION; run3:ENV_ONLINE_ANNONIMITY,True,True,True,"이 논문은 온라인 커뮤니티 활동이 신뢰반경을 확대·축소하는 양면적 효과를 분석하고, 익명성 수준 및 회원제 여부에 따른 차이를 검증한다 | 이 논문은 온라인 커뮤니티를 신뢰반경에 미치는 양면적 영향을 분석하면서, 익명성 수준과 회원제 여부에 따른 효과 차이를 조사한다 | 이 논문은 온라인 커뮤니티를 신뢰반경을 확대·축소하는 양면적 효과의 사례로 삼아, 소속감·사회적 거리감과 익명성·회원제 차이가 신뢰반경에 미치는 영향을 분석한다","논문은 온라인 커뮤니티를 신뢰반경(사회적 자본) 형성의 장으로 보고, 회원제·비회원제와 익명성 수준에 따른 효과 차이를 실증적으로 분석하므로 ROLE_FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, ENV_ONLINE_ANNONIMITY 코드가 가장 부합한다 | 논문은 온라인 커뮤니티를 신뢰(사회적 자본) 형성의 장으로 보고, 회원제 여부와 익명성 수준이 그 효과에 미치는 차이를 실증적으로 분석한다 | 논문은 온라인 커뮤니티를 신뢰라는 관계적 자원의 형성·변동 장으로 보고, 회원제·비회원제와 익명성 차이가 신뢰반경에 미치는 양면적 효과를 분석한다"
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,,,ROLE_WINDOW_POLARIZE,OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_POLARIZE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_POLARIZE",False,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 이준석·청년남성·펨코라는 결합체를 통해 청년 남성의 보수·극우 담론이 어떻게 형성·전파되는지를 분석하고, 그 과정에서 나타나는 정치적 양극화와 성별 갈등을 비판적으로 재검토한다 | 이 논문은 펨코라는 온라인 커뮤니티를 청년 남성·정치인·플랫폼이라는 결합체의 사례로 삼아, 그 안에서 나타나는 보수·극우화 담론과 ‘이대남’이라는 젠더·정치 갈등을 비판적으로 재검토하고 향후 연구 과제를 제시한다 | 이 논문은 펨코라는 온라인 커뮤니티를 사례로 삼아 청년 남성의 보수·극우화 담론이 어떻게 형성·강화되는지를 비판적으로 재검토하고, 그 정치적 양극화 과정을 분석한다","청년 남성·보수·극우 담론을 분석하는 것이 논문의 핵심이며, 이는 정치적 양극화와 성별 갈등이라는 두 WINDOW 차원에 해당한다 | 논문은 펨코를 정치·젠더 갈등(보수·극우화, 이대남) 현상의 사례로 활용해 분석하므로 WINDOW_POLARIZE와 WINDOW_GENDER 코드가 가장 높은 확률을 갖는다 | 논문은 펨코를 정치·사회적 양극화 현상의 사례로 활용해 보수·극우 담론을 분석하므로 ROLE_WINDOW_POLARIZE 코드가 가장 높은 확률을 차지한다"
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 청년 불안정 노동자들이 온라인 커뮤니티에 올린 노동체험 서사를 자료로 삼아, 노동현장에서의 적대·연대 관계와 계급·정체성 형성을 분석한다 | 이 논문은 청년 불안정 노동자들의 온라인 커뮤니티 게시글을 자료로 삼아, 노동통제 체제와 노동자들 간의 적대·연대 관계·계급 인식을 분석한다 | 이 논문은 청년 불안정 노동자들의 온라인 커뮤니티 게시글을 자료로 삼아, 노동통제 체제와 현장 관리자·소비자와의 갈등·연대 관계를 분석한다","온라인 커뮤니티에 게시된 노동체험 서사를 통해 노동 현장의 관계·연대와 계급 의식을 탐구하므로 FIELD_SOCIALCAPITAL 코드가 가장 부합한다 | 온라인 커뮤니티 게시글을 통해 노동자들의 사회관계와 연대·적대 구조를 분석한 점이 가장 핵심이며, 이는 ROLE_FIELD_SOCIALCAPITAL 코드에 가장 부합한다 | 온라인 커뮤니티 게시글을 통해 노동자들의 현장 관계와 연대·갈등 구조를 분석한 점이 가장 두드러져, ROLE_FIELD_SOCIALCAPITAL 코드가 가장 높은 확률로 부여된다"
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,"run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC",False,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 청년층이 인터넷 커뮤니티에서 형성하는 사회자본과 공감 경험이 윤리적 소비 참여 의도에 미치는 영향을 분석한다 | 이 논문은 인터넷 커뮤니티를 청년들의 사회자본과 공감 경험이 형성되는 장으로 보고, 이러한 관계가 윤리적 소비 참여 의도에 미치는 영향을 분석한다 | 이 논문은 인터넷 커뮤니티를 사회자본과 공감 경험이 형성·작용하는 장으로 삼아, 이러한 관계·감정 메커니즘이 윤리적 소비 참여 의도에 미치는 영향을 경로분석으로 규명한다","온라인 커뮤니티를 사회자본과 공감 경험이 형성되는 장(field)으로 보고, 이 자원들이 윤리적 소비 참여 의도에 미치는 영향을 실증적으로 분석하였으므로 ROLE_FIELD_SOCIALCAPITAL 코드가 가장 부합한다. | 온라인 커뮤니티를 사회자본과 공감 경험이 형성되는 필드로 분석하고, 그 메커니즘이 윤리적 소비 참여를 촉진한다는 점이 가장 핵심적인 연구 초점이다 | 논문은 온라인 커뮤니티 내 사회자본과 공감 경험을 분석하는 FIELD_SOCIALCAPITAL 연구이며, 동시에 윤리적 소비라는 외부 현상을 설명하는 WINDOW_MISC 역할도 수행한다"
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 에펨코리아 커뮤니티의 게시글 추천 수와 사용자 집단 다양성·균등 참여 사이의 관계를 분석함으로써, 추천 체계가 커뮤니티 내 포괄적 여론을 형성하는 공론장으로서의 역할과 한계를 조명한다 | 이 논문은 FMKorea 커뮤니티의 게시글·댓글을 자료로 삼아, 사용자 집단 다양성과 추천 투표수 간 관계를 분석함으로써 온라인 커뮤니티가 공론장으로서 여론을 형성하는 메커니즘을 탐색한다 | 이 논문은 에펨코리아 커뮤니티의 게시글 추천 수를 여론 형성의 지표로 삼아, 사용자 집단의 다양성과 균등한 논의 참여가 추천 투표수에 미치는 영향을 분석하고, 이를 통해 온라인 커뮤니티가 공론장으로서 갖는 잠재력과 한계를 탐색한다.","추천 투표와 사용자 다양성·균등 참여를 중심으로 여론 형성 메커니즘을 분석하고, 이를 통해 온라인 커뮤니티가 공론장으로서 갖는 잠재력과 한계를 논의하므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 적합하다 | 논문은 온라인 커뮤니티의 추천 투표 메커니즘을 통해 의견 교환과 여론 형성 과정을 분석하므로, 공론장 역할을 강조하는 ROLE_FIELD_PUBLICSPHERE 코드가 가장 부합한다 | 주요 분석이 커뮤니티 내 다양한 사용자 집단의 의견 참여와 추천 투표수를 통해 여론 형성 메커니즘을 탐구하고, 공론장으로서의 역할을 논의하는 데 초점을 맞추므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 부합한다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:없음; run3:ROLE_WINDOW_MISC,False,1/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷에서의 인간행위를 베버의 합리성 이론으로 해석하는 사례로 삼아, 온라인 활동이 어떻게 합리화될 수 있는지를 이론적으로 탐색한다 | 이 논문은 인터넷 상의 인간행위를 베버의 합리성 개념으로 분석하며, 온라인 커뮤니티를 이론적 탐구의 대상이자 사례로 삼는다 | 이 논문은 인터넷 공간을 인간 행위의 합리성을 탐구하는 사례로 삼아, 베버의 합리성 개념을 적용해 온라인 활동이 어떻게 합리화될 수 있는지를 분석한다","논문은 온라인 커뮤니티를 이론적 사례로 활용해 베버적 합리성 개념을 설명하고자 하므로, WINDOW_MISC 코드가 가장 적합하다 | 논문은 온라인 활동 자체를 베버의 합리성 이론으로 해석하는 이론적 고찰에 머물러, 공론장, 사회적 자본, 특정 사회현상, 혹은 커뮤니티의 제도·인구·수명·익명성 등 구체적 환경 조건을 분석하지 않으므로 모든 코드가 미부여된다 | 논문은 온라인 커뮤니티를 베버의 합리성 이론을 적용해 인간 행위의 합리성을 설명하는 사례(window)로 활용하고 있으며, 다른 FIELD·ENV 코드에 해당하는 근거는 텍스트에 나타나지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL","run1:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 네오룩 커뮤니티의 아카이브를 텍스트마이닝으로 분석해 미술계 현황을 조명하고, 그 커뮤니티가 공론장 및 협력망으로 기능한다는 점을 설명한다 | 이 논문은 미술계 온라인 커뮤니티 ‘네오룩’을 미술계 지형을 탐색하는 공론장 및 협력망으로 삼아, 토픽 모델링을 통해 전시·장르·주제 변화를 분석한다 | 이 논문은 미술계 온라인 커뮤니티를 동시대 미술계 지형을 탐색하는 사례로 삼아, 토픽 모델링을 통해 전시·장르·주제 변화를 분석하고, 커뮤니티가 공론장이자 협력망으로 기능한다는 점을 조명한다","논문은 커뮤니티 텍스트를 분석해 미술계 현황을 조명하고, 해당 커뮤니티가 공론장과 협력망(관계·자원)으로 기능한다는 점을 중심으로 논의하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 부합한다 | 논문은 네오룩 커뮤니티를 미술계 공론장 및 협력망으로 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 보이며, 다른 WINDOW·ENV 코드들은 근거가 부족해 미부여로 평가된다 | 논문은 커뮤니티를 공론장 및 협력망(사회적 자본)으로 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드에 높은 확률을 부여하고, 다른 WINDOW·ENV 코드들은 근거 문장이 없으므로 낮은 확률로 미부여 처리한다"
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,이 논문은 온라인 커뮤니티 사례를 활용해 한국 결혼식 문화에서 나타나는 역할 대행 현상을 인상 관리와 감정 수행성 측면에서 분석한다 | 이 논문은 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행을 설명하기 위해 온라인 커뮤니티 사례를 활용하여 결혼식의 역할 대행 현상을 분석한다 | 이 논문은 온라인 커뮤니티를 사례로 삼아 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행성을 분석한다,"온라인 커뮤니티를 결혼식 문화 현상의 사례로 활용해 인상 관리와 감정 수행성을 설명하므로, WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티를 결혼식 문화의 인상 관리와 감정 수행을 설명하는 사례로 사용했으므로, WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티를 결혼식 문화 현상의 사례로 활용해 인상 관리와 감정 수행성을 설명하므로, WINDOW_MISC 코드가 가장 적합하다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE",True,0/3,run1:ROLE_WINDOW_POLARIZE; run2:없음; run3:ROLE_WINDOW_POLARIZE,False,False,True,"이 논문은 일베 온라인 커뮤니티를 극우 집단의 분노·혐오 프레임이 형성·확산되는 사례로 삼아, 프레임 생산과 남녀 대립 프레임 재편성을 분석한다 | 이 논문은 일베 커뮤니티를 극우 집단의 혐오·분노 확산과 남녀 갈등 프레임 재편성을 분석하는 사례로 삼아, 감정 정치와 프레이밍 과정을 탐구한다 | 이 논문은 일베 커뮤니티를 극우 감정·혐오·성별 갈등이 프레이밍되고 확산되는 사례로 삼아, 프레임 생산·재편성 과정을 분석한다","논문은 일베 커뮤니티를 극우 혐오·분노와 성별 대립 프레임이 나타나는 창(window)으로 활용해 분석하므로, ROLE_WINDOW_HATE, ROLE_WINDOW_GENDER(및 일정 부분 ROLE_WINDOW_POLARIZE)가 높은 확률로 부여된다 | 일베 커뮤니티를 혐오·분노와 성별 갈등 프레임의 구체적 사례로 분석한 점이 가장 두드러져 ROLE_WINDOW_HATE와 ROLE_WINDOW_GENDER 코드에 높은 확률을 부여한다 | 일베 커뮤니티를 통해 극우·혐오·성별 갈등 프레이밍이 어떻게 확산되는지를 분석한 연구이므로, 정치·사회적 양극화(ROLE_WINDOW_POLARIZE), 성별 갈등(ROLE_WINDOW_GENDER), 혐오(ROLE_WINDOW_HATE) 코드에 높은 확률을 부여한다."
11,윤리적 매개자로서 셀러브리티와 팬덤의 감정 정치: 갓생 세대의 장원영 소비하기,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_WINDOW_MISC; run3:ROLE_FIELD_SOCIALCAPITAL,False,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 더쿠·디시인사이드·네이트판 등 온라인 커뮤니티의 팬덤 담론을 분석하여, 팬덤 내 감정·윤리·위계가 어떻게 형성·작동하는지를 조명한다 | 이 논문은 더쿠·디시인사이드·네이트판 등 온라인 커뮤니티의 팬덤 담론을 분석하여, 그 담론이 윤리적 실천과 감정정치를 통해 집단적 질서와 위계를 형성하는 과정을 조명한다 | 이 논문은 더쿠·디시인사이드·네이트판 등 팬덤 커뮤니티를 윤리적 실천과 감정 정치가 형성·강화되는 장으로 삼아, 팬덤 내 관계·규범·위계가 어떻게 신자유주의적 통치성을 재생산하는지를 분석한다","팬덤 내 감정·윤리·위계라는 관계적 자원의 형성과 작동을 분석한 점이 가장 핵심이며, 이는 ROLE_FIELD_SOCIALCAPITAL 코드에 가장 부합한다 | 팬덤 담론을 통해 윤리적 실천과 감정정치를 분석한 점이 WINDOW_MISC 코드에 가장 부합한다 | 팬덤 커뮤니티 내에서 윤리적 실천과 감정 정치가 관계적 자원(신뢰·연대·규범)으로 형성되는 과정을 중심으로 분석하므로 ROLE_FIELD_SOCIALCAPITAL 코드가 가장 부합한다"
