id,title,gold_codes,majority_codes,gold_covered,run_details,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW,,False,run1:없음,"논문은 일베 사용자들을 대상으로 하여 온라인 커뮤니티를 연구 대상으로 삼지만, 커뮤니티의 사회적 역할이나 구조·운영 조건을 분석하지 않는다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ROLE_FIELD,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_WINDOW",False,"run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_WINDOW","[ROLE] 이 논문은 온라인 커뮤니티 활동이라는 현상이 신뢰반경에 미치는 영향을 분석 대상으로 삼고, 커뮤니티 자체는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ENV] 논문은 회원제와 비회원제의 효과 차이를 비교하여 구독 코드를 부여하지만, 거버넌스·라이프사이클·익명성에 대한 비교 분석은 제시되지 않는다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD,ROLE_WINDOW,False,run1:ROLE_WINDOW,"[ROLE] 이 논문은 인터넷 커뮤니티 이용이라는 온라인 현상 자체가 윤리적 소비 의향에 미치는 영향을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD,ROLE_WINDOW,False,run1:ROLE_WINDOW,"[ROLE] 이 논문은 추천·비추천 투표라는 온라인 현상 자체와 그 증가 메커니즘을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,ROLE_FIELD,ROLE_WINDOW,False,run1:ROLE_WINDOW,"[ROLE] 이 논문은 인터넷 기반 정치참여라는 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
13,메갈리아의 두 딸들: 익명성 수준에 따른 온라인 커뮤니티의 정체성 분화,ROLE_ETC,"ENV_ONLINE_ANNONIMITY, ROLE_WINDOW",False,"run1:ENV_ONLINE_ANNONIMITY,ROLE_WINDOW","[ROLE] 이 논문은 메갈리아라는 온라인 커뮤니티에서 발생한 담론·정체성 분화라는 현상을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ENV] 본문은 익명성 수준에 따른 담론 차이를 비교하고, 커뮤니티의 전체 생애와 쇠퇴 과정을 분석하므로 익명성 및 생애주기 코드는 부여되고, 구독제와 운영·거버넌스 코드는 해당 근거가 없어 미부여로 판단한다."
14,온라인 커뮤니티의 상호작용 의례: 자전거 커뮤니티 사례를 중심으로,ROLE_FIELD,ROLE_WINDOW,False,run1:ROLE_WINDOW,"[ROLE] 논문은 온라인 자전거 커뮤니티 내에서 발생하는 대화·상호작용 의례라는 구체적 현상을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
21,비대면 상황에서의 온라인 커뮤니티 활동이 삶 만족도에 미치는 영향: 코로나19 이전(2017년)과 이후(2021년) 비교를 중심으로,ROLE_FIELD,ROLE_WINDOW,False,run1:ROLE_WINDOW,"[ROLE] 이 논문은 온라인 커뮤니티 활동이라는 구체적인 현상(온라인에서 일어난 사건·현상) 자체가 분석 대상이며, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
22,새로운 사회운동 방식을 통한 집단기억의 형성과 유지: 스누라이프에서의 태그달기,ROLE_FIELD,ROLE_WINDOW,False,run1:ROLE_WINDOW,"[ROLE] 논문은 ‘태그달기’라는 온라인에서 발생한 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
27,사용자간 상호작용성(User-to-User Interactivity)의 측정을 위한 척도 개발과 검증:온라인 브랜드 커뮤니티를 대상으로,ROLE_FIELD,,False,run1:없음,"논문은 사용자간 상호작용성 척도 개발에 초점을 맞추며 특정 온라인 커뮤니티를 분석 대상으로 삼지 않고, 커뮤니티는 측정 대상 개념으로만 언급된다"
29,‘엄마표 영어’담론 분석:토픽모델링과 감성분석의 적용,ROLE_WINDOW,,False,run1:없음,"논문은 온라인 육아 커뮤니티의 데이터를 분석 대상으로 삼지만, 커뮤니티 자체의 사회적 역할이나 구조·운영 조건을 비교·분석하지 않는다"
