id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,ROLE_WINDOW_HATE,"run1:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_HATE; run3:ROLE_WINDOW_HATE",False,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 일베 사용자들의 혐오 담론과 ‘노란 리본’ 참여자들의 공감 반응을 비교하여 세월호 사건에 대한 사회적 갈등과 가치관을 해석적으로 재구성하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 연구는 세월호 사건에 대한 공감·혐오라는 사회적 현상을 설명하기 위해 ‘일베’ 사용자들이 생산한 혐오 담론을 사례로 분석하고, 이를 통해 사건에 대한 사회적 반응의 양상을 해석적으로 재구성하고자 하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 일베 사용자들의 혐오 담론을 분석하여 세월호 사건에 대한 사회적 갈등과 감정 양상을 해석하고자 하기 때문이다.","논문은 일베 사용자들의 혐오 담론과 ‘노란 리본’ 참여자들의 공감 반응을 비교함으로써 세월호 사건에 대한 사회적 양극화와 혐오 현상을 외부 현상의 사례로 분석한다; 따라서 WINDOW_POLARIZE와 WINDOW_HATE 코드가 높은 확률을 갖고, 다른 FIELD·ENV 코드는 근거가 없어 낮은 확률로 평가된다. | 논문은 세월호 사건에 대한 공감·혐오라는 사회적 현상을 설명하기 위해 ‘일베’의 혐오 담론을 사례로 사용하므로, 외부 현상을 관찰하는 시각에 해당하고, 혐오 담론 분석이 가장 중심적인 내용이어서 ROLE_WINDOW_HATE 코드에 높은 확률을 부여한다. | 논문은 일베 커뮤니티의 혐오 담론을 사례로 삼아 세월호 사건에 대한 사회적 갈등을 해석하므로 ROLE_WINDOW_HATE 코드에 높은 확률을 부여하고, 다른 FIELD·WINDOW·ENV 코드들은 초록에 해당 근거가 없으므로 낮은 확률로 미부여 처리한다."
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ENV_COMMUNITY_SUBSCRIPTION,ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL","run1:ENV_ONLINE_ANNONIMITY,ROLE_FIELD_SOCIALCAPITAL; run2:ENV_COMMUNITY_SUBSCRIPTION,ROLE_WINDOW_MISC; run3:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL",False,0/3,"run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_WINDOW_MISC; run2:ENV_ONLINE_ANNONIMITY; run3:ENV_ONLINE_ANNONIMITY",True,True,True,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 온라인 커뮤니티 활동이 신뢰반경이라는 외부 현상에 미치는 양면적 효과를 분석하면서, 동시에 커뮤니티 내 소속감과 사회적 거리감 감소를 통해 관계적 자원을 형성한다는 점을 검증하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 온라인 커뮤니티 활동이 신뢰반경이라는 사회적 현상에 미치는 양면적 효과를 검증하고, 익명성 수준 등에 따라 차이를 분석하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다.","논문은 신뢰반경이라는 외부 현상을 설명하기 위해 커뮤니티를 사례로 활용하면서, 동시에 커뮤니티 내 소속감·사회적 거리감 감소를 통한 관계적 자원(신뢰) 형성을 분석하므로 FIELD_SOCIALCAPITAL과 WINDOW_MISC가 핵심이며, 회원제 여부와 익명성 수준을 비교·검증하므로 ENV_COMMUNITY_SUBSCRIPTION과 ENV_ONLINE_ANNONIMITY도 부여된다. | 논문은 온라인 커뮤니티 활동이 신뢰반경이라는 외부 사회현상에 미치는 영향을 분석하므로 WINDOW_MISC가 주요 코드이며, 회원제 여부와 익명성 수준에 따른 차이를 비교하므로 ENV_COMMUNITY_SUBSCRIPTION과 ENV_ONLINE_ANNONIMITY도 부여된다. | 본 연구는 온라인 커뮤니티를 신뢰반경이라는 사회적 현상의 관찰 창이자, 신뢰·소속감이라는 관계 자원이 형성되는 장으로 활용하며, 회원제 여부와 익명성 수준이라는 환경 변수를 비교 분석한다."
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,,,ROLE_WINDOW_POLARIZE,OK,ROLE_WINDOW_POLARIZE,run1:ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_POLARIZE,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 이준석‑청년남성‑온라인커뮤니티 결합을 통해 청년 남성의 보수화·극우화 담론이라는 사회현상을 비판적으로 재검토하고 향후 연구 과제를 제시하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 펨코와 같은 온라인 커뮤니티가 청년 남성의 보수화·극우화 담론이라는 정치적 현상을 보여주는 창으로 활용되기 때문이다.,"논문은 온라인 커뮤니티를 청년 남성의 보수·극우화라는 정치적 양극화 현상을 살펴보기 위한 사례로 활용하고 있어 ROLE_WINDOW_POLARIZE 코드에 가장 높은 확률을 부여한다; 다른 FIELD·WINDOW·ENV 코드들은 초록에 해당 현상을 분석하거나 비교하는 근거가 없으므로 낮은 확률로 미부여 처리한다. | 논문은 온라인 커뮤니티를 정치적 보수·극우화라는 외부 현상의 사례로 활용하고 있으며, 해당 현상을 설명하는 문장이 존재하므로 ROLE_WINDOW_POLARIZE에 높은 확률을 부여한다. 다른 WINDOW·FIELD·ENV 코드들은 초록에 해당 현상이나 비교·분석 내용이 없으므로 낮은 확률로 미부여 처리한다. | 논문은 펨코를 통해 청년 남성의 보수·극우화라는 정치적 현상을 분석하고 있어 WINDOW‑POLARIZE 코드가 가장 부합한다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 청년 불안정 노동자들이 많이 참여하는 온라인 커뮤니티에 게시된 노동체험 서사를 분석하여 노동통제 체제와 계급적 정체성 등 노동현상의 구조적·문화적 측면을 고찰하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다, 왜냐하면 청년 불안정 노동자들의 노동체험 서사를 분석하여 노동통제 체제와 계급 인식 등 노동현상의 구조와 영향을 고찰하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 청년 불안정 노동자들이 많이 참여하는 온라인 커뮤니티에 게시된 노동체험 서사를 분석대상으로 하여 노동통제 체제와 계급적 정체성 등 외부 노동 현상을 고찰하기 때문이다.","논문은 온라인 커뮤니티에 게시된 노동체험 서사를 통해 청년 불안정 노동자의 노동통제와 계급 인식을 분석함으로써 외부 사회현상을 조명하고, 이는 WINDOW_MISC 코드에 가장 부합한다. | 논문은 온라인 커뮤니티에 게시된 노동체험 서사를 통해 청년 불안정 노동자의 계급 인식과 노동통제 체제라는 외부 사회현상을 조명하므로 WINDOW_MISC 코드가 가장 부합한다. | 논문은 온라인 커뮤니티에 게시된 노동체험 서사를 통해 청년 불안정 노동이라는 외부 사회현상을 분석하므로 WINDOW_MISC 코드가 가장 부합한다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,"ROLE_FIELD_SOCIALCAPITAL, ROLE_WINDOW_MISC","run1:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC; run2:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC; run3:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 인터넷 커뮤니티 이용이 윤리적 소비 참여 의도에 미치는 경로를 사회자본과 공감 경험을 매개로 분석하고, 커뮤니티 내 결속적·교량적 사회자본의 형성과 그 효과를 조사하기 때문이다. | 이 논문은 온라인 커뮤니티를 관계·담론이 형성되는 공간 자체로, 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 인터넷 커뮤니티 이용이 사회자본과 공감 경험을 통해 윤리적 소비 참여 의도에 미치는 경로를 분석하고, 커뮤니티 내에서 형성되는 결속적·교량적 사회자본을 측정하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 경로를 분석하면서, 커뮤니티 내 사회자본과 공감 경험이라는 관계적 자원의 형성과 그 효과를 동시에 검증하기 때문이다.","논문은 온라인 커뮤니티를 사회자본 형성·작용의 장으로 분석하면서(ROLE_FIELD_SOCIALCAPITAL) 동시에 윤리적 소비라는 외부 현상을 설명하는 사례로 활용하므로(ROLE_WINDOW_MISC) 두 코드가 주요 근거이며, 다른 코드들은 텍스트에 해당 근거가 없어 낮은 확률로 미부여 처리된다. | 논문은 온라인 커뮤니티 내에서 결속적·교량적 사회자본과 공감 경험이 형성되는 과정을 분석해 FIELD_SOCIALCAPITAL을 강조하고, 동시에 이러한 커뮤니티 활동이 윤리적 소비 참여라는 외부 사회현상을 설명하는 WINDOW_MISC 역할도 수행한다. | 논문은 온라인 커뮤니티를 윤리적 소비라는 외부 현상의 사례와 동시에 사회자본·공감 경험이라는 관계적 자원이 형성되는 장으로 분석하므로 ROLE_FIELD_SOCIALCAPITAL과 ROLE_WINDOW_MISC에 높은 확률을 부여하고, 다른 코드들은 근거 문장이 없으므로 낮은 확률로 미부여 처리한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL",OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,True,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 온라인 커뮤니티를 관계·담론이 형성되는 공간 자체로 삼는다, 그리고 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 다양한 사용자 집단의 참여와 추천 투표수 사이의 관계를 분석함으로써 커뮤니티 내 여론 형성 메커니즘과 공론장으로서의 잠재력을 평가하기 때문이다. | 이 논문은 온라인 커뮤니티를 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 게시글 추천 수와 사용자 집단 다양성 간의 관계를 분석하여 공론장으로서의 잠재력과 한계를 평가하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 게시글 추천 수가 커뮤니티 내 여론을 대변하는지를 분석하고, 사용자 집단 간의 상호작용과 의견 균등성이 커뮤니티 내 공론 형성에 미치는 영향을 조사하기 때문이다.","논문은 온라인 커뮤니티를 공론장으로서의 역할과 내부 담론·참여 구조를 분석 대상으로 삼아 ROLE_FIELD_PUBLICSPHERE 코드를 강하게 지지하고, 관계·담론 형성 측면에서는 일부 근거가 있으나 사회적 자원(신뢰·연대) 직접 언급이 부족해 ROLE_FIELD_SOCIALCAPITAL는 부여되지 않는다; WINDOW와 ENV 코드는 연구 초점과 내용에 부합하는 근거가 없으므로 모두 미부여로 평가한다. | 논문은 온라인 커뮤니티 내 추천 투표와 사용자 집단 다양성의 관계를 통해 공론장으로서의 역할을 평가하므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 높은 확률을 차지한다. | 논문은 추천 투표가 커뮤니티 내 여론을 대변하는지를 분석하고, 사용자 집단 간 상호작용이 공론 형성에 미치는 영향을 논의함으로써 온라인 커뮤니티를 공론장으로 보는 FIELD_PUBLICSPHERE 역할을 중심으로 다루며, 다른 코드들은 근거가 되는 구체적 문장이 없어 낮은 확률을 부여한다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,ERR,,run1:없음; run2:ROLE_WINDOW_MISC; run3:없음,False,2/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 인터넷 공간에서 인간행위의 합리성을 베버의 관점으로 탐색함으로써 온라인 활동 자체를 사회적·문화적 현상의 표본으로 활용하고 있기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다, 왜냐하면 인터넷에서의 인간행위들을 베버의 합리성 관점에서 이해하고자 하는 것이 연구의 주요 목적이기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 베버의 합리성 개념을 인터넷에서의 인간행위에 적용해 그 현상을 이해하고자 하기 때문이다.","논문은 온라인 커뮤니티를 베버적 합리성 논의를 위한 외부 현상의 사례로 활용하지만, 공론장·관계자원·정치적 양극화·젠더·혐오·기타 사회현상·회원제·거버넌스·인구통계·생애주기·익명성 등 11개 코드가 요구하는 구체적 분석이나 비교 근거가 초록에 존재하지 않으므로 모두 미부여로 판단한다. | 논문은 온라인 커뮤니티를 베버의 합리성이라는 외부 사회현상을 탐구하는 사례로 활용하고 있으며, 이는 WINDOW_MISC 코드에 해당한다; 다른 FIELD·WINDOW·ENV 코드들은 논문 내용과 일치하는 근거 문장이 없으므로 미부여로 평가한다. | 논문은 온라인 커뮤니티를 베버의 합리성 이론을 검토하는 사례로만 활용하고, 공론장·관계자원·정치·젠더·혐오·다른 사회현상·커뮤니티의 제도·인구통계·생애주기·익명성 등 어떠한 구체적 현상이나 환경 조건도 분석하지 않으므로 모든 코드에 대해 부여되지 않는다."
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL","run1:ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_MISC; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_WINDOW_MISC; run3:없음,False,False,True,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 미술계 온라인 커뮤니티 “네오룩”의 아카이브를 분석해 동시대 미술계의 지형을 탐색하고, 그 커뮤니티가 다양한 주체들이 교차하는 공론장이자 협력망으로 기능한다는 점을 강조하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 커뮤니티 아카이브를 토픽 모델링해 동시대 미술계의 지형을 탐색하고, 커뮤니티가 공론장이자 협력망으로 작동한다는 결론을 제시하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다.","논문은 미술계라는 외부 현상을 이해하기 위해 온라인 커뮤니티 데이터를 활용하고, 동시에 그 커뮤니티가 공론장과 협력망(사회적 자원)으로 기능한다는 점을 분석하므로 FIELD_PUBLICSPHERE, FIELD_SOCIALCAPITAL, 그리고 WINDOW_MISC 코드에 높은 확률을 부여한다. | 논문은 네오룩 커뮤니티 데이터를 통해 미술계 지형이라는 외부 현상을 탐색하고(ROLE_WINDOW_MISC), 동시에 커뮤니티가 다양한 주체가 교차하는 공론장(ROLE_FIELD_PUBLICSPHERE)이며 협력망, 즉 관계·담론 형성의 장(ROLE_FIELD_SOCIALCAPITAL)으로 기능한다는 점을 강조한다. | 논문은 미술계 온라인 커뮤니티를 공론장과 협력망이라는 관계·담론 형성 공간으로 분석하고, 이를 통해 미술계 현상의 변화를 조명한다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 결혼식 문화에서 나타나는 역할 대행 현상을 설명하기 위해 온라인 커뮤니티의 사례를 분석한다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 결혼식 문화라는 한국 사회의 외부 현상을 설명하기 위해 온라인 커뮤니티의 사례를 중심으로 분석하고 있기 때문이다.,"논문은 온라인 커뮤니티를 결혼식 문화라는 외부 사회현상을 설명하는 사례로 활용하고 있으며, 해당 현상을 다루는 것이 주된 분석 대상이므로 WINDOW_MISC 코드가 가장 부합한다. | 논문은 온라인 커뮤니티를 한국 결혼식 문화라는 외부 사회현상을 설명하기 위한 사례로 활용하고 있으며, 해당 현상은 기존 WINDOW 카테고리에 속하지 않아 WINDOW_MISC 코드가 가장 적합하다. | 논문은 온라인 커뮤니티를 한국 결혼식 문화라는 외부 사회현상을 설명하는 사례로 활용하고 있으며, 이는 ROLE_WINDOW_MISC 코드에 가장 부합한다."
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,ROLE_WINDOW_GENDER,ROLE_WINDOW_GENDER,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE",OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE",True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 일베 커뮤니티의 게시물을 분석해 극우 집단의 혐오와 성별 갈등 프레임이 사회에 확산되는 과정을 설명하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로, 관계·담론이 형성되는 공간 자체로 삼는다. 왜냐하면 일베 커뮤니티의 게시물을 분석해 극우 집단의 혐오·분노 프레임과 남녀 대립이라는 성별 갈등 프레임이 사회적 갈등과 분열을 어떻게 생산·확산시키는지를 설명하고, 동시에 그 커뮤니티 내부에서 이러한 프레임이 어떻게 구성·재편성되는지를 조명하기 때문이다. | 이 논문은 온라인 커뮤니티를 외부 사회현상을 관찰하는 사례로 삼는다. 왜냐하면 일베 커뮤니티의 게시물을 분석해 타자에 대한 분노·혐오와 남녀 간 대결구도라는 사회적 현상이 어떻게 생산·확산되는지를 설명하고 있기 때문이다.","논문은 일베 커뮤니티를 통해 혐오와 성별 갈등이라는 외부 사회현상의 확산 과정을 분석하므로 WINDOW_HATE와 WINDOW_GENDER 코드에 높은 확률을 부여하고, 다른 코드들은 초록에 해당 근거가 없으므로 낮은 확률로 평가한다. | 논문은 일베 커뮤니티를 통해 혐오·분노와 성별 갈등이라는 외부 사회현상의 확산 과정을 사례로 제시하고, 동시에 그 커뮤니티 내부에서 프레임이 어떻게 형성·재편성되는지를 분석하므로 ROLE_WINDOW_HATE와 ROLE_WINDOW_GENDER에 높은 확률을 부여하고, 다른 코드들은 근거 문장이 없으므로 낮은 확률로 평가한다. | 논문은 일베 커뮤니티를 통해 혐오와 성별 갈등이라는 외부 사회현상의 확산 과정을 분석하므로 WINDOW_HATE와 WINDOW_GENDER 코드가 높은 확률을 갖고, 다른 코드들은 초점과 일치하지 않아 낮은 확률로 평가된다."
