id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,ROLE_WINDOW_HATE,"run1:ROLE_WINDOW_HATE,ROLE_WINDOW_MISC; run2:ROLE_WINDOW_HATE; run3:ROLE_WINDOW_HATE",False,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 일베 사용자들의 혐오 담론과 ‘노란 리본’ 참여자들의 공감 반응을 비교 분석하며, 두 집단의 의식·생활세계가 어떻게 상반된 사회적 현상을 드러내는지를 탐구한다 | 이 논문은 일베 온라인 커뮤니티를 세월호 사건에 대한 혐오 담론이 생성·표현되는 사례로 삼아, 그 담론과 ‘노란 리본’ 참여자들의 공감·의식구조를 비교 분석한다 | 이 논문은 세월호 사건에 대한 공감·혐오 반응을 비교 분석하기 위해 ‘노란 리본’ 지지자와 일베 사용자라는 두 온라인 커뮤니티 집단을 사례로 삼아, 각각의 의식·생활세계와 혐오 담론 생산 과정을 해석적으로 재구성한다","본 연구는 온라인 커뮤니티 일베의 혐오 담론을 사례로 삼아 사회적 혐오 현상을 분석하고, 동시에 ‘노란 리본’ 참여자들의 공감 반응을 통해 다른 사회 현상을 조명하므로 ROLE_WINDOW_HATE와 ROLE_WINDOW_MISC가 가장 부합한다 | 논문은 일베 커뮤니티에서 발생한 혐오 담론을 중심으로 분석하므로 ROLE_WINDOW_HATE 코드가 가장 높은 확률을 차지한다 | 본 연구는 온라인 커뮤니티(일베)의 혐오 담론을 사회 현상의 사례로 활용해 분석하므로 ROLE_WINDOW_HATE 코드에 가장 높은 확률을 부여한다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ENV_COMMUNITY_SUBSCRIPTION,ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL","run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run2:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run3:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL",True,0/3,run1:ENV_ONLINE_ANNONIMITY; run2:ENV_ONLINE_ANNONIMITY; run3:ENV_ONLINE_ANNONIMITY,False,True,True,"이 논문은 온라인 커뮤니티를 신뢰반경에 미치는 양면적 영향을 분석하면서, 익명성 수준과 회원제 여부에 따른 효과 차이를 조사한다 | 이 논문은 온라인 커뮤니티 활동이 신뢰반경을 확대·축소하는 양면적 효과를 분석하고, 회원제·비회원제와 익명성 수준에 따른 차이를 검증한다 | 이 논문은 온라인 커뮤니티 활동이 신뢰반경을 확대·축소하는 양면적 효과를 분석하고, 익명성 수준 및 회원제 여부에 따른 차이를 검증한다","논문은 신뢰라는 사회적 자본을 중심으로 온라인 커뮤니티의 양면적 효과를 탐구하고, 회원제 여부와 익명성 수준이라는 환경적 요인이 그 효과에 미치는 차이를 실증적으로 분석한다 | 온라인 커뮤니티 활동이 신뢰반경이라는 사회적 자본을 형성·변화시키는 과정과, 회원제 여부가 그 효과에 중요한 조절 변수로 작용함을 중심으로 분석한다 | 논문은 온라인 커뮤니티를 신뢰라는 관계적 자원의 형성·변화를 분석하는 장(field)으로 보고, 회원제·비회원제 차이와 익명성 수준이라는 환경 조건을 중심으로 효과를 비교하므로 ROLE_FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, ENV_ONLINE_ANNONIMITY 코드가 부여된다"
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,,,ROLE_WINDOW_POLARIZE,OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_POLARIZE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_POLARIZE",False,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 펨코를 청년 남성·정치인 결합의 사례로 삼아, 보수·극우 담론과 청년 남성의 정치·젠더적 양극화 현상을 비판적으로 재검토한다 | 이 논문은 펨코를 포함한 온라인 커뮤니티를 청년 남성의 보수·극우 담론이 형성·확산되는 사례로 삼아, 정치적 양극화와 성별(남성) 갈등을 동시에 분석한다 | 이 논문은 펨코를 청년 남성의 보수·극우 담론이 형성·재현되는 사례로 삼아, 정치인·청년남성·온라인커뮤니티 결합을 비판적으로 재검토한다",펨코를 정치·젠더 양극화 현상의 사례로 활용해 보수·극우 담론과 이대남 논쟁을 분석하므로 WINDOW_POLARIZE와 WINDOW_GENDER 코드가 가장 높은 확률을 갖는다 | 논문은 온라인 커뮤니티를 정치·성별 갈등이 드러나는 현상(양극화·젠더) 분석의 창으로 활용하므로 WINDOW_POLARIZE와 WINDOW_GENDER 코드가 가장 높은 확률을 갖는다 | 논문은 펨코를 정치적 양극화·극우 담론이 나타나는 사례로 활용해 해당 현상을 비판적으로 분석하므로 ROLE_WINDOW_POLARIZE 코드가 가장 높은 확률을 차지한다
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_FIELD_SOCIALCAPITAL,"run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC; run3:ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 청년 불안정 노동자들이 온라인 커뮤니티에 올린 노동체험 서사를 자료로 삼아, 노동통제와 현장 관리자·동료·소비자와의 연대·갈등 관계를 분석함으로써 계급 의식과 사회적 연대 형성을 고찰한다 | 이 논문은 청년 불안정 노동자들의 노동체험 서사를 온라인 커뮤니티 자료로 삼아, 노동통제 체제와 현장 내 갈등·연대 관계, 그리고 계급 정체성 형성을 분석한다 | 이 논문은 청년 불안정 노동자들이 온라인 커뮤니티에 올린 노동체험 서사를 자료로 삼아, 노동통제 체제와 노동현장의 적대·연대 관계, 그리고 그 속에서 형성되는 계급 의식과 사회적 연대를 분석한다","온라인 커뮤니티 게시글을 통해 노동 현장의 연대와 갈등 관계를 분석한 점이 사회적 자원(연대·신뢰) 형성에 초점을 둔 FIELD_SOCIALCAPITAL에 가장 부합한다 | 온라인 커뮤니티에 게시된 노동자 서사를 통해 현장 내 갈등·연대와 계급 인식을 분석하므로 FIELD_SOCIALCAPITAL과, 노동통제·잉여노동이라는 외부 노동 현상을 설명하는 WINDOW_MISC 코드가 가장 부합한다. | 온라인 커뮤니티에 게시된 노동자 서사를 통해 노동관계와 연대·신뢰 형성 과정을 분석하므로, 사회적 자원(사회적 자본) 형성에 초점을 맞춘 FIELD_SOCIALCAPITAL 코드가 가장 적합하다"
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,"run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC; run3:ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷 커뮤니티 이용이 청년들의 윤리적 소비 의향에 미치는 영향을 사회자본과 공감 경험이라는 매개 과정을 통해 분석한다 | 이 논문은 인터넷 커뮤니티를 사회자본과 공감 경험이 형성·작동하는 장으로 분석하면서, 그 장을 통해 윤리적 소비 참여라는 외부 사회현상을 설명한다 | 이 논문은 청년층의 윤리적 소비 참여를 설명하기 위해 온라인 커뮤니티 내에서 형성되는 사회자본과 공감 경험을 분석하고, 그 과정이 소비 의향에 미치는 영향을 조사한다","논문은 온라인 커뮤니티 내에서 형성되는 결속·교량 사회자본과 공감 경험을 매개 변수로 삼아 윤리적 소비 참여를 설명하므로, ROLE_FIELD_SOCIALCAPITAL 코드가 가장 높은 확률로 부여된다. | 논문은 온라인 커뮤니티를 사회자본·공감 경험이 형성되는 장으로 분석하고, 이를 통해 윤리적 소비라는 외부 현상을 설명하므로 ROLE_FIELD_SOCIALCAPITAL과 ROLE_WINDOW_MISC가 가장 부합한다 | 온라인 커뮤니티 내에서 형성되는 결속·교량 사회자본과 공감 경험이 윤리적 소비 의향을 촉진한다는 분석이 논문의 핵심이며, 이는 FIELD_SOCIALCAPITAL 코드에 가장 부합한다"
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL",OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,True,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 FMKorea 커뮤니티의 게시글·댓글에서 사용자 집단 다양성과 추천 수의 관계를 분석하여, 추천 투표가 포괄적 여론을 반영하는 정도와 공론장으로서의 기능을 평가한다 | 이 논문은 에펨코리아 커뮤니티의 추천·비추천 투표 체계를 여론 형성 메커니즘으로 삼아, 사용자 집단 다양성과 추천 수 사이의 관계를 분석하고, 이를 통해 온라인 커뮤니티가 공론장으로서 갖는 잠재력과 한계를 탐색한다 | 이 논문은 에펨코리아 커뮤니티의 추천·비추천 투표 메커니즘을 공론장으로서의 기능을 살펴보며, 사용자 집단의 다양성과 균등한 논의 참여가 추천 수에 미치는 영향을 분석한다","추천 투표와 사용자 다양성 간 관계를 통해 온라인 커뮤니티가 포괄적 여론을 형성하는 공론장으로서의 잠재력을 분석하므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 부합한다 | 주된 분석 대상이 추천 투표를 통한 여론 형성 메커니즘이며, 이를 공론장 역할과 연결해 논의하므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 높은 확률을 차지한다 | 연구는 추천 투표를 통한 의견 형성 과정을 분석함으로써 커뮤니티를 공론장으로 보는 FIELD_PUBLICSPHERE 역할에 초점을 맞추고, 다른 ROLE·ENV 코드들은 근거 문장이 부족해 부여되지 않는다"
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:없음,False,1/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷에서의 인간행위를 베버의 합리성 관점으로 분석하여, 온라인 활동이 어떻게 합리적으로 이해될 수 있는지를 탐색한다 | 이 논문은 인터넷에서의 인간행위를 베버의 합리성 개념을 설명하는 사례로 삼아, 온라인 활동이 어떻게 합리적으로 이해될 수 있는지를 탐색한다 | 이 논문은 인터넷에서 이루어지는 인간행위를 베버의 합리성 개념을 적용해 어떻게 이해·해석할 수 있는지를 이론적으로 탐색한다","논문은 온라인 활동을 베버의 합리성 이론으로 해석하는 사례 연구이며, 이는 특정 사회현상(정치·젠더·혐오 등)이 아니라 이론적·개념적 탐구에 해당하므로 ROLE_WINDOW_MISC 코드가 가장 적합하다 | 논문은 온라인 커뮤니티를 베버의 합리성 논의를 위한 사례로 활용하며, 이는 WINDOW_MISC 코드에 가장 부합한다 | 논문은 온라인 행위 자체를 베버식 합리성 논의의 사례로 삼아 이론적 분석을 수행하므로, 정의된 11개 코드 중 어느 하나에도 해당하지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL","run1:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 미술계 온라인 커뮤니티 ‘네오룩’을 동시대 미술계 지형을 탐색하는 사례로 삼아, 토픽 모델링을 통해 전시·장르·주제 변화를 분석하고, 커뮤니티가 다양한 주체가 교차하는 공론장·협력망 역할을 수행한다는 것을 밝힌다. | 이 논문은 미술계 온라인 커뮤니티 ‘네오룩’을 미술계 지형을 탐색하는 공론장 및 협력망으로 삼아, 토픽 모델링을 통해 전시·장르·주제 변화를 분석한다 | 이 논문은 미술계 온라인 커뮤니티 ‘네오룩’을 공론장 및 협력망으로서 조명하며, 토픽 모델링을 통해 전시·장르 변화와 개인 서사의 확대 양상을 분석한다",논문은 커뮤니티를 공론장 및 협력망(관계·자원)으로 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 부합한다. | 논문은 온라인 커뮤니티를 미술계의 공론장 및 협력망(관계·자원)으로 분석하고 있어 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 차지한다 | 논문은 온라인 커뮤니티를 공론장과 협력망(사회적 자본)으로서 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 차지한다
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:없음,False,1/3,run1:없음; run2:없음; run3:없음,False,True,True,이 논문은 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행성을 설명하기 위해 온라인 커뮤니티 사례를 활용하여 외부 사회현상을 분석한다 | 이 논문은 한국 결혼식 문화에서 나타나는 역할 대행 현상을 설명하기 위해 온라인 커뮤니티 사례를 활용하여 개인·가족 차원의 인상 관리와 감정 수행성을 분석한다 | 이 논문은 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행을 분석하기 위해 온라인 커뮤니티 사례를 활용한다,"온라인 커뮤니티를 결혼식 문화의 인상 관리와 감정 수행을 설명하는 사례로 사용했으므로 WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티를 사례로 삼아 결혼식 문화의 인상 관리와 감정 수행성을 설명하므로 WINDOW_MISC 코드가 가장 적합하다 | 논문은 온라인 커뮤니티를 한국 결혼식 문화의 인상 관리와 감정 수행을 살펴보는 사례로만 사용하고, 커뮤니티 자체의 기능이나 환경 조건을 분석하지 않아 모든 코드가 적용되지 않는다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,ROLE_WINDOW_GENDER,ROLE_WINDOW_GENDER,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE",OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run2:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE",False,0/3,run1:ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_GENDER; run3:없음,True,True,True,"이 논문은 일베 커뮤니티를 사례로 삼아, 혐오·분노 감정이 프레임을 통해 확산되는 과정을 분석하고, 그 과정에서 남녀 대립이라는 성별 프레임과 정치적 양극화 프레임도 함께 조명한다 | 이 논문은 일베 온라인 커뮤니티를 극우 집단의 프레이밍과 감정·혐오·젠더 갈등이 확산되는 과정을 분석하는 사례로 삼아, 프레임 생산·재편성 과정을 조사한다 | 이 논문은 일베 커뮤니티의 게시물을 자료로 하여 혐오·분노와 남녀 간 대결구도라는 성별 갈등 프레임이 어떻게 형성·강화되는지를 분석한다","일베 커뮤니티의 게시물 분석을 통해 혐오·분노, 성별 대립, 정치적 양극화라는 세 가지 사회현상을 설명하고 있으므로 ROLE_WINDOW_HATE, ROLE_WINDOW_GENDER, ROLE_WINDOW_POLARIZE 코드가 가장 높은 확률을 차지한다 | 논문은 일베 커뮤니티를 혐오·분노·젠더 갈등이 형성·확산되는 사례로 분석하므로 ROLE_WINDOW_HATE, ROLE_WINDOW_POLARIZE, ROLE_WINDOW_GENDER 코드에 높은 확률을 부여한다 | 일베 커뮤니티 게시물 분석을 통해 혐오·분노와 성별 갈등 프레임이 어떻게 형성·강화되는지를 설명하므로 ROLE_WINDOW_HATE와 ROLE_WINDOW_GENDER 코드가 가장 높은 확률을 갖는다"
