id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,WINDOW,WINDOW,,,ROLE_WINDOW,ERR,,run1:없음,True,1/1,run1:없음,False,False,False,"has_community=True role_relevant=False env_relevant=False | 논문은 일베 사용자들을 대상으로 하여 온라인 커뮤니티를 연구 대상으로 삼지만, 커뮤니티의 사회적 역할이나 구조·운영 조건을 분석하지 않는다","논문은 일베 사용자들을 대상으로 하여 온라인 커뮤니티를 연구 대상으로 삼지만, 커뮤니티의 사회적 역할이나 구조·운영 조건을 분석하지 않는다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,FIELD,FIELD,,,ROLE_FIELD,OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_WINDOW","run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_WINDOW",True,0/1,run1:없음,False,False,False,has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티를 분석 대상으로 삼아 그 역할(신뢰반경 확대·축소)과 회원제·비회원제·익명성 수준 등 환경적 조건을 비교·분석하고 있다,"[ROLE] 이 논문은 온라인 커뮤니티 활동이라는 현상이 신뢰반경에 미치는 영향을 분석 대상으로 삼고, 커뮤니티 자체는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ENV] 논문은 회원제와 비회원제의 효과 차이를 비교하여 구독 코드를 부여하지만, 거버넌스·라이프사이클·익명성에 대한 비교 분석은 제시되지 않는다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 서사를 온라인 커뮤니티에서 분석해 노동통제와 계급 인식을 고찰하지만, 커뮤니티의 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 온라인 커뮤니티에 올라온 노동자 서사를 자료로 삼아 노동통제 체제와 사회관계 등을 분석하고 있으며, 온라인 커뮤니티 자체의 역할을 연구 대상이 아니라 현상(노동자 서사) 자체를 분석하고 있기 때문에 WINDOW에 해당한다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 청년층의 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 영향을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 다루지 않는다","[ROLE] 이 논문은 인터넷 커뮤니티 이용이라는 온라인 현상 자체가 윤리적 소비 의향에 미치는 영향을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티의 추천·비추천 투표 메커니즘을 통해 여론 형성과 공론장 역할을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 다루지 않는다","[ROLE] 이 논문은 추천·비추천 투표라는 온라인 현상 자체와 그 증가 메커니즘을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 인터넷에서의 인간행위와 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티의 역할이나 환경 조건을 다루지 않는다","논문은 인터넷에서의 인간행위와 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티의 역할이나 환경 조건을 다루지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 ‘네오룩’ 자체를 분석 대상으로 삼아 미술계의 공론장·협력망 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 온라인 커뮤니티에서 발생한 토픽·현상 자체를 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ERR,ERR,,,ERR,ERR,,run1:없음,True,1/1,run1:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화의 역할 대행을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다","논문은 한국 결혼식 문화의 역할 대행을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 그 사회적 역할과 프레이밍 과정을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 일베라는 온라인 현상에서 혐오와 분노가 확산되는 과정을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
11,윤리적 매개자로서 셀러브리티와 팬덤의 감정 정치: 갓생 세대의 장원영 소비하기,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 더쿠·디시인사이드·네이트판 등 온라인 커뮤니티를 분석 대상으로 삼아 팬덤의 사회적·윤리적 역할을 조명하지만, 회원제·운영방식·익명성 등 구조·환경 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티의 게시글이라는 사례를 통해 팬덤 현상이라는 온라인에서 일어난 사회적 현상 자체를 분석 대상으로 삼고 있으며, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드 정치토론 게시판이라는 온라인 커뮤니티를 사례로 정치참여 현상을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 인터넷 기반 정치참여라는 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
13,메갈리아의 두 딸들: 익명성 수준에 따른 온라인 커뮤니티의 정체성 분화,ETC,ETC,,,ROLE_ETC,OK,"ENV_ONLINE_ANNONIMITY, ROLE_WINDOW","run1:ENV_ONLINE_ANNONIMITY,ROLE_WINDOW",True,0/1,run1:ENV_COMMUNITY_LIFECYCLE,False,False,False,"has_community=True role_relevant=True env_relevant=True | 논문은 메갈리아라는 온라인 커뮤니티를 분석 대상으로 삼아 정체성·갈등을 탐구하고, 익명성 수준이라는 구조적 여건을 비교·분석한다","[ROLE] 이 논문은 메갈리아라는 온라인 커뮤니티에서 발생한 담론·정체성 분화라는 현상을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ENV] 본문은 익명성 수준에 따른 담론 차이를 비교하고, 커뮤니티의 전체 생애와 쇠퇴 과정을 분석하므로 익명성 및 생애주기 코드는 부여되고, 구독제와 운영·거버넌스 코드는 해당 근거가 없어 미부여로 판단한다."
14,온라인 커뮤니티의 상호작용 의례: 자전거 커뮤니티 사례를 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 자전거 커뮤니티의 상호작용 의례와 구성 과정을 분석하여 커뮤니티 자체의 사회적 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 온라인 자전거 커뮤니티 내에서 발생하는 대화·상호작용 의례라는 구체적 현상을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
15,온라인 커뮤니티의 사회적 자본과 제도: 디시인사이드 바람의 화원/바람의 나라 갤러리를 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 두 온라인 커뮤니티를 실증 분석 대상으로 삼아 제도(재생산)와 사회적 자본의 관계를 탐구하지만, 회원제·운영방식·생애주기·익명성 등 구조·환경 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 자체의 제도(재생산)와 그 역할을 사회적 자본이라는 관점에서 분석하고 있으며, 커뮤니티라는 공간이 사회에서 수행하는 기능을 규명하는 것이 핵심 결론이므로 FIELD에 해당한다."
16,한국사회의 젠더갈등과 감정동학: 2022년 대선 여성가족부 폐지 담론을 중심으로,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 더쿠라는 온라인 커뮤니티를 분석 대상으로 삼아 여성가족부 폐지 논쟁 속 감정동학을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 여성가족부 폐지라는 온라인에서 발생한 갈등 현상 자체를 분석 대상으로 삼고, 더쿠 커뮤니티는 그 현상을 보여주는 사례일 뿐이므로 WINDOW에 해당한다."
17,젠더 게임 해부하기: 정치적 부족주의에 입각한 반동의 정치에 대한 비판,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 2030 남성들의 온라인 커뮤니티를 분석 대상으로 삼아 그 역할과 갈등 메커니즘을 조명하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 팬데믹 시대의 사회현상인 ‘젠더 게임’이라는 사건 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
18,모성의 의료화: 맘카페의 모유수유 담론을 중심으로,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW,True,0/1,run1:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 맘카페라는 온라인 커뮤니티를 분석 대상으로 삼아 그 역할을 강조하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다","[ROLE] 논문은 의료화라는 온라인에서 일어난 현상 자체를 분석 대상으로 삼고, 맘카페는 그 현상을 보여주는 사례일 뿐이므로 WINDOW에 해당한다."
