id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,ROLE_WINDOW_HATE,run1:ROLE_WINDOW_HATE; run2:ROLE_WINDOW_HATE; run3:ROLE_WINDOW_HATE,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 세월호 사건에 대한 공감·혐오 반응을 비교 분석하기 위해 ‘일베’ 사용자들의 혐오 담론을 사례로 삼아, 온라인 커뮤니티가 혐오 표현이 생산·전파되는 현상을 보여주는 창으로 활용한다 | 이 논문은 일베 온라인 커뮤니티 사용자의 혐오 담론을 세월호 사건에 대한 사회적 반응을 설명하는 사례로 삼아, 그 담론이 나타내는 혐오와 공감의 이분성을 비교 분석한다 | 이 논문은 세월호 사건에 대한 공감·혐오 반응을 비교 분석하기 위해 ‘일베’ 온라인 커뮤니티의 혐오 담론을 사례로 삼아, 참여자들의 의식·생활세계 차이를 해석한다","온라인 커뮤니티인 일베의 혐오 담론을 분석함으로써 혐오 현상을 설명하는 창(window) 역할이 가장 두드러져, ROLE_WINDOW_HATE 코드에 높은 확률을 부여한다 | 일베 사용자의 혐오 담론을 사례로 삼아 세월호 사건에 대한 사회적 반응을 분석한 점이 가장 핵심이며, 이는 ROLE_WINDOW_HATE 코드에 가장 부합한다 | 논문은 ‘일베’ 커뮤니티의 혐오 담론을 사례로 삼아 세월호 사건에 대한 사회적 혐오 현상을 분석하므로 ROLE_WINDOW_HATE 코드가 가장 높은 확률을 갖는다"
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ENV_COMMUNITY_SUBSCRIPTION,ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL",OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL","run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run2:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run3:ENV_COMMUNITY_SUBSCRIPTION,ENV_ONLINE_ANNONIMITY",False,0/3,run1:ENV_ONLINE_ANNONIMITY; run2:ENV_ONLINE_ANNONIMITY; run3:ROLE_FIELD_SOCIALCAPITAL,True,True,True,"이 논문은 온라인 커뮤니티 활동이 신뢰반경을 확대하거나 축소하는 양면적 효과를 조사하면서, 회원제·비회원제와 익명성 수준에 따른 차이를 분석한다 | 이 논문은 온라인 커뮤니티 활동이 이용자의 신뢰반경을 확대·축소하는 양면적 효과를 분석하고, 익명성 및 회원제 여부에 따른 차이를 검증한다 | 이 논문은 온라인 커뮤니티를 신뢰반경을 확대·축소하는 양면적 효과를 나타내는 현상으로 삼아, 익명성 수준과 회원제 여부에 따른 효과 차이를 분석한다","온라인 커뮤니티를 신뢰와 사회적 거리감이라는 관계적 자원의 형성·작동 장으로 분석한 점이 가장 핵심이며, 회원제 여부와 익명성 수준을 비교·조절 변수로 활용한 점이 환경 조건 분석에 해당한다 | 논문은 온라인 커뮤니티를 신뢰(사회적 자본) 형성의 장으로 보고, 회원제 여부와 익명성 수준에 따라 신뢰반경 확대·축소 효과가 어떻게 달라지는지를 분석한다 | 논문은 온라인 커뮤니티를 신뢰(사회적 자본) 형성·변화의 장으로 보고, 회원제 여부와 익명성 수준이라는 환경 조건이 그 효과에 미치는 차이를 실증적으로 분석한다"
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,,,ROLE_WINDOW_POLARIZE,OK,ROLE_WINDOW_POLARIZE,"run1:ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_POLARIZE",False,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 펨코라는 온라인 커뮤니티를 청년 남성·정치인·플랫폼 결합체의 사례로 삼아, 청년 남성의 보수·극우화 담론이 어떻게 형성·확산되는지를 비판적으로 재검토한다 | 이 논문은 펨코라는 온라인 커뮤니티를 청년 남성의 보수·극우화 담론이 형성·전파되는 사례로 삼아, 정치적 양극화와 성별·세대 갈등을 비판적으로 재검토한다 | 이 논문은 이준석·청년남성·펨코라는 결합체를 사례로 삼아 청년 남성의 보수·극우화 담론이 어떻게 형성·전파되는지를 비판적으로 재검토한다","논문은 온라인 커뮤니티를 정치·사회적 양극화 현상의 사례로 활용해 청년 남성의 보수·극우화 담론을 분석하므로, ROLE_WINDOW_POLARIZE 코드에 가장 높은 확률을 부여한다 | 펨코를 통해 청년 남성의 보수·극우화와 ‘이대남’ 담론을 분석함으로써 정치적 양극화와 성별 갈등을 설명하고자 하므로 ROLE_WINDOW_POLARIZE와 ROLE_WINDOW_GENDER 코드가 가장 부합한다 | 논문은 온라인 커뮤니티를 정치적 양극화(보수·극우화) 현상의 사례로 활용해 그 담론의 형성과 전파 과정을 분석하므로 ROLE_WINDOW_POLARIZE 코드에 가장 높은 확률을 부여한다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 청년 불안정 노동자들이 온라인 커뮤니티에 올린 노동체험 서사를 자료로 삼아, 노동통제 체제와 현장 내 적대·연대 관계, 계급 인식 등 노동 현상의 구조와 의미를 분석한다 | 이 논문은 청년 불안정 노동자들이 참여하는 온라인 커뮤니티에 게시된 노동체험 서사를 자료로 삼아, 노동통제 체제와 갈등·연대 관계, 계급 의식 등을 분석함으로써 노동 현상의 사회적·경제적 양상을 조명한다 | 이 논문은 청년 불안정 노동자들의 노동체험 서사를 온라인 커뮤니티에 게시된 자료로 삼아, 노동통제 체제와 사회관계, 계급 의식 등을 분석한다","온라인 커뮤니티에 게시된 노동체험 서사를 통해 노동 현상의 구조와 의미를 분석하므로, 사회현상(노동) 설명에 해당하는 WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티의 게시글을 노동 현상의 사례로 활용해 사회·경제적 갈등과 정체성을 분석하므로, WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티의 게시글을 노동 현상의 사례 자료로 활용한 점이 가장 핵심이며, 이는 WINDOW_MISC 코드에 가장 높은 확률을 부여한다"
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷 커뮤니티를 청년들의 윤리적 소비 참여를 촉진하는 사회자본과 공감 경험이 형성·작용하는 공간으로 삼아, 사회자본과 공감이 윤리적 소비 의도에 미치는 경로를 분석한다 | 이 논문은 인터넷 커뮤니티를 청년들의 사회자본과 공감 경험이 형성되는 장으로 삼아, 이러한 관계적 자원이 윤리적 소비 참여 의도에 미치는 영향을 분석한다 | 이 논문은 인터넷 커뮤니티를 청년들의 윤리적 소비 의향을 형성하는 사회자본과 공감 경험이 축적되는 공간으로 삼아, 커뮤니티 내 상호작용이 사회자본 인식과 공감 경험을 매개해 윤리적 소비 참여를 촉진하는 과정을 분석한다","논문은 온라인 커뮤니티 내에서 형성되는 사회자본과 공감 경험을 중심으로 윤리적 소비 의도에 미치는 영향을 분석하므로, FIELD_SOCIALCAPITAL 코드가 가장 높은 확률로 부여된다. | 온라인 커뮤니티를 사회자본과 공감 경험이 형성되는 FIELD로 분석하고, 이 관계가 윤리적 소비 참여에 미치는 영향을 규명한 연구이므로 ROLE_FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 차지한다. | 논문은 온라인 커뮤니티를 사회자본과 공감 경험이 형성·작동하는 장(field)으로 보고, 이 관계가 윤리적 소비 참여에 미치는 영향을 실증적으로 분석하므로 ROLE_FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 차지한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:ROLE_FIELD_PUBLICSPHERE; run3:ROLE_FIELD_PUBLICSPHERE,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 FMKorea 커뮤니티의 게시글을 사례로 삼아, 사용자 집단의 다양성과 추천 투표수 간의 관계를 분석함으로써 온라인 커뮤니티가 공론장으로서 여론을 형성하는 메커니즘을 탐구한다 | 이 논문은 FMKorea 커뮤니티의 게시글·댓글을 자료로 삼아, 사용자 집단 다양성과 균등한 논의 참여가 추천 투표수에 미치는 영향을 분석하면서, 이를 통해 온라인 커뮤니티가 공론장으로서 포괄적 여론을 형성하는 잠재력을 설명한다 | 이 논문은 온라인 커뮤니티를 의견·여론이 형성되는 장으로 삼아, 사용자 집단의 다양성과 균등한 참여가 게시글 추천 수에 미치는 영향을 분석한다","본 연구는 온라인 커뮤니티의 추천 투표 메커니즘을 통해 여론 형성 과정을 분석하고, 이를 공론장으로서의 역할과 한계에 연결시키므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 높은 확률을 차지한다 | 논문은 추천 투표수를 통해 온라인 커뮤니티가 공론장으로서 여론을 형성하는 과정을 분석하므로 ROLE_FIELD_PUBLICSPHERE 코드가 가장 높은 확률을 갖는다 | 연구는 온라인 커뮤니티를 공론장으로서의 역할에 초점을 맞추어 사용자 다양성과 참여 균등성이 여론 형성(추천 수)과 어떻게 연결되는지를 분석한다"
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:없음,False,1/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷 공간을 인간행위의 합리성을 베버의 이론으로 해석·탐색하는 사례로 삼아, 온라인 활동이 어떻게 합리화될 수 있는지를 분석한다 | 이 논문은 인터넷 공간을 베버의 합리성 이론 적용 사례로 삼아, 온라인 인간행위의 합리성 의미와 작동 방식을 탐구한다 | 이 논문은 인터넷 공간을 베버의 합리성 이론을 적용해 인간행위의 합리성을 탐구하는 사례로 삼아, 온라인 활동이 어떻게 합리화될 수 있는지를 이론적으로 분석한다","논문은 온라인 커뮤니티를 베버적 합리성 논의를 적용·검토하는 창으로 활용하므로 ROLE_WINDOW_MISC 코드가 가장 적합하다 | 논문은 온라인 커뮤니티를 베버의 합리성 이론을 적용해 인간행위의 합리성을 설명하는 사례로 활용하므로, WINDOW_MISC 코드가 가장 적합하다 | 논문은 온라인 커뮤니티를 이론적 탐구의 장으로 활용하지만, 공론장, 사회자본, 특정 사회현상, 혹은 커뮤니티의 제도·인구·생애주기·익명성 등 구체적 환경 조건을 분석 대상으로 삼지 않으므로 모든 코드가 미부여된다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_FIELD_SOCIALCAPITAL","run1:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_SOCIALCAPITAL",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 미술계 온라인 커뮤니티 ‘네오룩’의 아카이브를 분석하여 커뮤니티가 다양한 주체가 교차하는 공론장으로 기능하고, 동시에 신뢰·연대·협력망이라는 사회적 자원을 형성·작동시키는 공간임을 밝힌다 | 이 논문은 미술계 온라인 커뮤니티를 공론장이자 협력망으로 삼아, 토픽 모델링을 통해 전시·장르·주제 변화를 분석한다 | 이 논문은 미술계 온라인 커뮤니티를 미술계 지형을 탐색하는 공론장·협력망으로 삼아, 토픽 모델링을 통해 전시·장르·주제 변화를 분석한다","논문은 커뮤니티를 공론장과 협력망(사회적 자원)으로 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 갖는다 | 논문은 커뮤니티를 공론장 및 협력망(사회적 자본)으로 강조하며 분석을 전개하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 높은 확률을 차지한다 | 논문은 미술계 온라인 커뮤니티를 공론장 및 협력망(사회적 자본)으로 보고, 그 안에서 전시·장르·주제 변화를 분석하므로 FIELD_PUBLICSPHERE와 FIELD_SOCIALCAPITAL 코드가 가장 부합한다"
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,이 논문은 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행을 설명하기 위해 온라인 커뮤니티 사례를 분석한다 | 이 논문은 온라인 커뮤니티 사례를 통해 한국 결혼식 문화에서 나타나는 역할 대행 현상의 인상 관리와 감정 수행성을 분석한다 | 이 논문은 한국 결혼식 문화에서 나타나는 인상 관리와 감정 수행성을 설명하기 위해 온라인 커뮤니티 사례를 활용하여 역할 대행 현상을 분석한다,"논문은 온라인 커뮤니티를 한국 결혼식 문화의 인상 관리와 감정 수행을 설명하는 사례로 활용하므로, WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티를 결혼식 문화 현상의 사례로 활용해 인상 관리와 감정 수행성을 설명하므로, WINDOW_MISC 코드가 가장 적합하다 | 온라인 커뮤니티를 한국 결혼식 문화의 인상 관리와 감정 수행성을 설명하는 사례로 활용했으며, 이는 WINDOW_MISC에 해당한다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,"ROLE_WINDOW_GENDER, ROLE_WINDOW_HATE","run1:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run2:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE; run3:ROLE_WINDOW_GENDER,ROLE_WINDOW_HATE",True,0/3,run1:ROLE_WINDOW_POLARIZE; run2:없음; run3:ROLE_WINDOW_POLARIZE,False,False,True,"이 논문은 일베 커뮤니티의 게시물을 사례로 삼아, 혐오·분노 감정의 확산과 남녀 대결 구도라는 젠더 갈등 프레임, 그리고 진보·보수 진영 간의 정치적 양극화 현상을 분석한다 | 이 논문은 일베 커뮤니티를 혐오·분노 감정이 확산되는 사례로 삼아, 프레임와 도덕적 담론이 어떻게 형성·재편성되는지를 분석하고, 그 과정에서 남녀 갈등이라는 젠더 프레임까지 조명한다 | 이 논문은 일베 온라인 커뮤니티의 게시물을 분석하여 극우 집단의 분노·혐오·성별 갈등 프레임이 어떻게 생산·재편성되는지를 조사한다","일베 커뮤니티를 사례로 하여 혐오·분노, 젠더 갈등 프레임, 그리고 진보·보수 간의 정치적 양극화라는 사회 현상을 분석하므로 WINDOW_HATE, WINDOW_GENDER, 그리고 WINDOW_POLARIZE 코드가 가장 높은 확률을 갖는다 | 일베 커뮤니티를 혐오·분노와 젠더 갈등을 드러내는 사례로 분석한 점이 ROLE_WINDOW_HATE와 ROLE_WINDOW_GENDER 코드를 가장 강하게 뒷받침한다 | 일베 커뮤니티의 게시물 분석을 통해 혐오·분노와 성별 갈등 프레임을 중심으로 연구했으며, 이는 ROLE_WINDOW_HATE, ROLE_WINDOW_GENDER, 그리고 정치적 양극화와 관련된 ROLE_WINDOW_POLARIZE에 가장 부합한다"
