id,title,author,published_year,journal,abstract_lang,status,role_codes,env_codes,dropped_by_cap,focus,rationale,full_agreement,error_runs,run_details
ART000860737,온라인 브랜드 공동체 의식이 브랜드 커뮤니티 동일시와 브랜드 태도에 미치는 영향에 관한 연구,서문식(부산대학교),2003,마케팅관리연구,none,NO_ABSTRACT,,,,,초록 없음 (KOR_ABST/ENG_ABST 둘 다 없음),,,
ART001039391,A Study of the Factors Influencing WOM Effects in Online Environments,임종원(서울대학교),2007,아시아마케팅저널,kor,OK,ROLE_WINDOW_MISC,,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 환경에서 소비자 간 커뮤니케이션을 통해 발생하는 WOM(구두 홍보) 효과에 영향을 미치는 정보 특성과 그 메커니즘을 분석하며, 온라인 커뮤니티는 그 정보 전파의 매개 환경으로 전제된다. | 이 논문은 온라인 환경에서 소비자 간 커뮤니케이션을 통한 WOM(구두 홍보) 효과에 영향을 미치는 정보 특성과 그 메커니즘을 분석하며, 온라인 커뮤니티는 그 정보 전파의 매개 환경으로 전제된다. | 이 논문은 온라인 환경에서 소비자 간 커뮤니케이션을 통해 발생하는 WOM(구두 홍보) 효과에 영향을 미치는 정보 특성과 그 메커니즘을 분석하며, 온라인 커뮤니티는 그 정보 전파의 매개 환경으로만 언급된다.","이 논문은 온라인 커뮤니티를 WOM 효과가 발생하는 환경으로 전제하고, 그 안에서 정보 특성(공감, 생동성, 커뮤니티 상호작용 등)이 신뢰성과 참고성이라는 매개변수를 통해 마케팅 효과를 생성하는 구조를 분석하며, 이는 외부 사회현상(소비자 행동 및 마케팅 전파)을 관찰하는 사례로 활용한다. | 이 논문은 온라인 커뮤니티를 소비자 간 정보 전파(WOM)가 발생하는 환경으로 전제하고, 그 안에서 정보 특성과 신뢰성·참조 가능성이라는 매개변수를 통해 마케팅 효과를 분석함으로써, 팬덤소비나 소비자 행동과 같은 외부 사회현상의 한 측면을 조명하는 WINDOW_MISC에 가장 부합한다. | 온라인 커뮤니티는 WOM 효과가 발생하는 맥락으로 언급될 뿐, 그 내부의 상호작용, 관계 형성, 담론 구조, 또는 기술·제도적 조건에 대한 분석이 전혀 없어 어떤 코드에도 부합하지 않는다.",False,1/3,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:없음
ART000861501,온라인 커뮤니티에서의 공동체 의식이 웹사이트 충성도와 구매의도에 미치는 영향에 관한 연구,박성연(이화여자대학교),2003,경영학연구,kor,OK,ROLE_FIELD_SOCIALCAPITAL,,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 커뮤니티를 고객이 웹사이트와 정체성을 동일시하게 만들고, 그 결과로 충성도와 구매의도가 증가하는 관계적 자원의 형성 공간으로 전제하여, 공동체 의식이 신뢰·연대·소속감 같은 관계적 자원을 통해 마케팅적 결과를 유도하는 과정을 분석한다. | 이 논문은 온라인 커뮤니티를 고객이 웹사이트와 정체성을 동일시하고 공동체 의식을 형성하는 공간으로 전제하여, 그 의식이 웹사이트 충성도와 구매의도에 미치는 영향을 실증적으로 분석한다. | 이 논문은 온라인 커뮤니티에서 형성된 공동체 의식이 웹사이트 충성도와 구매의도에 미치는 영향을 분석하며, 커뮤니티 내에서 형성된 소속감이 사용자와 웹사이트 간의 동일시를 매개로 경제적 태도(충성도·구매의도)로 전환되는 과정을 실증적으로 검증한다.","온라인 커뮤니티가 이용자와 웹사이트 간의 정체성 동일시를 통해 신뢰·소속감 같은 관계적 자원(사회적 자본)을 형성하고, 이를 통해 충성도와 구매의도를 증대시키는 과정이 핵심 분석 대상이므로 ROLE_FIELD_SOCIALCAPITAL만이 0.5 이상의 중심적 확률을 가짐. | 온라인 커뮤니티 내에서 형성된 공동체 의식과 웹사이트 동일시가 관계적 자원(신뢰, 소속감)으로 작용하여 충성도와 구매의도를 높인다는 점에서, 이 논문은 온라인 커뮤니티를 사회적 자본이 형성되고 작동하는 공간으로 분석한다. | 온라인 커뮤니티 내에서 형성된 공동체 의식이 사용자와 웹사이트 간의 관계적 자원(동일시)을 매개로 충성도와 구매의도라는 경제적 결과로 연결된다는 점에서, 이 논문은 온라인 커뮤니티를 관계적 자원이 형성·작동하는 공간(FIELD_SOCIALCAPITAL)으로 분석하며, 이는 유일하게 0.5 이상의 확률을 가진 코드이다.",True,0/3,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL
ART000882921,온라인 커뮤니티 마케팅 활동과 친커뮤니티 행동간의 관계에 있어서 몰입의 매개역할,김재욱(고려대학교),2002,마케팅연구,none,NO_ABSTRACT,,,,,초록 없음 (KOR_ABST/ENG_ABST 둘 다 없음),,,
ART001240888,온라인 커뮤니티에서 자기표현 욕구의 영향요인과 디지털 아이템 구매의도에 미치는 효과,고준(전남대학교),2008,Asia Pacific Journal of Information Systems,kor,OK,"ROLE_FIELD_SOCIALCAPITAL, ROLE_WINDOW_MISC",,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 커뮤니티(Cyworld)를 사용자들이 자기표현과 소속감을 실현하기 위해 디지털 아이템을 구매하는 행위가 발생하는 공간으로 삼아, 자기표현 욕구와 소속 욕구를 자극하는 요인(창의성, 집단 규범, 커뮤니티 참여)과 그 구매 의도 간의 인과 구조를 분석한다. | 이 논문은 온라인 커뮤니티(Cyworld)를 사용자들이 자기표현을 위해 디지털 아이템을 구매하는 행위가 발생하는 공간으로 삼아, 자기표현 욕구와 소속 욕구가 디지털 아이템 구매 의도에 미치는 영향을 사회정체성 이론과 자기제시 이론을 통해 분석한다. | 이 논문은 온라인 커뮤니티(Cyworld)를 사용자들이 자기표현을 위해 디지털 아이템을 구매하는 행위가 발생하는 공간으로 삼아, 자기표현 욕구와 소속 욕구가 디지털 아이템 구매 의도에 미치는 영향을 사회정체성 이론과 자기제시 이론을 통해 분석한다.","이 논문은 온라인 커뮤니티를 자기표현과 소속감을 통해 디지털 아이템 구매가 발생하는 관계적 자원이 형성되는 공간(FIELD_SOCIALCAPITAL)으로 분석하면서, 그 구매 행위가 특정 사회문화적 현상(디지털 소비문화)의 일환으로서 나타나는 사례로 간주하여 WINDOW_MISC로도 해석된다. | 이 논문은 온라인 커뮤니티를 자기표현과 소속 욕구가 형성되고 디지털 아이템 구매로 이어지는 관계적 자원의 작동 공간(FIELD_SOCIALCAPITAL)으로 분석하면서, 그 결과로 나타나는 디지털 소비 행위를 외부 사회현상으로서 설명하는 사례(ROLE_WINDOW_MISC)로 활용한다. | 이 논문은 온라인 커뮤니티를 자기표현과 소속 욕구가 형성되고 디지털 아이템 구매로 이어지는 관계적 자원의 작동 공간(FIELD_SOCIALCAPITAL)으로 분석하면서, 그 결과로 나타나는 디지털 소비 행위를 외부 사회현상으로서 설명하는 사례(ROLE_WINDOW_MISC)로 활용한다.",True,0/3,"run1:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC; run2:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC; run3:ROLE_FIELD_SOCIALCAPITAL,ROLE_WINDOW_MISC"
ART001174270,온라인 커뮤니티에서 개인의 참여 동기와 사회적 영향 요인이 몰입에 미치는 영향,이문봉(동의대학교),2005,정보시스템연구,eng,ERR,,,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 커뮤니티에 참여하는 사용자의 개인적 동기(유용성, 사용 용이성, 즐거움)와 사회적 영향(주관적 규범, 가시성, 이미지)이 태도적·행동적 몰입에 미치는 영향을 실증적으로 분석하며, 커뮤니티 자체를 관계적 참여의 장으로 전제하고 그 내부에서 형성되는 사용자 몰입의 구조를 탐색한다. | 이 논문은 온라인 커뮤니티에 참여하는 사용자의 개인적 동기(유용성, 사용 용이성, 즐거움)와 사회적 영향(주관적 규범, 가시성, 이미지)이 태도적·행동적 몰입에 미치는 영향을 실증적으로 분석하며, 커뮤니티 자체를 관계적 자원이 형성되는 공간이나 사회현상의 사례로 보지 않고, 사용자 행동을 예측하는 변수의 집합으로 다룬다. | 이 논문은 온라인 커뮤니티에 참여하는 사용자의 개인적 동기(유용성, 사용 용이성, 즐거움)와 사회적 영향(주관적 규범, 가시성, 이미지)이 태도적·행동적 몰입에 미치는 영향을 실증적으로 분석하며, 커뮤니티 자체를 관계적 자원이 형성되는 공간으로 전제하지 않고, 사용자 심리적 반응을 측정하는 대상으로 삼는다.","이 논문은 온라인 커뮤니티를 신뢰·연대·소속감 같은 관계적 자원이 형성되고 작동하는 공간으로 전제하여, 사용자의 태도적 몰입과 행동적 몰입 간의 관계 및 사회적 영향 요인의 역할을 분석함으로써, SOCIALCAPITAL 코드에 가장 부합한다. | 이 논문은 온라인 커뮤니티를 사용자 몰입을 설명하는 변수의 맥락으로만 활용하며, 커뮤니티의 담론 형성, 관계 자원, 사회현상 사례, 또는 환경 조건 중 어느 측면도 분석 대상으로 삼지 않아 모든 코드에 해당하지 않는다. | 이 논문은 온라인 커뮤니티를 사용자 심리적 반응을 측정하는 실험적 대상으로만 활용하며, 커뮤니티의 공론장 기능, 관계적 자원 형성, 사회현상의 사례, 또는 기술·제도적 환경 조건 중 어느 측면도 분석 대상으로 삼지 않아 모든 코드에 해당하지 않는다.",False,2/3,run1:ROLE_FIELD_SOCIALCAPITAL; run2:없음; run3:없음
ART001484348,"온라인 관광 구전정보 품질과 신뢰성, 커뮤니티 상호작용성이 구전정보의 유용성과 구전효과에 미치는 영향",김나은(세종대학교),2010,서비스경영학회지,kor,OK,ROLE_WINDOW_MISC,,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 관광 커뮤니티에서 생성된 구전정보(e-WOM)의 품질과 신뢰성이 소비자의 정보 유용성 인식과 구전 효과에 미치는 영향을 분석하며, 커뮤니티 내 상호작용성은 그 영향력이 미미하다고 결론짓는다. | 이 논문은 온라인 관광 커뮤니티에서 생성된 구전정보(e-WOM)의 품질과 신뢰성이 소비자의 정보 유용성 인식과 구전 효과에 미치는 영향을 분석하며, 커뮤니티 상호작용성은 그 영향력이 미미하다고 결론짓는다. | 이 논문은 온라인 관광 커뮤니티에서 생성된 구전정보(e-WOM)의 품질과 신뢰성이 소비자의 정보 유용성 인식과 구전 효과에 미치는 영향을 분석하며, 커뮤니티 상호작용성은 그 영향력이 미미하다고 결론짓는다.","이 논문은 온라인 관광 커뮤니티에서 생성된 구전정보의 특성(품질·신뢰성)이 소비자 행동에 미치는 영향을 분석함으로써, 관광이라는 특정 사회현상(소비행동·정보수용)을 온라인 커뮤니티 데이터를 통해 관찰하는 WINDOW_MISC 사례로 기능한다. | 이 논문은 온라인 관광 커뮤니티에서 생성된 구전정보의 특성과 신뢰성이 소비자 행동에 미치는 영향을 분석함으로써, 관광 분야의 소비자 의사결정이라는 외부 사회현상을 조명하는 사례로 커뮤니티 데이터를 활용하며, 이는 MISC 코드에 부합한다. | 이 논문은 온라인 관광 커뮤니티에서 생성된 구전정보의 특성과 신뢰성이 소비자 행동에 미치는 영향을 분석함으로써, 관광 분야의 소비자 의사결정이라는 외부 사회현상을 조명하는 사례로 온라인 커뮤니티를 활용하며, 이는 MISC 코드에 부합한다.",True,0/3,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC
ART001255675,"온라인 커뮤니티에서 사회적 영향이 플로우, 지각된 유용성, 이용의도에 미치는 영향: 싸이월드를 중심으로",유일(순천대학교),2008,정보시스템연구,kor,ERR,,,run1:없음; run2:없음; run3:없음,"이 논문은 싸이월드와 같은 온라인 커뮤니티 사용자의 심리적 경험(플로우)과 인지된 유용성, 이용 의도 간의 인과 관계를 사회적 영향(주관적 규범, 이미지, 가시성)의 관점에서 구조방정식 모델로 분석한다. | 이 논문은 싸이월드와 같은 온라인 커뮤니티 사용자의 행동 의도를 설명하기 위해 사회적 영향(주관적 규범, 이미지, 가시성)이 흐름 경험과 지각된 유용성에 미치는 영향을 구조방정식 모델로 분석하며, 커뮤니티 자체의 담론이나 관계 형성 과정은 분석 대상이 아니다. | 이 논문은 싸이월드와 같은 온라인 커뮤니티 사용자의 행동 의도를 설명하기 위해 사회적 영향(주관적 규범, 이미지, 가시성)이 흐름 경험과 지각된 유용성에 미치는 영향을 구조방정식 모델로 분석하며, 커뮤니티는 사용자 심리와 행동을 예측하는 변수의 맥락으로 기능한다.","이 논문은 온라인 커뮤니티를 사용자 행동 예측 모델의 맥락으로만 활용하며, 커뮤니티의 담론 형성, 관계 자원, 사회현상 사례, 또는 환경 조건 중 어느 측면도 분석 대상으로 삼지 않아 모든 코드에 해당하지 않는다. | 이 논문은 온라인 커뮤니티를 사용자 행동 예측 모델의 맥락으로만 활용하며, 커뮤니티 내 담론, 관계, 사회현상, 또는 환경적 조건에 대한 분석을 전혀 포함하지 않아 어떤 코드에도 부합하지 않는다. | 이 논문은 온라인 커뮤니티를 사용자 심리적 반응(흐름, 지각된 유용성)과 행동 의도를 예측하는 맥락으로만 활용하며, 커뮤니티 자체의 담론 형성, 관계 자원, 사회현상 사례, 또는 환경 조건에 대한 분석은 전혀 포함되지 않아 어떤 코드에도 부합하지 않는다.",True,3/3,run1:없음; run2:없음; run3:없음
ART001050092,온라인 커뮤니티 몰입에 미치는 영향 연구: 만족과 커뮤니티 신뢰를 매개로,문영주(공주대학교),2007,정보시스템연구,eng,OK,ROLE_FIELD_SOCIALCAPITAL,,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 커뮤니티의 사용자 몰입(플로우)을 설명하기 위해 사회적 존재감이 유용성, 즐거움, 만족도, 커뮤니티 신뢰를 통해 미치는 영향을 구조적 모델로 분석한다. | 이 논문은 온라인 커뮤니티의 사용자 몰입(community flow)을 설명하기 위해 사회적 존재감이 유용성, 즐거움, 만족도, 커뮤니티 신뢰와 같은 심리적 변수를 통해 영향을 미친다는 구조를 실증적으로 분석한다. | 이 논문은 온라인 커뮤니티의 사용자 몰입(community flow)을 설명하기 위해 사회적 존재감이 유용성, 사용의 용이성, 즐거움, 만족도, 커뮤니티 신뢰를 통해 미치는 영향을 구조적 관계로 분석한다.","이 논문은 온라인 커뮤니티 내에서 신뢰가 만족도와 몰입에 미치는 영향을 중심으로 관계적 자원(사회적 신뢰)의 형성과 작동을 분석하므로 ROLE_FIELD_SOCIALCAPITAL만 부여되며, 다른 모든 코드는 근거가 없음. | 이 논문은 온라인 커뮤니티 내에서 신뢰가 만족도와 몰입에 미치는 영향을 중심으로 관계적 자원의 형성과 작동을 분석하므로, ROLE_FIELD_SOCIALCAPITAL만이 중심적인 코드로 부여되며, 그 외 모든 코드는 근거가 부족하여 미부여된다. | 이 논문은 온라인 커뮤니티 내에서 신뢰가 만족과 몰입을 매개하는 관계적 자원으로 기능함을 실증적으로 분석하며, 이는 커뮤니티 내 신뢰와 연대의 형성·효과를 중심으로 하는 SOCIALCAPITAL 코드에 가장 부합한다.",True,0/3,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL
ART001159097,온라인 커뮤니티와 고객충성도의 관계에 관한 연구: 온라인 커뮤니티 의식의 매개변수적 역할을 중심으로,김상욱(중앙대학교),2004,마케팅관리연구,kor,OK,ROLE_FIELD_SOCIALCAPITAL,,run1:없음; run2:없음; run3:없음,"이 논문은 온라인 커뮤니티의 관리활동이 고객 충성도에 미치는 영향을 분석하며, 그 과정에서 커뮤니티 의식이라는 관계적 심리적 상태가 매개변수로 작용함을 밝히고, 커뮤니티 내에서 형성된 신뢰와 소속감이 충성도로 이어지는 과정을 실증적으로 검증한다. | 이 논문은 온라인 커뮤니티의 관리활동이 고객 충성도에 미치는 영향을 분석하며, 그 과정에서 커뮤니티 의식이라는 심리적 매개변수가 중개 역할을 한다고 주장한다. | 이 논문은 온라인 커뮤니티의 관리활동이 고객 충성도에 미치는 영향을 분석하며, 그 과정에서 커뮤니티 의식이라는 심리적 매개변수가 중개적 역할을 한다고 주장한다.","온라인 커뮤니티 내에서 형성된 '커뮤니티 의식'이라는 관계적 자원(신뢰, 소속감)이 고객 충성도로 이어지는 과정을 분석함으로써, 이 논문은 온라인 커뮤니티를 관계적 자원이 생성되고 작동하는 공간(FIELD_SOCIALCAPITAL)으로 간주하며, 다른 모든 코드는 근거가 부족하다. | 온라인 커뮤니티가 신뢰·소속감·연대 같은 관계적 자원(커뮤니티 의식)을 형성하는 공간으로 전제되며, 그 자원이 고객 충성도라는 결과에 미치는 영향을 분석함으로써 SOCIALCAPITAL 코드가 가장 중심적이다. | 온라인 커뮤니티를 신뢰와 소속감으로 구성된 관계적 자원이 형성되는 공간으로 전제하고, 그 자원(커뮤니티 의식)이 고객 충성도라는 결과에 미치는 매개효과를 분석함으로써 사회적 자본의 형성과 작동을 중심에 둔 연구이다.",True,0/3,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL
