id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
11,윤리적 매개자로서 셀러브리티와 팬덤의 감정 정치: 갓생 세대의 장원영 소비하기,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 셀러브리티와 팬덤이 윤리적 주체화와 감정 정치의 매개체로 작동하며, 이러한 과정이 신자유주의적 통치성과 어떻게 상호 연결되는지를 분석한다는 연구 질문을 설정한다. | 이 논문은 셀러브리티와 팬덤이 윤리적 주체화와 감정 정치를 매개로 신자유주의적 통치성을 어떻게 형성·강화하는가를 연구한다. | 이 논문은 셀러브리티와 팬덤이 윤리적 주체화와 감정 정치의 매개체로 작동하면서 신자유주의적 통치성과 어떻게 상호 연결되는지를 분석한다. 이 논문은 팬덤이 단순한 취향 공동체를 넘어 윤리적 실천을 매개함으로써 신자유주의적 통치성을 문화·정서적 차원에서 심화시키고, 윤리적 위계와 갈등을 통해 집단적 질서와 위계를 재구성한다는 결론을 제시한다. 이를 위해 더쿠, 디시인사이드, 네이트판 등 청년세대가 활발히 활동하는 온라인 커뮤니티의 게시글을 대상으로 담론 분석을 수행한다.","연구는 팬덤을 윤리·감정 정치의 매개체라는 외부 사회현상으로 분석하고 온라인 커뮤니티는 사례 자료에 불과하므로 WINDOW_MISC 코드가 가장 부합한다. | 연구는 팬덤을 윤리적 실천의 매개로 보며 신자유주의적 통치성 형성을 논의하므로, 온라인 커뮤니티는 현상을 드러내는 사례로서 WINDOW_MISC에 해당하고, 공론장·사회자본·정치·젠더·혐오·환경적 요인에 대한 직접적인 분석 근거는 없으며 모두 미부여로 판단한다. | 논문은 팬덤을 윤리적 실천과 신자유주의적 통치성의 매개체로 분석하며, 이는 온라인 커뮤니티 내 담론을 통해 나타나는 현상으로서 WINDOW_MISC 범주에 가장 부합한다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 인터넷 커뮤니티 이용이 윤리적 소비 의향에 어떤 경로를 통해 영향을 미치는지, 특히 온라인 사회자본(결속적·교량적)과 공감 경험의 역할을 규명한다. | 이 논문은 인터넷 커뮤니티 활동이 청년층의 윤리적 소비 참여 의향에 미치는 경로를, 온라인 사회자본(특히 교량적 사회자본)과 공감 경험의 매개 역할을 중심으로 규명하고자 한다. 이 논문은 교량적 사회자본이 공감 경험을 매개하여 윤리적 소비 참여 의도를 증진시키는 반면, ‘우리’라는 결속감과 심리적 지지는 영향력이 없으며, 특히 착한 소비(공정무역·친환경·로컬)에서 공감 경험의 역할이 더 중요하다는 결론을 제시한다. 이를 위해 온라인 커뮤니티를 이용자들의 자기표현·타인 반응을 통한 사회자본 형성 및 다양한 정보·의견 교류를 통한 공감 경험 생성의 장으로 활용한다. | 이 논문은 인터넷 커뮤니티 활동이 청년층의 윤리적 소비 참여 의도에 어떤 경로를 통해 영향을 미치는지, 특히 온라인 사회자본(온전한·교량적)과 공감 경험의 매개 역할을 중심으로 검증한다. 이 논문은 교량적 사회자본이 공감 경험을 매개함으로써 윤리적 소비 참여 의도를 증진시킨다는 결론을 제시하고, ‘우리’라는 결속감·심리적 지지는 공감이나 참여 의도에 영향을 미치지 않으며, 공감 경험은 특히 착한 소비(공정무역·친환경·로컬)에서 더 중요한 역할을 한다는 점을 밝힌다. 이를 위해 온라인 커뮤니티를 청년들의 정보·감정 교류 장으로 활용하여 참여 정도·자기표현·타인 반응 등을 측정하고, 그로부터 인지된 온전·교량적 사회자본과 공감 경험을 추출해 경로분석에 적용하였다.","논문은 온라인 커뮤니티 이용자 간의 결속적·교량적 사회자본 형성과 그가 윤리적 소비 의도에 미치는 경로를 분석하므로 FIELD_SOCIALCAPITAL 코드에 가장 높은 확률을 부여한다. | 논문은 온라인 커뮤니티 내 이용자 간 사회자본 형성을 핵심 분석 대상으로 삼아 FIELD_SOCIALCAPITAL에 높은 확률을 부여하고, 다른 ROLE 및 ENV 코드들은 근거가 부족해 낮은 확률로 평가한다. | 연구는 온라인 커뮤니티 이용자 간의 온전·교량적 사회자본 형성과 그 효과를 경로분석으로 검증하므로 FIELD_SOCIALCAPITAL 코드에 가장 높은 확률을 부여하고, 공론장 역할이나 외부 사회현상(폴라리제이션·젠더·혐오 등) 및 커뮤니티 구조·운영·인구통계·생애주기·익명성 비교와 같은 요소는 언급되지 않아 낮은 확률로 평가한다."
13,메갈리아의 두 딸들: 익명성 수준에 따른 온라인 커뮤니티의 정체성 분화,ENV_ONLINE_ANNONIMITY,ENV_ONLINE_ANNONIMITY,ENV_COMMUNITY_LIFECYCLE,ENV_COMMUNITY_LIFECYCLE,"ENV_COMMUNITY_LIFECYCLE, ENV_ONLINE_ANNONIMITY",OK,ENV_ONLINE_ANNONIMITY,"run1:ENV_ONLINE_ANNONIMITY; run2:ENV_ONLINE_ANNONIMITY,ROLE_WINDOW_GENDER; run3:ENV_ONLINE_ANNONIMITY",False,0/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 익명성 수준에 따른 온라인 커뮤니티 내 정체성 분화와 그 원인을 탐색한다. | 이 논문은 익명성 수준에 따른 온라인 커뮤니티 내 정체성 분화와 그 원인을 탐색한다. 이 논문은 완전익명과 부분익명 게시물에서 서로 다른 담론이 형성되고, 이로 인해 정체성 인식이 달라지며, 특히 성소수자 논쟁에서 갈등이 심화되어 대규모 이탈과 커뮤니티 쇠락을 초래한다는 결론을 가진다. 이를 위해 메갈리아 커뮤니티의 2015‑2016년 전체 게시물 162,893건을 익명성 수준별로 구분하고, 자연어처리 기법(토픽모델링, Word2Vec)으로 담론 차이와 내부 갈등 전개 양상을 분석한다. | 이 논문은 익명성 수준에 따라 온라인 커뮤니티 내 정체성이 어떻게 분화되는지를 원인과 메커니즘 측면에서 탐구한다. 이 논문은 완전익명과 부분익명의 담론이 서로 다른 주제와 어휘를 형성하고, 이러한 차이가 정체성 갈등을 촉발해 성소수자 논쟁에서 대규모 이탈과 커뮤니티 쇠락을 야기한다는 결론을 제시한다. 이를 위해 메갈리아의 2015‑2016년 전체 게시물 162,893건을 자연어처리 기법(토픽 모델링, Word2Vec)으로 분석하고, 글쓴이 ID 공개 여부에 따라 완전익명·부분익명 게시물을 구분하여 담론 차이를 비교하였다.","연구는 익명성 수준 차이에 따른 커뮤니티 내 담론·정체성 분화를 비교 분석하므로 익명성 차이(ENV_ONLINE_ANNONIMITY) 코드에 가장 높은 확률을 부여한다; 다른 코드들은 초점 문장에 해당 근거가 없으므로 낮은 확률로 미부여 처리한다. | 연구는 익명성 수준에 따른 내부 담론 차이와 성소수자 논쟁이라는 젠더 갈등을 분석하고, 완전·부분 익명이라는 두 조건을 비교하므로 ROLE_WINDOW_GENDER와 ENV_ONLINE_ANNONIMITY에 높은 확률을 부여한다. | 연구는 익명성 수준에 따른 정체성 분화를 비교·분석하는 것이 핵심이며, 다른 코드에 해당하는 근거는 [FOCUS]에 존재하지 않는다."
21,비대면 상황에서의 온라인 커뮤니티 활동이 삶 만족도에 미치는 영향: 코로나19 이전(2017년)과 이후(2021년) 비교를 중심으로,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 코로나19 팬데믹 전후(2017년 vs 2021년)와 연령에 따라 온라인 커뮤니티 활동이 삶의 만족도에 미치는 영향을 사회적 자본 관점에서 비교분석한다. | 이 논문은 코로나19 팬데믹 전후(2017년과 2021년) 시점에서 연령별로 온라인 커뮤니티 활동이 삶의 만족도에 미치는 영향을 사회적 자본 관점에서 비교·분석한다는 연구 질문을 설정한다. 이 논문은 결속적 온라인 커뮤니티 활동이 삶의 만족도에 긍정적인 영향을 미치며, 연령에 따른 조절 효과는 결속적 활동에서만 통계적으로 유의하게 나타난다는 결론을 제시한다. 또한 비대면 상황에서 온라인을 매개로 한 사회적 상호작용이 인적 네트워크 형성과 사회자본 축적에 기여할 수 있음을 강조한다. | 이 논문은 코로나19 팬데믹 전후(2017년 vs 2021년)와 연령에 따라 온라인 커뮤니티 활동이 삶의 만족도에 미치는 영향을 사회적 자본 관점에서 비교·분석한다.","논문은 온라인 커뮤니티 활동을 사회적 자본의 한 형태로 보고 그 영향과 연령 조절 효과를 분석하므로 ROLE_FIELD_SOCIALCAPITAL에 해당하고, 공론장, 정치·성별·혐오·기타 외부 현상, 커뮤니티 구독·운영·인구통계·생애주기·익명성 등 다른 요소에 대한 언급이 없으므로 나머지 코드는 미부여로 판단한다. | 연구는 온라인 커뮤니티를 사회적 자본 형성의 장으로 분석하고 있어 ROLE_FIELD_SOCIALCAPITAL에 높은 확률을 부여하며, 공론장·양극화·젠더·혐오·기타 사회현상·커뮤니티 구조·운영·인구통계·생애주기·익명성 등에 대한 언급이 없으므로 해당 코드는 모두 낮은 확률로 미부여 처리한다. | 연구는 온라인 커뮤니티 활동을 사회적 자본의 형태로 분석하고 인적 네트워크와 사회자본 축적을 강조하므로 ROLE_FIELD_SOCIALCAPITAL에 해당한다; 공론장, 정치·젠더·혐오 등 외부 현상, 커뮤니티 운영·구조·수명 등 환경 요인에 대한 언급이 없으므로 나머지 코드는 미부여이다."
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,ENV_ONLINE_ANNONIMITY,ENV_ONLINE_ANNONIMITY,"ENV_ONLINE_ANNONIMITY, ROLE_FIELD_SOCIALCAPITAL",OK,"ENV_COMMUNITY_SUBSCRIPTION, ROLE_FIELD_SOCIALCAPITAL","run1:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run2:ENV_COMMUNITY_SUBSCRIPTION,ROLE_FIELD_SOCIALCAPITAL; run3:ENV_ONLINE_ANNONIMITY,ROLE_FIELD_SOCIALCAPITAL",False,0/3,run1:ENV_ONLINE_ANNONIMITY; run2:ENV_ONLINE_ANNONIMITY; run3:ENV_COMMUNITY_SUBSCRIPTION,True,False,False,이 논문은 온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과와 익명성 수준에 따라 그 효과의 차이가 있는지를 검증한다. | 이 논문은 온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과와 익명성 수준에 따라 그 효과의 차이가 있는지를 검증하는 것을 주제로 하여 연구한다. | 이 논문은 온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과와 익명성 수준에 따른 차이를 검증하는 것을 연구한다.,"논문은 온라인 커뮤니티 이용자 간 신뢰·연대(사회적 자본) 형성을 중심으로 다루며, 회원제·비회원제 차이와 익명성 수준에 따른 효과 차이를 비교 분석하므로 FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, ENV_ONLINE_ANNONIMITY 코드에 높은 확률을 부여한다. | 논문은 온라인 커뮤니티 이용자 간 신뢰·연대(신뢰반경) 형성을 사회적 자본으로 분석하고, 회원제·비회원제 구분과 익명성 수준 차이를 비교함으로써 FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, ENV_ONLINE_ANNONIMITY 코드를 부여한다. | 논문은 온라인 커뮤니티 이용자 간 신뢰·사회적 거리감이라는 관계적 자원(사회적 자본)을 중심으로 분석하고, 회원제·비회원제와 익명성 수준의 차이를 비교함으로써 FIELD_SOCIALCAPITAL, ENV_COMMUNITY_SUBSCRIPTION, ENV_ONLINE_ANNONIMITY 코드에 가장 부합한다."
3,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,ROLE_WINDOW_POLARIZE,ROLE_WINDOW_POLARIZE,,,ROLE_WINDOW_POLARIZE,OK,"ROLE_FIELD_PUBLICSPHERE, ROLE_WINDOW_POLARIZE","run1:ROLE_WINDOW_POLARIZE; run2:ROLE_FIELD_PUBLICSPHERE,ROLE_WINDOW_POLARIZE; run3:ROLE_FIELD_PUBLICSPHERE",False,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 이준석·청년남성·온라인커뮤니티라는 삼중 결합이 청년 남성의 보수·극우화 담론을 어떻게 형성·재생산하는지를 탐구하고, 그 결합이 정치·사회적 구성물로서 어떤 함의를 갖는지를 검토한다. 이 논문은 펨코와 같은 온라인커뮤니티가 청년 남성의 보수·극우화 담론을 재생산하는 매개체이지만, 그 효과는 더 넓은 디지털 환경과 정치적·사회적 구조에 의해 조정되며, 디지털 리터러시와 정치 스타일의 변동성을 고려할 때 단순히 온라인공간만으로 설명할 수 없다고 주장한다. 이를 위해 온라인커뮤니티인 펨코를 사례·분석 대상으로 삼아 기존 문헌을 정리하고 벤 다이어그램을 활용해 결합 구조를 시각화함으로써, 온라인공간이 청년 남성의 정치적 가치와 행동에 미치는 영향을 탐색한다. | 이 논문은 이준석‑청년남성‑온라인커뮤니티라는 삼중 결합이 청년 남성의 보수·극우화 담론을 형성하는 메커니즘을 어떻게 구성하고 재현하는지를 탐구하고, 그 결합을 비판적으로 재검토함으로써 향후 연구가 집중해야 할 구체적 주제들을 도출하는 것을 목표로 한다. | 이 논문은 이준석-청년남성-온라인커뮤니티라는 삼중 결합이 청년 남성의 보수·극우화 담론에 어떻게 작용하는지를 비판적으로 재검토하고, 펨코 외의 넓은 디지털 환경에서 나타나는 관련 현상을 탐색하는 것을 연구한다. 이 논문은 해당 결합이 단순히 청년 남성의 보수·극우화로 귀결되지 않으며, ‘펨코적’ 현상이 더 넓은 디지털 환경에 확산되고, 이대남 담론이 정치·사회적 구성물임을 강조하며, 디지털 리터러시 문제가 특정 세대·성별에 한정되지 않는 복합적 요인임을 주장한다. 이를 위해 펨코와 그 주변 디지털 공간을 사례로 삼아 기존 자료와 벤 다이어그램을 활용해 결합 구조와 담론 흐름을 분석하고, 향후 연구 과제를 도출한다.","논문은 청년 남성의 보수·극우화 담론 형성을 정치적 양극화 현상으로 다루므로 ROLE_WINDOW_POLARIZE에 높은 확률을 부여하고, 온라인 커뮤니티 자체의 공론장 역할이나 이용자 간 사회자본 형성, 환경적 비교 분석 요소는 언급되지 않아 모두 미부여로 평가한다. | 논문은 온라인 커뮤니티를 보수·극우 담론 형성의 장으로 분석하고, 그 담론이 청년 남성 사이의 정치적 양극화를 나타내므로 FIELD_PUBLICSPHERE와 ROLE_WINDOW_POLARIZE 코드에 가장 높은 확률을 부여한다. | 논문은 온라인 커뮤니티가 청년 남성 보수·극우화 담론 형성에 미치는 역할을 분석함으로써 공론장으로서의 기능을 검토하고, 다른 환경·구조적 요인에 대한 비교는 제시하지 않아 FIELD_PUBLICSPHERE 코드만 높은 확률을 갖는다."
18,모성의 의료화: 맘카페의 모유수유 담론을 중심으로,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,"ROLE_FIELD_SOCIALCAPITAL, ROLE_WINDOW_MISC",OK,ROLE_FIELD_SOCIALCAPITAL,run1:없음; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,False,1/3,run1:없음; run2:없음; run3:없음,False,False,False,"이 논문은 모성의 의료화가 어떻게 어머니의 몸으로 확대되는가와 그 과정에서 주체와 방식이 무엇인지, 특히 모유수유 담론을 통해 이를 탐구한다. | 이 논문은 모성의 의료화가 어머니의 몸으로 확대되는 과정을 맘카페의 모유수유 담론을 통해 분석하고, 어머니들이 의료전문가의 지식보다 자신의 경험과 지식에 의존하는 방식을 연구한다. | 이 논문은 모성의 의료화가 어떻게 진행되고 있는지, 특히 모유수유와 관련된 담론을 통해 모성의 몸 자체가 의료화 대상이 되는 과정과 그 주체·방식에 대해 탐구한다.","제시된 [FOCUS]에서는 의료화와 모유수유 담론을 분석 대상으로 삼고 온라인 커뮤니티를 자료 제공 장소로만 언급하므로, 공론장 역할, 사회적 갈등, 혐오, 회원제·운영·인구통계·생애주기·익명성 등 11개 코드에 해당하는 구체적 근거가 전혀 포함되지 않는다. | 논문은 맘카페를 어머니들의 경험·지식 공유와 독자적 용어 생산의 장으로 분석하므로, 이용자 간 신뢰·연대·네트워크 형성을 의미하는 ROLE_FIELD_SOCIALCAPITAL에 가장 부합한다. | 논문은 어머니들이 온라인 커뮤니티에서 경험과 지식을 상호 공유하고 새로운 용어를 생산한다는 점을 강조하므로, 이용자 간 신뢰·연대·네트워크 형성을 의미하는 ROLE_FIELD_SOCIALCAPITAL이 가장 부합한다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,ROLE_WINDOW_MISC,ROLE_WINDOW_MISC,,,ROLE_WINDOW_MISC,OK,ROLE_WINDOW_MISC,run1:ROLE_WINDOW_MISC; run2:ROLE_WINDOW_MISC; run3:ROLE_WINDOW_MISC,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 청년 불안정 노동자들이 온라인 커뮤니티에 올린 물류센터와 편의점 노동체험 서사를 분석하여 노동통제 체제, 사회관계, 일에 대한 인식 및 계급적 정체성을 고찰하는 것을 주제로 한다. 이 논문은 전자화된 전제적 통제와 비공식적 온정주의적 통제가 잉여노동을 극대화하고 권리주장을 억제하며, 경제적 종속성이 저항을 어렵게 하고, 현장 관리자·사장·소비자와의 갈등 속에서 불평등 인식과 계급의식이 형성되고, 법제와 국가기관이 청년 노동자의 권익추구와 긍정적 자기정체성을 강화하는 중요한 환경으로 작용한다는 결론을 제시한다. 이를 위해 온라인 커뮤니티를 청년 불안정 노동자들의 노동체험 서사가 게시되는 데이터베이스로 활용하여 질적 내용분석의 자료원으로 삼았다. | 이 논문은 청년 불안정 노동자들이 온라인 커뮤니티에 올린 물류센터와 편의점 노동체험 서사를 분석하여 노동통제 체제, 노동현장의 적대·연대 관계, 일과 일터에 대한 인식 및 계급적 정체성을 고찰하는 것을 주제로 하여 연구한다. 이 논문은 전자화된 전제적 통제와 비공식적 온정주의적 통제가 잉여노동을 극대화하고 권리주장을 최소화한다는 점, 경제적 종속성이 저항을 어렵게 하는 근본 조건이다, 현장 관리자·편의점 사장·소비자와의 갈등관계 속에서 불평등 인식과 계급의식이 형성된다, 법제와 국가기관이 청년 노동자의 권익추구와 긍정적 자기정체성 강화에 중요한 환경으로 작용한다는 결론을 가진다. 이를 위해 온라인 커뮤니티에 게시된 물류센터·편의점 종사자들의 노동체험 서사를 질적 내용분석의 자료로 활용한다. | 이 논문은 청년 불안정 노동자들의 물류센터와 편의점 노동체험 서사를 통해 노동통제 체제, 노동현장의 적대·연대 관계, 그리고 계급적 정체성 형성을 분석한다. 이 논문은 전자화된 전제적 통제와 비공식적 온정주의적 통제가 잉여노동을 극대화하고 권리주장을 억제하며, 현장 관리자·사장·소비자와의 갈등 속에서 불평등 인식과 계급의식이 형성되고, 법제·국가기관이 노동자 권익추구와 긍정적 자기정체성 강화에 중요한 역할을 한다는 결론을 제시한다. 이를 위해 온라인 커뮤니티에 게시된 물류센터·편의점 종사자들의 서사를 자료로 수집·코딩하여 질적 내용분석을 수행한다.","논문은 온라인 커뮤니티에 게시된 노동 서사를 통해 노동통제 체제 등 외부 노동 현상을 분석하므로 WINDOW_MISC 코드가 가장 부합한다. | 연구는 온라인 커뮤니티에 게시된 노동체험 서사를 이용해 노동통제 체제와 현장 관계·계급 인식을 분석하므로, 온라인 커뮤니티 자체의 역할이나 구조적 특성을 다루지 않아 FIELD·ENV 코드는 미부여이며, 노동 관련 현상은 WINDOW_MISC에 해당한다. | 연구는 노동통제 체제와 계급 정체성 형성을 외부 사회현상으로 분석하고 온라인 커뮤니티는 자료 출처에 불과하므로 ROLE_WINDOW_MISC만이 핵심 코드로 부여된다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,ROLE_FIELD_PUBLICSPHERE,ROLE_FIELD_PUBLICSPHERE,,,ROLE_FIELD_PUBLICSPHERE,OK,ROLE_FIELD_PUBLICSPHERE,run1:ROLE_FIELD_PUBLICSPHERE; run2:없음; run3:ROLE_FIELD_PUBLICSPHERE,False,1/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 네트워크 시대에 인터넷이 정치과정·정치참여에 미치는 영향을 디시인사이드 정치토론 게시판을 사례로 분석한다, 특히 네트워크형 정치참여가 어떻게 형성되고 그 특성이 무엇인지 검증한다. 이 논문은 디시인사이드 정치토론 게시판이 네트워크 정치참여 방식을 구현해 참여 내용이 풍부해지고 참여 주체가 보편화·다양화되는 등 정치참여를 활성화시키며, 참여 성격을 변화시켜 민주주의 학습장으로 기능할 가능성을 보여주지만 동시에 책임 없는 참여와 정보격차 심화 등 부정적 효과도 존재한다는 결론을 제시한다. 이를 위해 온라인 커뮤니티인 디시인사이드의 정치토론 게시판을 실제 데이터와 담론 사례 분석의 장으로 활용하여 네트워크 기반 정치참여의 과정·확산·특성을 도출한다. | 이 논문은 네트워크 시대에 인터넷이 정치과정·정치참여에 미치는 영향을 디시인사이드 정치토론 게시판을 사례로 분석하고, 네트워크형 정치참여의 형성·특성·효과를 규명하고자 한다. | 이 논문은 네트워크 시대에 인터넷이 정치과정·정치참여에 미치는 영향을 디시인사이드 정치토론 게시판을 사례로 분석한다.","논문은 디시인사이드 정치토론 게시판을 정치참여의 네트워크 형성 공간으로 분석해 공론장 역할을 검증하므로 FIELD_PUBLICSPHERE 코드에 가장 높은 확률을 부여한다. | 제시된 주제와 결론에서는 온라인 커뮤니티 자체의 공론장 역할, 사회적 관계 자본, 혹은 특정 사회현상(양극화·젠더·혐오·기타)과의 비교·분석이 구체적으로 언급되지 않아 모든 코드에 대한 근거가 부족하다. | 결론에서 디시인사이드 정치토론 게시판이 새로운 정치참여 양식을 형성하고 민주주의 학습장으로 기능한다는 서술이 공론장 역할을 평가하는 근거가 되므로 ROLE_FIELD_PUBLICSPHERE에 높은 확률을 부여하고, 다른 코드들은 해당 근거가 없으므로 낮은 확률로 미부여 처리한다."
19,혐오와 혐오가 만날 때: 온라인 커뮤니티에 나타난 정치 혐오 및 사회 혐오 키워드의 결합에 대한 분석,ROLE_WINDOW_HATE,ROLE_WINDOW_HATE,,,ROLE_WINDOW_HATE,OK,"ROLE_WINDOW_HATE, ROLE_WINDOW_POLARIZE","run1:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run2:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE; run3:ROLE_WINDOW_HATE,ROLE_WINDOW_POLARIZE",True,0/3,run1:없음; run2:없음; run3:없음,False,False,True,"이 논문은 온라인 커뮤니티에서 정치적·사회적·문화적 혐오 키워드 축들이 어떻게 교차·결합하는지를 분석한다. | 이 논문은 정치·사회·문화적 혐오 축이 어떻게 교차하고 결합하는지를 분석한다, 즉 혐오 키워드들이 서로 어떤 양태로 결합되는지를 연구한다 | 이 논문은 온라인 커뮤니티에서 정치적 혐오와 사회적 혐오 키워드가 어떻게 교차·결합하는지를 분석한다. 이 논문은 정치·사회·문화 영역의 혐오가 서로 결합해 증폭되며, 진보 진영에 대한 혐오가 연령·민족·성별 혐오와 결합하는 양상을 확인한다. 이를 위해 온라인 커뮤니티 11곳에서 2016‑2022년 사이에 작성된 혐오 키워드 포함 게시글을 수집·빅데이터화하고, 키워드 동시 등장 빈도와 결합 문장을 정량·정성 분석한다.","논문은 혐오 키워드와 그 결합이 정치·사회·문화 양극화를 촉진한다는 외부 현상을 온라인 커뮤니티 사례로 분석하므로 WINDOW_POLARIZE와 WINDOW_HATE 코드에 높은 확률을 부여한다. | 연구는 혐오 키워드 결합을 정치·사회·문화적 외부 현상으로 분석하므로 WINDOW‑POLARIZE와 WINDOW‑HATE 코드에 근거가 있으며, 다른 FIELD·ENV 코드들은 근거가 없으므로 미부여로 평가한다. | 연구는 정치·사회적 혐오 키워드의 결합을 분석하는 데 초점을 맞추어 혐오 표현 자체와 정치적 갈등을 다루므로 ROLE_WINDOW_HATE와 ROLE_WINDOW_POLARIZE에 높은 확률을 부여하고, 나머지 ROLE 및 ENV 코드는 해당 근거가 없으므로 낮은 확률로 미부여 처리한다."
26,온라인 커뮤니티의 신뢰형성이 구매의도에 미치는 영향,ROLE_FIELD_SOCIALCAPITAL,ROLE_FIELD_SOCIALCAPITAL,,,ROLE_FIELD_SOCIALCAPITAL,OK,ROLE_FIELD_SOCIALCAPITAL,run1:ROLE_FIELD_SOCIALCAPITAL; run2:ROLE_FIELD_SOCIALCAPITAL; run3:ROLE_FIELD_SOCIALCAPITAL,True,0/3,run1:없음; run2:없음; run3:없음,False,True,True,"이 논문은 온라인 커뮤니티에서 신뢰형성에 영향을 미치는 요인(커뮤니티 명성, 사회적 실재감, 즐거움)을 규명하고, 그 신뢰가 구매의도에 미치는 영향을 검증한다. 이 논문은 커뮤니티 명성, 사회적 실재감, 즐거움이 신뢰형성에 긍정적인 영향을 미치며, 형성된 신뢰가 구매의도를 높인다는 결론을 제시한다. 이를 위해 온라인 커뮤니티를 신뢰가 형성되는 환경이자, 신뢰와 구매의도 간 인과관계를 실증적으로 분석하는 연구 대상 및 데이터 수집·조사의 장으로 활용한다. | 이 논문은 온라인 커뮤니티 신뢰형성에 영향을 미치는 요인(커뮤니티 명성, 사회적 실재감, 즐거움)을 조사하고, 그 신뢰가 구매의도에 미치는 영향을 검증한다는 연구 질문을 설정한다. | 이 논문은 온라인 커뮤니티의 신뢰형성에 영향을 미치는 요인(커뮤니티 명성, 사회적 실재감, 즐거움)을 조사하고, 그 신뢰가 구매의도에 미치는 영향을 검증한다. 이 논문은 커뮤니티 명성, 사회적 실재감, 즐거움이 신뢰형성에 긍정적 영향을 미치며, 형성된 신뢰가 구매의도에 긍정적 영향을 준다는 결론을 가진다. 이를 위해 온라인 커뮤니티를 신뢰형성 요인들을 측정·분석하고, 신뢰가 구매의도에 미치는 효과를 검증하는 연구 대상으로 활용한다.","논문은 온라인 커뮤니티 내 이용자 간 신뢰와 그 결과인 구매의도를 다루며, 이는 사회적 자원(신뢰) 형성에 초점을 둔 FIELD_SOCIALCAPITAL에 해당한다. | 논문은 온라인 커뮤니티 이용자 간 신뢰 형성이라는 관계적 자원(사회적 실재감·명성·즐거움)을 분석 대상으로 삼아, 신뢰가 구매 의도에 미치는 영향을 검증하므로 ROLE_FIELD_SOCIALCAPITAL에 해당한다. | 논문은 온라인 커뮤니티 이용자 간 신뢰(사회적 자본) 형성을 핵심 연구 대상으로 삼아, 신뢰가 구매 의도에 미치는 영향을 검증하므로 FIELD_SOCIALCAPITAL 코드에 높은 확률을 부여한다."
