id,title,class1_raw,class1_code,class2_raw,class2_code,gold_codes,majority_status,majority_codes,run_details,full_agreement,error_runs,dropped_by_cap_runs,gold_dropped_by_cap,exact_match,gold_covered,focuses,rationales
1,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW; run2:ROLE_WINDOW; run3:ROLE_WINDOW; run4:ROLE_WINDOW; run5:ROLE_WINDOW,True,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 일베 등 온라인 커뮤니티 사용자를 사례로 사회적 혐오·공감 현상을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티 사용자를 대상으로 혐오 담론을 분석하지만, 회원제·운영방식·생애주기·익명성 등 환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베라는 온라인 커뮤니티를 사례로 혐오 담론을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 등 온라인 커뮤니티 사용자를 사례로 사회적 혐오·공감 현상을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베라는 온라인 커뮤니티를 혐오 담론 사례로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다","[ROLE] 이 논문은 세월호 참사라는 온라인에서 발생한 사건 자체와 그에 대한 공감·혐오 반응을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례(인터뷰 대상)일 뿐이다. | [ROLE] 이 논문은 세월호 참사라는 온라인에서 발생한 사건 자체와 그에 대한 공감·혐오 반응을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례(인터뷰 대상)일 뿐이며, 커뮤니티 자체의 사회적 역할을 분석하지 않는다. | [ROLE] 이 논문은 세월호 참사라는 온라인·오프라인 사건 자체를 분석 대상으로 삼고, 온라인 커뮤니티인 일베는 그 현상을 보여주는 사례로서 인터뷰 대상에 포함될 뿐이며, 커뮤니티 자체의 역할을 분석하는 것이 아니라 사건에 대한 공감·혐오 반응을 조사한다. | [ROLE] 이 논문은 세월호 참사에 대한 공감·혐오라는 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 세월호 참사라는 온라인에서 발생한 사건 자체와 그에 대한 공감·혐오 반응을 분석 대상으로 삼고, 일베와 같은 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하다."
2,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,FIELD,FIELD,,,ROLE_FIELD,OK,"ENV_RELEVANT, ROLE_WINDOW","run1:ENV_RELEVANT,ROLE_WINDOW; run2:ENV_RELEVANT,ROLE_WINDOW; run3:ENV_RELEVANT,ROLE_WINDOW; run4:ENV_RELEVANT,ROLE_WINDOW; run5:ENV_RELEVANT,ROLE_WINDOW",True,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,False,False,"has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티를 분석 대상으로 삼아 신뢰반경에 미치는 역할을 조사하고, 회원제·비회원제·익명성 수준 등 구조적 조건을 비교·분석한다 | has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티를 신뢰반경에 미치는 역할(장)으로 분석하고, 회원제 여부와 익명성 수준 등 구조적 조건을 비교·분석한다 | has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티가 신뢰반경에 미치는 역할을 분석하고, 회원제·비회원제와 익명성 수준 등 구조적 조건에 따른 차이를 비교·분석한다 | has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티를 분석 대상으로 삼아 신뢰반경에 미치는 역할을 조사하고, 회원제 여부와 익명성 수준 등 구조적 조건을 비교·분석한다 | has_community=True role_relevant=True env_relevant=True | 논문은 온라인 커뮤니티가 신뢰반경에 미치는 역할을 분석하고, 회원제 여부와 익명성 수준 등 구조적 조건에 따른 효과 차이를 비교·분석한다","[ENV] 세부 코드 감사는 생략하고, division 단계의 env_relevant 판단만 표시함 | [ROLE] 이 논문은 신뢰반경의 확대와 축소라는 온라인 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ENV] 세부 코드 감사는 생략하고, division 단계의 env_relevant 판단만 표시함 | [ROLE] 이 논문은 신뢰반경이라는 온라인에서 발생한 현상의 확대·축소라는 양면적 효과 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하다. | [ENV] 세부 코드 감사는 생략하고, division 단계의 env_relevant 판단만 표시함 | [ROLE] 이 논문은 온라인 커뮤니티 활동이라는 현상이 신뢰반경에 미치는 양면적 효과를 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하다 | [ENV] 세부 코드 감사는 생략하고, division 단계의 env_relevant 판단만 표시함 | [ROLE] 이 논문은 온라인 커뮤니티 활동이라는 현상 자체가 신뢰반경에 미치는 양면적 효과를 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하다 | [ENV] 세부 코드 감사는 생략하고, division 단계의 env_relevant 판단만 표시함 | [ROLE] 이 논문은 신뢰반경이라는 온라인 현상의 확대·축소라는 사건 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
4,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW; run2:ROLE_WINDOW; run3:ROLE_WINDOW; run4:ROLE_WINDOW; run5:ROLE_WINDOW,True,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 서사를 온라인 커뮤니티에서 분석하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 온라인 커뮤니티 게시물을 분석해 노동관계와 정체성을 고찰하지만, 커뮤니티의 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 서사를 온라인 커뮤니티에서 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 서사를 온라인 커뮤니티에서 분석해 노동통제와 계급 인식을 조명하지만, 커뮤니티의 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 청년 불안정 노동자들의 서사를 온라인 커뮤니티에서 분석해 노동통제와 계급 인식을 고찰하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 논문은 온라인 커뮤니티에 나타난 노동체험 서사라는 현상 자체를 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 논문은 온라인 커뮤니티에 올라온 노동체험 서사라는 구체적 현상을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 온라인 커뮤니티에 올라온 노동 체험 서사를 분석 대상으로 삼아 노동통제 체제와 사회관계 등을 연구하고 있으며, 온라인 커뮤니티는 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 온라인 커뮤니티에 올라온 노동체험 서사를 분석 대상으로 삼아 노동통제 체제와 사회관계를 탐구하고 있으며, 온라인 커뮤니티는 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 온라인 커뮤니티에 게시된 노동 체험 서사를 분석 대상으로 삼아 노동통제 체제와 사회관계를 탐구하고, 온라인 커뮤니티는 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다."
5,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_FIELD; run2:ROLE_FIELD; run3:ROLE_WINDOW; run4:ROLE_FIELD; run5:ROLE_FIELD,False,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 메커니즘을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 영향을 분석하며 커뮤니티의 사회적 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티가 청년들의 윤리적 소비 의향에 미치는 영향을 분석하며, 커뮤니티의 사회적 역할을 조명하지만 회원제·운영방식·생애주기·익명성 등 환경적 조건에 대한 비교·분석은 하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 경로를 분석하며 커뮤니티의 사회적 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조·환경 조건에 대한 비교·분석은 하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 청년층의 인터넷 커뮤니티 이용이 윤리적 소비 의향에 미치는 영향을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다","[ROLE] 이 논문은 온라인 커뮤니티 자체가 청년들의 윤리적 소비 의향을 형성하고 시민적 참여를 촉진하는 사회적 장으로 작용하는지를 분석하고 있으며, 현상 자체가 아니라 커뮤니티라는 공간의 역할을 규명하는 것이 핵심 결론이다. | [ROLE] 논문은 온라인 커뮤니티 자체가 청년들의 윤리적 소비와 시민적 참여를 촉진하는 역할, 즉 공간으로서의 기능을 분석하고 있으며, 이는 온라인 커뮤니티라는 ‘장’이 사회에서 수행하는 역할을 연구 대상으로 삼는다. | [ROLE] 이 논문은 윤리적 소비 의향이라는 온라인에서 발생한 현상 자체를 인과 경로 분석으로 규명하고 있으며, 온라인 커뮤니티는 그 현상을 설명하기 위한 사례로 사용될 뿐, 커뮤니티 자체의 사회적 역할을 분석 대상으로 삼고 있지 않다. | [ROLE] 이 논문은 인터넷 커뮤니티 자체가 청년들의 윤리적 소비 의향과 시민적 참여를 촉진하는 역할을 하는지를 분석하고 있으며, 커뮤니티를 단순한 현상이 아닌 사회적 역할을 수행하는 공간(장)으로 다루고 있다. | [ROLE] 이 논문은 온라인 커뮤니티라는 공간 자체가 청년들의 윤리적 소비 의향과 시민적 참여를 촉진하는 역할을 하는지를 분석하고 있으며, 이는 온라인 커뮤니티를 사회적 역할을 수행하는 ‘장’으로 보는 FIELD에 해당한다."
6,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_FIELD,run1:ROLE_WINDOW; run2:ROLE_WINDOW; run3:ROLE_FIELD; run4:ROLE_FIELD; run5:ROLE_FIELD,False,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 특정 온라인 커뮤니티를 분석 대상으로 삼아 그 여론 형성 메커니즘을 탐구하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티의 추천·비추천 투표 메커니즘이 공론장 역할에 미치는 영향을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 특정 온라인 커뮤니티를 분석 대상으로 삼아 그 공간이 공론장으로서 여론 형성에 미치는 역할을 조명하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 FMKorea 게시판을 분석해 커뮤니티가 공론장으로서 여론 형성에 미치는 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 FMKorea 온라인 커뮤니티를 분석 대상으로 삼아 커뮤니티가 공론장으로서 여론 형성에 미치는 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 추천·비추천 투표라는 온라인 현상 자체가 여론 형성에 미치는 영향을 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례일 뿐이다 | [ROLE] 이 논문은 추천·비추천 투표라는 온라인 현상 자체와 그 현상이 사용자 집단 다양성과 어떻게 연관되는지를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하다. | [ROLE] 이 논문은 온라인 커뮤니티 자체가 여론을 형성하고 공론장 역할을 수행하는 메커니즘을 분석 대상으로 삼으며, 커뮤니티의 추천·비추천 시스템이 사회적 의견 형성에 어떤 영향을 미치는지를 검증한다. 따라서 온라인 커뮤니티라는 공간 자체의 역할을 탐구하는 FIELD에 해당한다. | [ROLE] 이 논문은 추천·비추천 투표라는 현상을 분석하면서, 온라인 커뮤니티 자체가 공론장으로서 어떤 역할을 수행하고 그 한계가 무엇인지를 규명하고 있다. 따라서 분석 대상은 현상이 아니라 커뮤니티라는 공간의 사회적 역할이며, 이는 FIELD 정의에 부합한다. | [ROLE] 이 논문은 추천·비추천 투표 메커니즘을 통해 온라인 커뮤니티 자체가 공론장으로서 어떻게 작동하는지를 분석하고, 이는 커뮤니티라는 공간의 역할을 탐구하는 FIELD 접근에 해당한다."
7,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",ERR,ERR,,,ERR,ERR,,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,True,5/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 활동을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티 자체의 역할이나 환경을 조명하지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 활동의 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며, 커뮤니티의 역할이나 환경 조건을 다루지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 행위의 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 역할이나 환경 조건을 조명하지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 인터넷에서의 인간행위와 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티의 역할이나 환경 조건을 다루지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 인터넷 활동을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티의 역할이나 환경 조건을 다루지 않는다","논문은 인터넷 활동을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티 자체의 역할이나 환경을 조명하지 않는다 | 논문은 인터넷 활동의 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며, 커뮤니티의 역할이나 환경 조건을 다루지 않는다 | 논문은 인터넷 행위의 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 역할이나 환경 조건을 조명하지 않는다 | 논문은 인터넷에서의 인간행위와 합리성을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티의 역할이나 환경 조건을 다루지 않는다 | 논문은 인터넷 활동을 이론적으로 논의하지만, 특정 온라인 커뮤니티를 분석 대상으로 삼지 않으며 커뮤니티의 역할이나 환경 조건을 다루지 않는다"
8,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW; run2:ROLE_WINDOW; run3:ROLE_WINDOW; run4:ROLE_WINDOW; run5:ROLE_WINDOW,True,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 ‘네오룩’을 분석 대상으로 삼아 공론장·협력망으로서의 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조·환경 조건의 비교·분석은 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 네오룩이라는 온라인 커뮤니티 자체를 분석 대상으로 삼아 그 역할을 공론장·협력망으로 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 ‘네오룩’을 분석 대상으로 삼아 미술계 공론장·협력망 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 ‘네오룩’ 자체를 공론장·협력망이라는 사회적 역할로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 온라인 커뮤니티 ‘네오룩’을 분석 대상으로 삼아 그가 공론장·협력망으로서의 역할을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조·환경적 조건에 대한 비교·분석은 다루지 않는다","[ROLE] 이 논문은 미술계 지형이라는 온라인 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례일 뿐이며, 커뮤니티 자체의 역할을 규명하는 것이 아니라 현상을 이해하기 위한 창으로 활용한다. | [ROLE] 이 논문은 미술계라는 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례이자 데이터 원천으로 활용하고 있어 WINDOW 정의에 부합한다. | [ROLE] 이 논문은 온라인 커뮤니티의 데이터 자체를 이용해 미술계에서 일어나는 현상과 지형 변화를 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 미술계라는 현상 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례 데이터로 활용하고 있다. 따라서 온라인 커뮤니티는 현상을 이해하기 위한 ‘창’으로 사용된다. | [ROLE] 이 논문은 미술계에서 일어난 변화와 지형 자체를 분석 대상으로 삼고, 온라인 커뮤니티는 그 현상을 보여주는 사례로 활용하고 있다."
9,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,ERR,ERR,,,ERR,ERR,,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,True,5/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화와 역할 대행을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화의 역할 대행을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티와는 관련이 없고 단지 연구 대상도 아니다 | has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화와 역할 대행을 다루며 온라인 커뮤니티에 대한 분석이나 언급이 전혀 없으므로 커뮤니티 존재 및 역할·환경 조명 모두 해당되지 않는다 | has_community=False role_relevant=False env_relevant=False | 논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티에 대한 분석이나 언급이 전혀 없으므로 커뮤니티 존재 여부가 false이다","논문은 한국 결혼식 문화와 역할 대행을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다 | 논문은 한국 결혼식 문화의 역할 대행을 다루며, 온라인 커뮤니티는 전혀 언급되지 않는다 | 논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티와는 관련이 없고 단지 연구 대상도 아니다 | 논문은 한국 결혼식 문화와 역할 대행을 다루며 온라인 커뮤니티에 대한 분석이나 언급이 전혀 없으므로 커뮤니티 존재 및 역할·환경 조명 모두 해당되지 않는다 | 논문은 한국 결혼식 문화의 역할 대행 현상을 다루며, 온라인 커뮤니티에 대한 분석이나 언급이 전혀 없으므로 커뮤니티 존재 여부가 false이다"
10,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,WINDOW,WINDOW,,,ROLE_WINDOW,OK,ROLE_WINDOW,run1:ROLE_WINDOW; run2:ROLE_WINDOW; run3:ROLE_WINDOW; run4:ROLE_WINDOW; run5:ROLE_WINDOW,True,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,True,True,"has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 사회적 갈등·혐오 확산이라는 현상을 조명하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 사회적 갈등·혐오 확산 현상을 설명하지만, 회원제·운영 방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 사회적 현상의 사례로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교·분석은 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 극우 집단의 프레이밍과 감정 확산 과정을 설명하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 일베 온라인 커뮤니티를 분석 대상으로 삼아 사회적 분노·혐오 확산 현상을 조명하지만, 회원제·운영방식·익명성 등 구조적·환경적 조건에 대한 비교·분석은 하지 않는다","[ROLE] 이 논문은 혐오·분노라는 온라인 현상의 확산 과정을 분석 대상으로 삼고, 일베 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 일베라는 온라인 커뮤니티에서 발생한 혐오·분노 확산이라는 현상을 분석 대상으로 삼고, 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 혐오와 분노라는 온라인에서 발생한 현상 자체를 분석 대상으로 삼고, 일베 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 혐오 감정 확산이라는 온라인 사건 자체를 분석 대상으로 삼고, 일베 커뮤니티는 그 현상을 보여주는 사례일 뿐이다 | [ROLE] 이 논문은 일베에서 발생한 혐오·분노 확산이라는 온라인 사건 자체를 분석 대상으로 삼고, 일베 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 더 부합한다."
12,네트워크 시대의 인터넷 정치참여: 탄핵정국 디시인사이드 정치토론 게시판을 중심으로,FIELD,FIELD,,,ROLE_FIELD,OK,ROLE_WINDOW,run1:ROLE_WINDOW; run2:ROLE_WINDOW; run3:ROLE_WINDOW; run4:ROLE_WINDOW; run5:ROLE_WINDOW,True,0/5,run1:없음; run2:없음; run3:없음; run4:없음; run5:없음,False,False,False,"has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드 정치토론 게시판이라는 온라인 커뮤니티를 사례로 정치참여에 미치는 역할을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드의 정치토론 게시판이라는 온라인 커뮤니티를 사례로 삼아 그 사회적·정치적 역할을 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건에 대한 비교·분석은 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드 정치토론 게시판이라는 온라인 커뮤니티를 사례로 정치참여 현상을 조명하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건을 비교·분석하지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드 정치토론 게시판이라는 온라인 커뮤니티를 정치참여 현상의 사례로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교는 다루지 않는다 | has_community=True role_relevant=True env_relevant=False | 논문은 디시인사이드 정치토론 게시판을 사례로 온라인 커뮤니티가 정치참여 현상을 보여주는 사례(창)로 분석하지만, 회원제·운영방식·생애주기·익명성 등 구조적·환경적 조건의 비교·분석은 다루지 않는다","[ROLE] 이 논문은 온라인에서 발생한 정치토론 현상 자체를 분석 대상으로 삼고, 디시인사이드를 그 현상을 보여주는 사례로 활용하고 있어 온라인 커뮤니티는 현상을 보여주는 창에 불과하다. | [ROLE] 이 논문은 ‘정치토론 게시판’이라는 온라인에서 발생한 정치참여 현상을 분석 대상으로 삼고, 디시인사이드를 그 현상을 보여주는 사례로 활용한다. 따라서 온라인 커뮤니티 자체가 연구 대상이 아니라, 그 안에서 일어나는 정치참여라는 사건·현상이 중심이다. | [ROLE] 이 논문은 인터넷 네트워크가 정치참여에 미치는 영향을 현상 자체로 분석하고, 온라인 커뮤니티는 그 현상을 보여주는 사례에 불과하므로 WINDOW에 해당한다. | [ROLE] 이 논문은 디시인사이드 정치토론 게시판이라는 온라인 현상을 창으로 삼아, 그 현상이 정치참여에 미치는 영향을 분석한다. 온라인 커뮤니티는 현상을 보여주는 사례일 뿐이며, 현상 자체가 분석 대상이므로 WINDOW에 더 부합한다. | [ROLE] 이 논문은 정치참여라는 온라인 현상 자체를 분석 대상으로 삼고, 디시인사이드의 정치토론 게시판을 그 현상을 보여주는 사례로 활용하고 있다. 따라서 온라인 커뮤니티는 현상을 드러내는 창에 불과하다."
