focus,class1,class2,id,author,published_year,title,journal,abstract
"> 주제 : 이 논문은 세월호 참사를 중심으로 한국사회의 공감과 혐오 해석을 주제로 하여 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 한국사회에서의 혐오담론을 해석하기 위한 창으로  삼아 연구한다.",ROLE_WINDOW_HATE,,1,강태수·신진욱,2019,세월호 ‘노란 리본’과 일베의 ‘폭식 투쟁’: 공감과 혐오의 전형성과 그 비전형적 생활세계,문화와 사회,"‘노란 리본’과 ‘폭식 투쟁’이 상징하는 세월호 참사에 대한 두 반응은 한국사  회가 공감과 혐오라는 두 얼굴을 함께 갖고 있다는 사실을 보여줬다. 이 논문은 세월호 참사의 희생자와 유가족들에 대한 공감과 혐오를 각각 집약적으로 보여 준 사람들의 전형적인 의식 구조와 생활세계의 기초를 해석적으로 재구성하고 자 시도했다. 그것을 위해서 이 연구는 한편으로 세월호 참사의 기억과 진상규 명을 목적으로 하는 운동에 참여했던 사람들과, 다른 한편으로 「일베」 사용자들 을 비롯하여 세월호 참사의 쟁점화에 반대하여 혐오 담론을 생산한 사람들을 대 상으로 심층면접을 실시했다. 주요 관심은 이들의 주된 관심과 행위동기가 무엇 이었는지, 이들은 각각 어떤 가치관과 세계관의 구조를 보여주는지, 어떤 개인적 생애경험의 서사로써 세월호 사건에 대한 자신의 태도를 설명하고 정당화하는 지를 비교하는 것이다. 연구결과는 ‘노란 리본’과 ‘폭식 투쟁’이 단순히 세월호 사건에 대한 상반된 의견을 반영하는 것이 아니라, 보다 근본적으로 사건 발생과 유가족들에 대한 관심 여부, 이 참사를 둘러싼 사회적 쟁점을 이해하려는 의 지 여부, 사회와 타인의 의미에 관한 가치관과 그에 연결된 생애서사의 구조적 차이에 관련되어 있음을 보여준다. 그와 동시에 이 연구는 두 면접참여자 집단 모두, 그 생활세계의 심층에는 양면적 잠재성을 가진 복잡한 체험적 배경이 있 었고 새로운 삶의 경험들을 통해 정체성의 변화를 경험해왔다는 것을 발견했다."
"> 주제 : 이 논문은 온라인 커뮤니티 활동이 신뢰반경에 미치는 효과와, 커뮤니티 내 익명성 수준에 따라서 각 효과정도에 차이가 있는지를 주제로 하여 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 연구의 대상으로 삼아 연구한다.",ROLE_FIELD_SOCIALCAPITAL,ENV_ONLINE_ANNONIMITY,2,김경준,2023,온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과,한국사회학,"본 논문은 온라인 커뮤니티 활동이 신뢰반경에 미치는 양면적 효과를 경험적으로 확인하고 커뮤니티 의 익명성 수준에 따라 각 효과의 정도에 차이가 있는지 검증하는 것을 목적으로 한다. 온라인 공간에 서 오프라인과 같은 일반화된 협력이 발생하기도 하지만, 특정 집단에 대한 혐오가 만연한 것 또한 관 찰된다. 온라인 공간이 가진 양면적인 특성은 이용자에게도 양면적 영향을 줄 수 있다. 특히, 온라인 커뮤니티는 오프라인에서 알지 못하는 낯선 타인과 접촉하는 공간이라는 점에서 신뢰반경을 넓히는 효과와 좁히는 효과가 공존할 수 있다. 또한, 익명성 수준에 따라 해당 커뮤니티의 규범과 탈개인화 정도가 달라질 수 있어 커뮤니티 유형에 따라 양면적 효과가 다르게 나타날 수 있다. 이를 확인하기 위해 온라인 조사를 통해 수집된 1,104명의 온라인 커뮤니티 사용자를 대상으로 매개효과 분석과 조 절된 매개효과 분석을 수행하였다. 분석 결과, 온라인 커뮤니티 활동은 온라인 커뮤니티 소속감을 높 여 낯선 사람에 대한 사회적 거리감을 낮추게 되며, 그 결과 신뢰반경을 넓힌다. 또한, 온라인 커뮤니 티 활동이 낯선 사람에 대한 사회적 거리감에 부정적 영향을 주어 신뢰반경을 좁히는 결과도 확인되었 다. 조절된 매개효과 결과, 신뢰반경을 넓히는 간접효과는 회원제 커뮤니티에서만 통계적으로 유의미 한 것으로 나타났다. 요약하자면, 회원제 커뮤니티는 양면적 효과가 상쇄되지만, 비회원제 커뮤니티에 서는 부정적 효과가 더 크다. 본 연구는 온라인 커뮤니티에서 이뤄지는 일탈 현상을 억제하고 공동체 로써의 역할을 촉진하기 위한 요인에 관해 확인하였다는 의의가 있다."
"> 주제 : 이 논문은 청년 남성의 보수화가 담론을 검토를 주제로 하여 하여 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를  극우 담론을 이해하는 창으로 삼아 연구한다.",ROLE_WINDOW_POLARIZE,,3,김선기,2025,펨코의 바깥을 탐색하기 위한 시론: 이준석-청년남성-온라인커뮤니티 결합의 균열을 상상하기,문화와 사회,"이 글은 이준석(정치인)–청년남성(유권자)–온라인커뮤니티(미디어플랫폼)라는 세 주체의 강고한 결합을 중심으로 상상되고 있는 청년 남성의 보수화, 극우화 담론을 비판적으로 재검토하기 위해 쓰였다. 이준석-청년남성-온라인커뮤니티 의 결합체로 여겨지는 ‘펨코’의 바깥을 탐색하기 위해, 기존 논의 자료를 모아 검토하고, 간단한 벤 다이어그램을 도구로 삼아 후속 연구와 담론을 통해 어떤 세부 주제들이 더 탐구될 필요가 있는지를 확인해 보고자 했다. 향후의 연구 방 향과 관련해 크게 다섯 가지 논의를 전개하였다. 첫째, ‘펨코’보다는 ‘펨코적인 것’이 유통되는 더 넓은 디지털 환경에 주목하여야 한다. 둘째, ‘이대남’ 담론 자 체가 정치-사회적 구성물임을 상기하여야 한다. 셋째, 청년 남성의 정치적 가치 관 및 선호와 관련해 복잡성과 유동적 변화의 가능성을 추적하여야 한다. 넷째, 디지털 리터러시의 문제를 특정 세대나 성별에 국한되는 문제로 보지 않아야 한다. 다섯째, 이준석 스타일의 정치가 청년 남성 외에도 다른 유권자들을 포섭하 는 방향으로 재편될 가능성이 있음을 경계해야 한다."
"> 주제 : 이 논문은 노동체험의 서사를 기반으로 노동통제 체제, 노동현장에서 적대와 연대의 사회관계, 그리고 일과 일터에 대한 인식과 계급적 정체성을 고찰을 주제로 하여 하여 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를  노동체험 서사를 분석하는 창으로 삼아 연구한다.",ROLE_WINDOW_MISC,,4,김우식·신진욱,2021,청년 불안정 노동자의 자본주의 미시세계: 물류센터와 편의점의 노동체험 서사에 대한 질적 내용분석,한국사회정책,"이 연구는 청년 불안정 노동자들이 많이 참여하는 온라인 커뮤니티에 게시된 물류센터 및 편의점 종사자들 의 노동체험 서사를 분석대상으로 하여, 보울즈‧진티스의 갈등적 교환 이론과 부라보이의 생산의 정치 이론 의 관점에서 노동자들의 잉여노동을 극대화하는 노동통제 체제, 노동현장에서 적대와 연대의 사회관계, 그 리고 일과 일터에 대한 인식과 계급적 정체성을 고찰했다. 연구결과는 다음과 같다. 첫째, 물류센터의 조직 적인 육체노동에서는 전자화된 전제적 통제 체제가, 편의점의 소규모 서비스 노동에서는 비공식적인 온정 주의적 통제 체제가 잉여노동을 최대화하고 권리주장을 최소화하는 핵심 기제였다. 둘째, 생계의 긴급성으 로 인한 노동자들의 경제적 종속성은 노동과정에서의 예속성에 저항을 어렵게 만드는 근본 조건이었다. 셋 째, 노동자들은 대기업을 정점으로 하는 거시적 지배구조보다는, 일상적 노동에서 그들과 상호작용하는 현 장관리자, 편의점 사장, 소비자들과의 갈등관계 속에서 불평등 인식과 계급의식을 형성하고 있었다. 넷째, 청년 노동자들은 현재의 일과 일터, 노동자성, 미래의 전망에 대해 극히 부정적인 인식을 갖고 있었지만, 노 동자 기본권을 보호하는 법제와 국가기관의 존재는 이들의 권익추구 행동과 긍정적 자기정체성을 강화시키 는 중요한 환경으로 작용했다."
"> 주제 : 이 논문은  20대-30대 청년층의 인터넷 커뮤니티 이용이 어떤 경로들을 통해 윤리적 소비 의향에 미치는 영향을 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 사회자본 형성의 장(결속적 사회자본과 교량적사회자본 형성의 장)으로 삼아 연구한다.",ROLE_FIELD_SOCIALCAPITAL,,5,김재우·조반석,2017,인터넷 커뮤니티 활동이 윤리적 소비 참여에 미치는 영향: 온라인 사회자본과 공감 경험의 역할을 중심으로,정보사회와 미디어,"본 연구의 목적은 20대-30대 청년층의 인터넷 커뮤니티 이용이 어떤 경로들을 통해 윤리적 소비 의향에 영향을 미치는지 규명하는 것이다. 이를 위해 온라인 패널조사 전문 기관을 통해 자료를 수집하고 인과 모형에 대한 경로분석을 수행하였다. 분석 결과에 따 르면, 인터넷 커뮤니티에서 더 적극적으로 자신을 표현하고 타인의 글에 반응할수록 온 라인상의 결속적 사회자본과 교량적 사회자본에 대한 지각 수준이 모두 높아지며 온라인 공감 경험 역시 증가한다. 한편 공감적 관심과 정서적 반응에 미치는 온라인 상호작용의 효과는 두 유형의 사회자본 중에서 교량적 사회자본에 의해서만 매개된다. 온라인상에서 다양한 정보와 의견을 접하거나 다른 지역의 일들에 관심을 가질수록 공감 경험이 많아 지며, 그 결과 윤리적 소비 참여 의도가 증진되는 경향이 발견되었다. 이와는 대조적으 로 인터넷 커뮤니티가 제공하는 ‘우리’라는 결속감과 심리적 지지에 대한 지각은 공감 경험이나 참여 의도에 영향력을 발휘하지 못했다. 계획된 행동이론과 관련된 변인들 중 에서는 과거 참여 경험과 행동의 실행 가능성에 대한 믿음의 효과가 특히 유의미하였다. 이상의 결과들은 구매‧불매운동과 착한 소비(공정무역‧친환경‧로컬상품 구입)에 대해서 교차 확인되었으며, 특히 후자의 소비 유형에서 공감 경험의 역할이 더 중요한 것으로 나타났다. 본 연구는 온라인을 통한 정보적‧감정적 교류와 인지적‧정서적 반응이 결합되 어 타인 지향적 공감을 만들어낼 때 인터넷 커뮤니티가 청년 네티즌들의 시민적 참여를 촉진할 수 있는 공동체가 될 수 있음을 시사해준다."
"> 주제 : 이 논문은  온라인 커뮤니티에서의 집단적 균등이 커뮤니티 내 주요 의제에 미치는 영향을 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 담론 형성의 장으로 삼아 연구한다.",ROLE_FIELD_PUBLICSPHERE,,6,문기홍,2025,게시글의 높은 추천 수는 커뮤니티 내 여론을 의미하는가?: 에펨코리아(FMkorea)의 게시글에 참여한 이용자 다양성과 추천 수의 관계,한국사회학,"온라인 커뮤니티에서 게시글이나 댓글에 대한 추천·비추천 투표 체계는 사용자 다수의 판단을 가시화 하는 핵심적인 여론 형성 메커니즘이다. 그러나 많은 추천을 받은 게시글이 과연 커뮤니티 내 다양한 사용자 집단의 의견을 포괄적으로 대변하는지에 대해서는 충분히 검증되지 않았다. 이 연구는 온라인 커뮤니티 댓글을 통해 논의에 참여하는 사용자 집단의 다양성과 게시글의 추천 수 사이의 관계에 주목 함으로써, 다양한 사용자 집단의 균등하고 풍부한 참여가 커뮤니티 내 주요 의제 형성에 미치는 영향 을 체계적으로 탐색하였다. 이를 위해 한국의 온라인 커뮤니티 ‘에펨코리아(FMkorea)’의 유머 게시판 에 작성된 게시글과 댓글을 자연어 처리(Natural Language Processing)를 활용하여 분석하였다. 분 석 결과, 작성된 댓글을 기반으로 주요 관심 분야 및 커뮤니티 내 영향력의 측면에서 서로 구분되는 6개의 정체성 집단을 식별하였다. 또한 각 사용자 집단이 하나의 게시글 내에서 균등하게 논의에 참가 하거나 특정 집단의 견해가 배척되지 않을수록, 그리고 댓글 간 상호작용을 통해 이루어지는 논쟁을 주도할수록 해당 게시글의 추천 투표수가 증가하였다. 균등한 논의 참가가 추천 투표수에 미치는 효과 는 비적대적인 정치 참여 주제에서만 유의미한 반면, 다양한 집단의 견해가 균등하게 존중 받거나 논 쟁을 주도하는 경우에는 논의 주제와 상관없이 추천 투표수가 증가하였다. 분석 결과를 바탕으로 온라 인 커뮤니티의 추천 체계가 커뮤니티 내 포괄적 여론 형성에 미치는 영향과 공론장으로서 온라인 커뮤 니티가 갖는 잠재력 및 한계에 대해 논의하였다."
"> 주제 : 이 논문은 인터넷에서의 인간의 행위들이 베버의 합리성 측면에서 어떻게 이해가능한지 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 (연구대상으로 사용하지 않는다) 연구한다.",ERR,,7,박창호,2014,"베버의 합리화, 인터넷 공간에서 어떻게 볼 것인가?",사회이론,"이 글은 인간행위의 합리성의 문제를 베버의 시각에서 접근하 면서 인터넷에서의 인간행위들이 베버의 합리성이란 측면에서 어떻게 이해가능한지를 탐색해보고자 조망한 것이다. 인간의 활동은 의미와 가치에 따라 합리적일 수 있으며, 그에 따르지 않게 되면 비합리적인 것일 수 있다. 베버는 나름대로 합리적 유형을 정립해서 인간활동의 합리적 행동에 대해 설명하면서 감정적이거나 물리적인 근거에서 나온 활동에 대해서는 합리적 이라 볼 수 없다고 보았던 것 같다. 그러면서도 궁극적으로 의 미나 목적의 실현을 위해 노력하는 것 자체가 합리성이라고 했 다. 더구나 합리화된 행위는 목적을 이루기 위한 적절한 수단을 획득하는데 따른 목표설정을 선택적으로 어떻게 하느냐와 관련 이 있다. 베버의 합리성은 행위자의 가치가 어떻게 보면 이미 주어진 것으로 물질적인 조건이나 관심에 따른 지식과는 거리 가 있다. 따라서 인터넷에서의 활동은 가치의 영역에서 본 나름 대로의 근거가 있으며 그 활동들이 화해할 수 없는 반감이나 갈 등을 내포하고 있더라도 자체의 합리성에 기반한 활동으로 이 해할 여지는 있는 것이다. 베버의 합리성이 사실 무엇인가를 주 체적으로 할 수 있다는 의미가 더 큰 것이라고 보게 된다면, 인 터넷에서의 활동은 선택적 친화력에 의해 그들만의 가치나 수 단이 작용하는 것에서 나올 수 있다. 결국 인터넷 활동의 합리 성은 근대사회의 합리성과 다르지만 상황적 맥락에서 이해하게 된다면 충분히 합리적일 수 있는 것이다."
"> 주제 : 이 논문은 온라인 커뮤니티 네오륵을 기반으로 미술계의 지형을 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 미술계 커뮤니티를 이해하는 창으로서 연구한다.",ROLE_WINDOW_MISC,,8,배홍철,2025,미술계 온라인 커뮤니티 연구: “네오룩 아카이브(2000-2024)”의 텍스트마이닝 분석,문화와 사회,"본 연구는 미술계 온라인 커뮤니티 “네오룩(Neolook)”의 아카이브 52,111건  (2000-2024년)을 토픽 모델링 방법으로 분석하여 동시대 미술계의 지형을 탐색  하였다. 기존 미술계 논의가 대형 전시와 저명 작가에 무게를 두었다면, 본 연구 는 온라인 커뮤니티에서 일어나는 동시다발적인 움직임을 조명하였다. 잠재 디 리클레 할당 모형(LDA)을 적용하여 22개의 토픽을 도출하였고, 전시의 형식과 주제, 그리고 미술계의 지형을 살펴보았다. 분석 결과, 회화 장르의 확장과 사진 의 약세를 확인하였다. 주제의 측면에서는 사회적 의제가 감소하는 대신 개인의 서사는 확대되는 양상을 발견하였다. 그리고 미술계 커뮤니티가 대학생, 작가, 관객, 업계 실무자 등 다양한 주체들이 교차하는 공론장이자 협력망의 역할을 해왔다는 점을 알 수 있었다. 위 결과를 토대로 본 연구는 후속 작업과 대안적 방법론을 제안하면서 미술계 연구의 확장 가능성을 모색하였다."
"> 주제 : 이 논문은 한국 결혼식 문화에서 나타나는 역할 대행의 의미를 연구한다.
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 한국결혼식문화를 이해하는 창으로서 연구한다.",ROLE_WINDOW_MISC,,9,서경원,2022,한국 결혼식 문화 속에서 개인과 가족의 인상 관리와 감정 수행성 체계: 온라인 커뮤니티 사례를 중심으로,사회사상과 문화,"이 연구는 오늘날 한국 결혼식 문화에서 나타나는 역할 대행이라는 현상이 갖는 의미를 개인과 가족 차원의 인상 관리와 감정 수행성의 측 면에서 고찰하였다. 결혼식에서 역할 대행은 크게 부모와 하객 역할이 있으며, 하객 역할로는 결혼 당사자뿐만 아니라 부모의 지인, 친척 등의 역할 대행이 이루어진다. 왜 한국 결혼식에서는 이러한 역할 대행이 나 타나는지 그 이유는 인상 관리 측면에서 개인과 가족 차원의 체면 지키 기와 관련되어 있다. 즉 개인 차원에서는 결혼 당사자들의 빈약한 사회 관계가 드러남에 따른 망신을 당하지 않기 위해서, 가족 차원에서는 자 기 가족이 정상가족이라는 것을 또는 가족 차원의 적절한 사회적 인맥 을 보여주기 위해서 역할 대행이 이루어지는 것이다. 이처럼 결혼식에서 는 하객이라는 사회자본과 가정환경이라는 상징자본이 중요하게 작용한 다. 그러나 이 두 가지 요건을 갖추지 못한 사람들은 결혼식에서 특정한 감정을 느끼는데 개인 차원에서는 빈약한 하객으로 인한 고독이며, 가족 차원에서는 정상(일반)가족의 형태에 속하지 못함에 따른 낙인과 편견으 로 인한 수치감이라는 감정이다. 한국 결혼식에서는 이 두 감정을 감추 는 전략으로 역할 대행을 통해서라도 남들에게 보여주고 싶은 특정한 모습을 연출하기 위해 감정 연기를 한다. 한편 이 글에서는 개인 차원에 서는 고독, 가족 차원에서는 수치감으로 설명을 하였지만, 현실 속에서 는 두 감정은 서로 밀접하게 연결되어 있다. 또한 결혼식에서 체면과 관련된 인상 관리도 개인과 가족 차원이 명확히 분리되어 있지 않고 서로 복합적으로 얽혀져 있는 것을 사례들을 통해 볼 수 있다."
"> 주제 : 이 논문은 젊은 극우 집단을 통해 타자에 대한 분노와 혐오 감정이 확산되는 과정을 연구한다.
> 결론 : 
> 온라인 커뮤니티 : 이를 위해 온라인 커뮤니티를 분노와 혐오 감정이 확산을 이해하는 창으로서 연구한다.",ROLE_WINDOW_HATE,,10,석승혜·장안식,2017,극우주의의 프레임과 감정 정치: 언어네트워크방법론을 통한 일베커뮤니티 분석,한국사회,"본 논문은 한국사회에서 젊은 극우 집단으로 지칭되는 일베를 통해 타자에 대한 분노와 혐오의 감정이 확산되는 과정을 보고자 하였다. 이를 위해 일베가 등장하는 맥락에 대해 알아보고, 불평등한 현실 속에서 수치심을 이유 있는 분노로 전환하기 위한 프레임의 생산, 그리고 다양한 사회적 위치의 사람들을 동원하기 위한 프레임 의 재편성에 대해 살펴본다. 이는 극우 집단이 어떠한 논리도 없는 비이성적인 군 중이 아니라 사회적으로 통용되는 도덕을 활용하여 감정들을 틀 짓고 그것에 공적 인 목소리를 부여하는 집단이라는 논의와 연결된다. 일베 커뮤니티의 게시물을 언 어네트워크 방법을 통해 분석한 결과, 이들은 박정희를 통해 자신의 집단의 도덕적 가치를 ‘충성(loyalty)’으로, 진보세력을 종북과 등치시키며 ‘배신(betrayal)’으로 프레 이밍하며 타자화한다. 나아가 일베는 자신들의 사회운동을 확장하기 위해 남녀 간 대결구도로 프레임을 재편성하는데, 자신들을 사회적 변동 과정에서 생성된 피해 자인 반면 여성들은 무임승차하고 특권을 누려온 집단으로 묘사함으로써 배려 (care)와 공정성(fairness)의 도덕을 동원한다. 전통과 영광된 과거의 재건을 열망하 는 이들의 도덕 프레임은 기득권의 지배 질서에 동화되어 타자에 대한 분노와 혐 오를 생산한다는 점에서 왜곡된 반발의 형식임은 분명하다. 그럼에도 유동적인 근 대의 불안과 불평등에서 무력감과 그로 인한 수치심을 내재한 집단들이 증가하는 현실은 일베의 도덕 프레임에 공명하며 사회적 갈등과 분열이 확산되고 증폭될 위 험성을 갖는다."
